"location","year","surveyed","yes_reindeer"
"Longyearbyen",2007,195,87
"Longyearbyen",2008,202,95
"Longyearbyen",2009,204,96
"Longyearbyen",2010,198,93
"Longyearbyen",2011,210,97
"Longyearbyen",2012,193,89
"Longyearbyen",2013,216,102
"Longyearbyen",2014,189,86
"Longyearbyen",2015,200,100
"Longyearbyen",2016,181,84
"Longyearbyen",2017,200,101
"Longyearbyen",2018,198,91
"Longyearbyen",2019,191,90
"Longyearbyen",2020,178,78
"Longyearbyen",2021,194,94
"Moscow",1972,126228,42444
"Moscow",1973,124827,38776
"Moscow",1974,121623,39069
"Moscow",1975,126998,38998
"Moscow",1976,124200,38027
"Moscow",1977,124108,35034
"Moscow",1978,123723,46417
"Moscow",1979,120303,37468
"Moscow",1980,122620,35369
"Moscow",1981,130683,46416
"Moscow",1982,125507,44027
"Moscow",1983,119229,42909
"Moscow",1984,124858,47012
"Moscow",1985,125157,29267
"Moscow",1986,126776,43210
"Moscow",1987,123519,44156
"Moscow",1988,125746,41792
"Moscow",1989,126606,35665
"Moscow",1990,130282,40178
"Moscow",1991,127294,34742
"Moscow",1992,121068,34497
"Moscow",1993,127482,38095
"Moscow",1994,126199,49507
"Moscow",1995,124259,40099
"Moscow",1996,127040,43763
"Moscow",1997,122501,36789
"Moscow",1998,126373,41051
"Moscow",1999,125699,37841
"Moscow",2000,127292,36820
"Moscow",2001,120672,36359
"Moscow",2002,121301,41370
"Moscow",2003,130575,40579
"Moscow",2004,125966,43964
"Moscow",2005,126651,41348
"Moscow",2006,124309,39589
"Moscow",2007,125690,36586
"Moscow",2008,119314,33838
"Moscow",2009,127270,44783
"Moscow",2010,122284,39595
"Moscow",2011,124461,44434
"Moscow",2012,123166,35854
"Moscow",2013,125530,35768
"Moscow",2014,122652,32866
"Moscow",2015,123452,33156
"Moscow",2016,125610,36872
"Moscow",2017,125929,44745
"Moscow",2018,126568,45550
"Moscow",2019,122317,39861
"Moscow",2020,123228,39957
"Moscow",2021,127268,43050
"Reykjavik",1972,4945,1542
"Reykjavik",1973,5595,1919
"Reykjavik",1974,5053,1544
"Reykjavik",1975,5153,1777
"Reykjavik",1976,5414,1889
"Reykjavik",1977,5015,1678
"Reykjavik",1978,4979,1645
"Reykjavik",1979,5028,1771
"Reykjavik",1980,5301,1678
"Reykjavik",1981,5134,1480
"Reykjavik",1982,5196,1628
"Reykjavik",1983,5180,1430
"Reykjavik",1984,5259,1741
"Reykjavik",1985,5357,1726
"Reykjavik",1986,5193,1668
"Reykjavik",1987,4916,1626
"Reykjavik",1988,5078,1516
"Reykjavik",1989,5167,1682
"Reykjavik",1990,5449,1718
"Reykjavik",1991,5150,1543
"Reykjavik",1992,5168,1448
"Reykjavik",1993,5117,1704
"Reykjavik",1994,5189,1643
"Reykjavik",1995,4918,1730
"Reykjavik",1996,5567,1677
"Reykjavik",1997,5223,1786
"Reykjavik",1998,5282,1718
"Reykjavik",1999,5508,1667
"Reykjavik",2000,5151,1639
"Reykjavik",2001,5189,1776
"Reykjavik",2002,5196,1716
"Reykjavik",2003,5655,1761
"Reykjavik",2004,5181,1642
"Reykjavik",2005,5232,1706
"Reykjavik",2006,5147,1730
"Reykjavik",2007,5365,1522
"Reykjavik",2008,5475,1824
"Reykjavik",2009,4895,1481
"Reykjavik",2010,5233,1838
"Reykjavik",2011,4906,1413
"Reykjavik",2012,5394,1646
"Reykjavik",2013,5443,1929
"Reykjavik",2014,5193,1724
"Reykjavik",2015,5120,1609
"Reykjavik",2016,5450,1809
"Reykjavik",2017,4982,1469
"Reykjavik",2018,5037,1485
"Reykjavik",2019,5493,1653
"Reykjavik",2020,5375,1687
"Reykjavik",2021,5111,1579
