"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"52" "low" "water" 1 3 7.8807821804512 8
"53" "medium" "water" 1 3 9.00109369605195 10
"54" "high" "water" 1 3 12.3505379790366 12
"55" "low" "no water" 2 3 2.61040950713945 2
"56" "medium" "no water" 2 3 6.57453803321618 7
"57" "high" "no water" 2 3 11.7181961217292 12
"58" "low" "water" 2 3 8.13861718368465 8
"59" "medium" "water" 2 3 10.4853594480697 10
"60" "high" "water" 2 3 12.4763154164727 12
"61" "low" "no water" 3 3 1.80152332839443 2
"62" "medium" "no water" 3 3 6.99890226419602 7
"63" "high" "no water" 3 3 11.8165376965351 12
"64" "low" "water" 3 3 8.01994759390153 8
"65" "medium" "water" 3 3 10.9153819359854 10
"66" "high" "water" 3 3 11.4473474931877 12
"67" "low" "no water" 4 3 1.51476036462878 2
"68" "medium" "no water" 4 3 6.33334931002594 7
"69" "high" "no water" 4 3 12.3735033015216 12
"70" "low" "water" 4 3 7.39331072928807 8
"71" "medium" "water" 4 3 10.3630037540994 10
"72" "high" "water" 4 3 11.7850376094173 12
"73" "low" "no water" 1 4 1.93371214327904 2
"74" "medium" "no water" 1 4 7.51574788514455 7
"75" "high" "no water" 1 4 12.0034856970322 12
"76" "low" "water" 1 4 8.21670451964799 8
"77" "medium" "water" 1 4 10.6436846571776 10
"78" "high" "water" 1 4 10.7908678631127 12
"79" "low" "no water" 2 4 1.3136743031497 2
"80" "medium" "no water" 2 4 6.76030001239953 7
"81" "high" "no water" 2 4 12.0055067602554 12
"82" "low" "water" 2 4 8.31437204962326 8
"83" "medium" "water" 2 4 10.9880316605223 10
"84" "high" "water" 2 4 12.230779104233 12
"85" "low" "no water" 3 4 2.26300807081093 2
"86" "medium" "no water" 3 4 5.97490840055828 7
"87" "high" "no water" 3 4 11.7245832127416 12
"88" "low" "water" 3 4 7.7103625245086 8
"89" "medium" "water" 3 4 10.2640719886429 10
"90" "high" "water" 3 4 11.9301231456362 12
"91" "low" "no water" 4 4 2.77296892755851 2
"92" "medium" "no water" 4 4 7.58686843670652 7
"93" "high" "no water" 4 4 12.3199703264945 12
"94" "low" "water" 4 4 7.97574081041222 8
"95" "medium" "water" 4 4 9.7828276145667 10
"96" "high" "water" 4 4 11.8588434386979 12
"97" "low" "no water" 1 5 2.66986487153085 2
"98" "medium" "no water" 1 5 7.52332032374655 7
"99" "high" "no water" 1 5 12.3746074971849 12
"100" "low" "water" 1 5 8.28899897187921 8
"101" "medium" "water" 1 5 10.1829166123511 10
"102" "high" "water" 1 5 12.4657108920482 12
"103" "low" "no water" 2 5 1.04661420121395 2
"104" "medium" "no water" 2 5 7.02599426199446 7
"105" "high" "no water" 2 5 11.5757501139749 12
"106" "low" "water" 2 5 7.81591629324879 8
"107" "medium" "water" 2 5 10.3123470400137 10
"108" "high" "water" 2 5 12.6101295866757 12
"109" "low" "no water" 3 5 0.880108594646885 2
"110" "medium" "no water" 3 5 6.81566231488344 7
"111" "high" "no water" 3 5 11.9564571711958 12
"112" "low" "water" 3 5 8.67098578466533 8
"113" "medium" "water" 3 5 10.8470399635906 10
"114" "high" "water" 3 5 12.3247510405472 12
"115" "low" "no water" 4 5 2.18309134369795 2
"116" "medium" "no water" 4 5 6.84581481804838 7
"117" "high" "no water" 4 5 12.2572835658984 12
"118" "low" "water" 4 5 7.54943951985717 8
"119" "medium" "water" 4 5 10.0978294052857 10
"120" "high" "water" 4 5 11.9213303165271 12
