Date,Week,Beer_Type,Batches,Batch_Start,Volume,CO2,DO,DO_Var,Color,Color_Target,Color_Var,pH ,pH_Target,pH_Var,Bitterness_Units,BU_Target,BU_Var,ABV,ABV_Target,ABV_Var,Real_Extract,Real_Degrees_Fermentation,Final_Gravity,FG_Target,FG_Var
2/22/16,9,Helles,1651-1652,1651,189,2.64,92,2.066666667,2.67,2.99,0.107023411,4.48,4.45,0.006741573,33.5,28,0.196428571,5.36,5.3,0.011320755,3.38,72.04,1.00557,1.012,0.006353755
3/8/16,11,Helles,1699-1701,1699,274,2.62,98,2.266666667,2.53,2.99,0.153846154,4.34,4.45,0.024719101,31.35,28,0.119642857,5.4,5.3,0.018867925,3.33,72.46,1.00534,1.012,0.006581028
3/22/16,13,Helles,1552-1555,1552,383,2.63,105,2.5,2.34,2.99,0.217391304,4.26,4.45,0.042696629,25.65,28,0.083928571,5.37,5.3,0.013207547,3.32,72.44,1.00533,1.012,0.006590909
4/7/16,15,Helles,1813-1816,1813,377,2.62,96,2.2,2.54,2.99,0.150501672,4.33,4.45,0.026966292,22.8,28,0.185714286,5.38,5.3,0.01509434,3.31,72.54,1.00527,1.012,0.006650198
4/12/16,16,Helles,1834,1834,98,2.6,97,2.233333333,2.9,2.99,0.030100334,4.4,4.45,0.011235955,30.8,28,0.1,5.21,5.3,0.016981132,3.91,68.35,1.00789,1.012,0.004061265
4/19/16,17,Helles,1853-1856,1853,374,2.66,92,2.066666667,2.36,2.99,0.210702341,4.33,4.45,0.026966292,23.5,28,0.160714286,5.38,5.3,0.01509434,3.35,72.31,1.00543,1.012,0.006492095
5/2/16,19,Helles,1896-1899,1896,379,2.61,95,2.166666667,2.68,2.99,0.10367893,4.62,4.45,0.038202247,29.15,28,0.041071429,5.19,5.3,0.020754717,3.6,70.03,1.00669,1.012,0.005247036
5/11/16,20,Helles,1926-1929,1926,375,2.65,94,2.133333333,2.34,2.99,0.217391304,4.36,4.45,0.020224719,25.55,28,0.0875,5.41,5.3,0.020754717,3.3,72.71,1.00519,1.012,0.006729249
5/17/16,21,Helles,1954-1959,1954,217,2.6,92,2.066666667,2.69,2.99,0.100334448,4.41,4.45,0.008988764,27.3,28,0.025,5.47,5.3,0.032075472,3.32,72.81,1.00519,1.012,0.006729249
6/20/16,26,Helles,2006-2009,2006,75,2.66,94,2.133333333,2.71,2.99,0.093645485,4.41,4.45,0.008988764,25.35,28,0.094642857,5.44,5.3,0.026415094,3.49,71.66,1.00593,1.012,0.005998024
7/7/16,28,Helles,2006-2009,2006,104,2.6,94,2.133333333,2.77,2.99,0.073578595,4.27,4.45,0.040449438,27.95,28,0.001785714,5.45,5.3,0.028301887,3.5,71.64,1.00594,1.012,0.005988142
8/9/16,33,Helles,2062-2065,2062,120,2.59,97,2.233333333,2.68,2.99,0.10367893,4.3,4.45,0.033707865,19.45,28,0.305357143,5.49,5.3,0.035849057,3.34,72.77,1.00524,1.012,0.006679842
8/16/16,34,Helles,2062-2065,2062,122,2.6,91,2.033333333,2.62,2.99,0.123745819,4.35,4.45,0.02247191,17.15,28,0.3875,5.51,5.3,0.039622642,3.3,73.04,1.00508,1.012,0.006837945
8/30/16,36,Helles,"1954-1959, 2104, 2141",1954,180,2.6,85,1.833333333,2.86,2.99,0.043478261,4.36,4.45,0.020224719,21.95,28,0.216071429,5.53,5.3,0.043396226,3.38,72.65,1.00536,1.012,0.006561265
9/13/16,38,Helles,"1954-1959, 2062-2065, 2104, 2141",1954,110,2.63,NA,1,2.79,2.99,0.066889632,4.56,4.45,0.024719101,26.8,28,0.042857143,5.51,5.3,0.039622642,3.36,72.74,1.00528,1.012,0.006640316
9/19/16,39,Helles,"1954-1959, 2062-2065, 2104, 2141",1954,54,2.65,NA,1,3.21,2.99,0.073578595,4.54,4.45,0.020224719,25.25,28,0.098214286,5.51,5.3,0.039622642,3.35,72.76,1.00527,1.012,0.006650198
9/20/16,39,Helles,"1954-1959, 2104, 2062-2065, 2141",1954,200,2.65,NA,1,2.83,2.99,0.053511706,4.54,4.45,0.020224719,26.45,28,0.055357143,5.53,5.3,0.043396226,3.41,72.48,1.00547,1.012,0.006452569
1/4/16,2,NW_IPA,1588-1599,1588,468,2.39,80,1.666666667,10.36,10.23,0.012707722,4.35,4.34,0.002304147,73.95,81,0.087037037,6.86,6.7,0.023880597,5.93,65.07,1.01379,1.016,0.002175197
1/4/16,2,NW_IPA,1588-1599,1588,471,2.39,80,1.666666667,10.43,10.23,0.019550342,4.35,4.34,0.002304147,72.15,81,0.109259259,6.86,6.7,0.023880597,5.96,64.96,1.01391,1.016,0.002057087
1/11/16,3,NW_IPA,1610-1615,1610,433,2.44,76,1.533333333,11.25,10.23,0.099706745,4.43,4.34,0.020737327,73.6,81,0.091358025,7,6.7,0.044776119,5.64,66.68,1.01245,1.016,0.003494094
1/11/16,3,NW_IPA,1610-1615,1610,436,2.44,80,1.666666667,11.35,10.23,0.109481916,4.42,4.34,0.01843318,73.05,81,0.098148148,6.99,6.7,0.043283582,5.65,66.63,1.0125,1.016,0.003444882
1/12/16,3,NW_IPA,1616-1620,1616,376,2.4,76,1.533333333,12.97,10.23,0.267839687,4.37,4.34,0.006912442,77.95,81,0.037654321,6.72,6.7,0.002985075,5.94,64.59,1.01401,1.016,0.001958661
1/18/16,4,NW_IPA,1630-1634,1630,396,2.41,76,1.533333333,10.79,10.23,0.054740958,4.42,4.34,0.01843318,81.8,81,0.009876543,7.14,6.7,0.065671642,5.91,66.06,1.01336,1.016,0.002598425
1/18/16,4,NW_IPA,1635-1640,1635,471,2.42,77,1.566666667,9.85,10.23,0.03714565,4.42,4.34,0.01843318,87.2,81,0.07654321,6.9,6.7,0.029850746,5.71,66.08,1.01286,1.016,0.003090551
1/19/16,4,NW_IPA,1641-1645,1641,399,2.42,81,1.7,10.66,10.23,0.042033236,4.39,4.34,0.011520737,84.7,81,0.045679012,6.96,6.7,0.03880597,5.57,66.84,1.01221,1.016,0.003730315
1/25/16,5,NW_IPA,1655-1660,1655,463,2.42,87,1.9,10.1,10.23,0.012707722,4.43,4.34,0.020737327,79.7,81,0.016049383,6.83,6.7,0.019402985,5.64,66.16,1.01265,1.016,0.003297244
2/1/16,6,NW_IPA,1678-1683,1678,469,2.43,94,2.133333333,9.72,10.23,0.049853372,4.46,4.34,0.02764977,73.25,81,0.095679012,6.72,6.7,0.002985075,5.66,65.71,1.01287,1.016,0.003080709
2/1/16,6,NW_IPA,1684-1689,1684,476,2.41,92,2.066666667,10.2,10.23,0.002932551,4.46,4.34,0.02764977,74.45,81,0.080864198,6.55,6.7,0.02238806,6.04,63.58,1.01463,1.016,0.001348425
2/8/16,7,NW_IPA,"1706-10, 17-21, 24, 31-33",1706,407,2.41,83,1.766666667,9.47,10.23,0.0742913,4.46,4.34,0.02764977,84.7,81,0.045679012,6.57,6.7,0.019402985,5.81,64.56,1.0137,1.016,0.00226378
2/8/16,7,NW_IPA,"1706-10, 17-21, 24, 31-33",1706,392,2.39,85,1.833333333,9.33,10.23,0.08797654,4.45,4.34,0.025345622,71.8,81,0.113580247,6.58,6.7,0.017910448,5.82,64.56,1.01372,1.016,0.002244094
2/9/16,7,NW_IPA,"1706-10, 17-21, 24, 31-33",1706,403,2.42,91,2.033333333,9.51,10.23,0.070381232,4.41,4.34,0.016129032,78.95,81,0.025308642,6.57,6.7,0.019402985,5.84,64.45,1.0138,1.016,0.002165354
2/15/16,8,NW_IPA,1734-1739,1734,458,2.42,84,1.8,9.87,10.23,0.035190616,4.44,4.34,0.023041475,78.5,81,0.030864198,6.84,6.7,0.020895522,5.49,66.81,1.01204,1.016,0.003897638
2/16/16,8,NW_IPA,1740-1745,1740,476,2.42,84,1.8,9.39,10.23,0.082111437,4.45,4.34,0.025345622,80.7,81,0.003703704,6.52,6.7,0.026865672,5.78,64.51,1.01364,1.016,0.002322835
2/22/16,9,NW_IPA,1771-1774,1771,293,2.39,94,2.133333333,9.99,10.23,0.023460411,4.51,4.34,0.039170507,78.15,81,0.035185185,6.7,6.7,0,5.88,64.77,1.01378,1.016,0.002185039
2/22/16,9,NW_IPA,1761-1766,1761,468,2.41,93,2.1,8.81,10.23,0.138807429,4.46,4.34,0.02764977,79.1,81,0.02345679,6.75,6.7,0.007462687,5.69,65.66,1.01297,1.016,0.002982283
2/29/16,10,NW_IPA,1794-1799,1794,473,2.4,96,2.2,8.88,10.23,0.131964809,4.47,4.34,0.029953917,82.65,81,0.02037037,6.74,6.7,0.005970149,5.78,65.26,1.01335,1.016,0.002608268
2/29/16,10,NW_IPA,1785-1790,1785,466,2.41,92,2.066666667,9.02,10.23,0.11827957,4.48,4.34,0.032258065,71.75,81,0.114197531,6.74,6.7,0.005970149,5.69,65.65,1.01297,1.016,0.002982283
3/7/16,11,NW_IPA,1817-1822,1817,467,2.41,95,2.166666667,9.79,10.23,0.043010753,4.38,4.34,0.00921659,82.5,81,0.018518519,6.62,6.7,0.011940299,5.72,65.13,1.01324,1.016,0.002716535
3/7/16,11,NW_IPA,1823-1828,1823,442,2.4,87,1.9,9.25,10.23,0.095796676,4.37,4.34,0.006912442,74.25,81,0.083333333,6.75,6.7,0.007462687,5.58,66.15,1.0125,1.016,0.003444882
3/14/16,12,NW_IPA,1839-1843,1839,386,2.4,85,1.833333333,9.13,10.23,0.107526882,4.33,4.34,0.002304147,82.55,81,0.019135802,6.73,6.7,0.004477612,5.7,65.58,1.01302,1.016,0.002933071
3/15/16,12,NW_IPA,1844-1848,1844,376,2.41,98,2.266666667,8.89,10.23,0.130987292,4.41,4.34,0.016129032,84.65,81,0.045061728,6.62,6.7,0.011940299,5.71,65.15,1.01322,1.016,0.00273622
3/21/16,13,NW_IPA,1859-1863,1859,394,2.4,96,2.2,8.23,10.23,0.195503421,4.42,4.34,0.01843318,81.35,81,0.004320988,6.71,6.7,0.001492537,5.63,65.79,1.01277,1.016,0.003179134
3/21/16,13,NW_IPA,1864-1868,1864,401,2.39,98,2.266666667,8.88,10.23,0.131964809,4.39,4.34,0.011520737,81.35,81,0.004320988,6.73,6.7,0.004477612,5.58,66.07,1.01254,1.016,0.003405512
3/28/16,14,NW_IPA,1877-1882,1877,454,2.41,95,2.166666667,9.49,10.23,0.072336266,4.47,4.34,0.029953917,81.95,81,0.011728395,6.69,6.7,0.001492537,5.69,65.47,1.01306,1.016,0.002893701
3/28/16,14,NW_IPA,1882-1887,1882,453,2.4,91,2.033333333,9.33,10.23,0.08797654,4.43,4.34,0.020737327,86.1,81,0.062962963,6.7,6.7,0,5.69,65.52,1.01302,1.016,0.002933071
4/4/16,15,NW_IPA,1911-1915,1911,389,2.44,98,2.266666667,9.72,10.23,0.049853372,4.37,4.34,0.006912442,83.2,81,0.027160494,6.84,6.7,0.020895522,5.8,65.52,1.01331,1.016,0.002647638
4/4/16,15,NW_IPA,1905-1910,1905,431,2.42,97,2.233333333,9.97,10.23,0.025415445,4.35,4.34,0.002304147,83.05,81,0.025308642,6.85,6.7,0.02238806,5.76,65.75,1.0131,1.016,0.002854331
4/11/16,16,NW_IPA,1933-1938,1933,469,2.42,98,2.266666667,9.69,10.23,0.052785924,4.44,4.34,0.023041475,80.85,81,0.001851852,6.77,6.7,0.010447761,5.86,65.07,1.01361,1.016,0.002352362
4/12/16,16,NW_IPA,1939-1944,1939,458,2.41,91,2.033333333,9.66,10.23,0.055718475,4.35,4.34,0.002304147,85.05,81,0.05,6.88,6.7,0.026865672,5.67,66.2,1.01271,1.016,0.003238189
4/18/16,17,NW_IPA,1963-1968,1963,459,2.43,96,2.2,9.69,10.23,0.052785924,4.45,4.34,0.025345622,88.4,81,0.091358025,6.67,6.7,0.004477612,5.85,64.76,1.01373,1.016,0.002234252
4/19/16,17,NW_IPA,1969-1974,1969,452,2.41,96,2.2,9.63,10.23,0.058651026,4.38,4.34,0.00921659,83.3,81,0.028395062,6.97,6.7,0.040298507,5.52,67.08,1.012,1.016,0.003937008
4/25/16,18,NW_IPA,1983-1988,1983,469,2.41,96,2.2,9.78,10.23,0.04398827,4.39,4.34,0.011520737,88.1,81,0.087654321,6.95,6.7,0.037313433,5.54,66.93,1.01211,1.016,0.00382874
4/25/16,18,NW_IPA,1989-1994,1989,467,2.4,91,2.033333333,9.54,10.23,0.06744868,4.4,4.34,0.013824885,92.15,81,0.137654321,6.99,6.7,0.043283582,5.59,66.86,1.01225,1.016,0.003690945
5/2/16,19,NW_IPA,2016-2021,2016,464,2.42,91,2.033333333,9.18,10.23,0.102639296,4.42,4.34,0.01843318,78.85,81,0.02654321,6.81,6.7,0.01641791,5.66,65.98,1.01279,1.016,0.003159449
5/3/16,19,NW_IPA,2022-2027,2022,454,2.41,90,2,9.56,10.23,0.065493646,4.39,4.34,0.011520737,87.75,81,0.083333333,6.88,6.7,0.026865672,5.55,66.67,1.01224,1.016,0.003700787
5/9/16,20,NW_IPA,2046-2051,2046,450,2.4,93,2.1,10.41,10.23,0.017595308,4.37,4.34,0.006912442,93,81,0.148148148,7.07,6.7,0.055223881,5.55,67.26,1.01201,1.016,0.003927165
5/9/16,20,NW_IPA,2040-2045,2040,463,2.43,92,2.066666667,9.97,10.23,0.025415445,4.38,4.34,0.00921659,79.1,81,0.02345679,7.01,6.7,0.046268657,5.43,67.56,1.0116,1.016,0.004330709
5/16/16,21,NW_IPA,2072-2075,2072,299,2.4,92,2.066666667,9.87,10.23,0.035190616,4.38,4.34,0.00921659,90.85,81,0.121604938,6.32,6.7,0.056716418,6.35,61.56,1.01617,1.016,0.000167323
5/17/16,21,NW_IPA,2076-2079,2076,312,2.4,94,2.133333333,9.88,10.23,0.034213099,4.35,4.34,0.002304147,84.05,81,0.037654321,6.9,6.7,0.029850746,5.45,67.16,1.01179,1.016,0.004143701
5/23/16,22,NW_IPA,2095,2095,94,2.41,98,2.266666667,9.74,10.23,0.047898338,4.46,4.34,0.02764977,93.75,81,0.157407407,6.46,6.7,0.035820896,6.22,62.56,1.01548,1.016,0.000511811
5/23/16,22,NW_IPA,2089-2094,2089,464,2.41,90,2,9.73,10.23,0.048875855,4.4,4.34,0.013824885,72.5,81,0.104938272,6.93,6.7,0.034328358,5.66,66.42,1.01259,1.016,0.003356299
5/31/16,23,NW_IPA,2116-2120,2116,392,2.41,92,2.066666667,10.13,10.23,0.009775171,4.36,4.34,0.004608295,93.55,81,0.154938272,7.29,6.7,0.088059701,5.27,67.1,1.01059,1.016,0.005324803
6/1/16,23,NW_IPA,2110-2115,2110,442,2.42,94,2.133333333,9.64,10.23,0.057673509,4.44,4.34,0.023041475,83.7,81,0.033333333,6.87,6.7,0.025373134,5.74,65.88,1.013,1.016,0.002952756
6/6/16,24,NW_IPA,2125-2130,2125,449,2.41,98,2.266666667,10.12,10.23,0.010752688,4.35,4.34,0.002304147,70.15,81,0.133950617,6.87,6.7,0.025373134,5.76,65.8,1.01309,1.016,0.002864173
6/7/16,24,NW_IPA,2131-2133,2131,229,2.41,94,2.133333333,9.88,10.23,0.034213099,4.4,4.34,0.013824885,79.45,81,0.019135802,6.94,6.7,0.035820896,5.65,66.45,1.01257,1.016,0.003375984
6/13/16,25,NW_IPA,2141-2145,2141,377,2.4,91,2.033333333,10.21,10.23,0.001955034,4.37,4.34,0.006912442,83.55,81,0.031481481,6.92,6.7,0.032835821,5.62,66.53,1.01246,1.016,0.003484252
6/15/16,25,NW_IPA,2151-2154,2151,309,2.4,93,2.1,9.21,10.23,0.099706745,4.38,4.34,0.00921659,79.1,81,0.02345679,6.93,6.7,0.034328358,5.48,67.12,1.01189,1.016,0.004045276
6/20/16,26,NW_IPA,2158-2162,2158,393,2.45,92,2.066666667,10.12,10.23,0.010752688,4.55,4.34,0.048387097,84.2,81,0.039506173,6.73,6.7,0.004477612,5.89,64.83,1.01378,1.016,0.002185039
6/20/16,26,NW_IPA,2163-2166,2163,315,2.42,95,2.166666667,9.77,10.23,0.044965787,4.5,4.34,0.036866359,80.45,81,0.006790123,6.95,6.7,0.037313433,5.57,66.8,1.01224,1.016,0.003700787
6/27/16,27,NW_IPA,2191-2196,2191,469,2.43,98,2.266666667,9.92,10.23,0.03030303,4.42,4.34,0.01843318,98.85,81,0.22037037,6.79,6.7,0.013432836,5.8,65.38,1.01334,1.016,0.00261811
6/28/16,27,NW_IPA,2202-2207,2202,458,2.4,96,2.2,10.25,10.23,0.001955034,4.5,4.34,0.036866359,90.95,81,0.122839506,7.08,6.7,0.056716418,5.32,68.23,1.01107,1.016,0.004852362
6/30/16,27,NW_IPA,2214-2217,2214,305,2.42,99,2.3,10.12,10.23,0.010752688,4.31,4.34,0.006912442,85.1,81,0.050617284,6.85,6.7,0.02238806,5.92,65.07,1.01378,1.016,0.002185039
7/4/16,28,NW_IPA,2229-2234,2229,461,2.4,102,2.4,9.75,10.23,0.046920821,4.24,4.34,0.023041475,71.8,81,0.113580247,6.86,6.7,0.023880597,5.79,65.64,1.01322,1.016,0.00273622
7/4/16,28,NW_IPA,2235-2239,2235,394,2.44,108,2.6,9.35,10.23,0.086021505,4.23,4.34,0.025345622,82.65,81,0.02037037,7.1,6.7,0.059701493,5.34,68.22,1.01112,1.016,0.00480315
7/5/16,28,NW_IPA,2240-2242,2240,226,2.39,87,1.9,9.65,10.23,0.056695992,4.23,4.34,0.025345622,82.3,81,0.016049383,6.48,6.7,0.032835821,6.29,62.37,1.01574,1.016,0.000255906
7/11/16,29,NW_IPA,"2268-2273, 2262-2267",2268,473,2.43,102,2.4,10.06,10.23,0.016617791,4.26,4.34,0.01843318,86.2,81,0.064197531,7.03,6.7,0.049253731,5.54,67.19,1.01201,1.016,0.003927165
7/12/16,29,NW_IPA,"2268-2273, 2262-2267",2268,460,2.4,95,2.166666667,9.96,10.23,0.026392962,4.24,4.34,0.023041475,86.55,81,0.068518519,7,6.7,0.044776119,5.55,67.08,1.01206,1.016,0.003877953
7/13/16,29,NW_IPA,2283-2286,2283,310,2.41,98,2.266666667,10.69,10.23,0.044965787,4.26,4.34,0.01843318,82.3,81,0.016049383,6.85,6.7,0.02238806,5.49,66.82,1.01204,1.016,0.003897638
7/15/16,29,NW_IPA,2287,2287,67,2.43,97,2.233333333,9.99,10.23,0.023460411,4.23,4.34,0.025345622,82.65,81,0.02037037,6.74,6.7,0.005970149,5.75,65.41,1.01321,1.016,0.002746063
7/18/16,30,NW_IPA,2288-2293,2288,457,2.41,98,2.266666667,10.57,10.23,0.033235582,4.39,4.34,0.011520737,86.35,81,0.066049383,6.76,6.7,0.008955224,5.92,64.78,1.01387,1.016,0.002096457
7/18/16,30,NW_IPA,2294-2299,2294,480,2.42,110,2.666666667,10.29,10.23,0.005865103,4.39,4.34,0.011520737,87.3,81,0.077777778,6.91,6.7,0.031343284,5.71,66.14,1.01283,1.016,0.003120079
7/21/16,30,NW_IPA,2311-2314,2311,321,2.42,98,2.266666667,10.44,10.23,0.020527859,4.43,4.34,0.020737327,78.45,81,0.031481481,6.74,6.7,0.005970149,5.93,64.67,1.01395,1.016,0.002017717
7/22/16,30,NW_IPA,2315,2315,71,2.43,95,2.166666667,10.36,10.23,0.012707722,4.33,4.34,0.002304147,68.4,81,0.155555556,6.96,6.7,0.03880597,6.19,64.43,1.0147,1.016,0.001279528
7/25/16,31,NW_IPA,2316-2321,2316,471,2.4,99,2.3,9.78,10.23,0.04398827,4.38,4.34,0.00921659,77.55,81,0.042592593,7.03,6.7,0.049253731,5.51,67.32,1.01187,1.016,0.004064961
7/25/16,31,NW_IPA,2322-2327,2322,467,2.41,102,2.4,9.91,10.23,0.031280547,4.37,4.34,0.006912442,82,81,0.012345679,6.92,6.7,0.032835821,5.72,66.11,1.01288,1.016,0.003070866
8/1/16,32,NW_IPA,2351-2356,2351,481,2.41,98,2.266666667,10.2,10.23,0.002932551,4.31,4.34,0.006912442,73.55,81,0.091975309,7.07,6.7,0.055223881,5.7,66.7,1.01258,1.016,0.003366142
8/1/16,32,NW_IPA,2345-2350,2345,460,2.41,102,2.4,10.1,10.23,0.012707722,4.3,4.34,0.00921659,75.55,81,0.067283951,7.19,6.7,0.073134328,5.35,68.48,1.01102,1.016,0.004901575
8/3/16,32,NW_IPA,2365-2368,2365,318,2.4,94,2.133333333,10.16,10.23,0.00684262,4.35,4.34,0.002304147,75.45,81,0.068518519,6.95,6.7,0.037313433,5.24,68.19,1.01091,1.016,0.005009843
8/4/16,32,NW_IPA,2365-2369,2365,239,2.39,95,2.166666667,12.12,10.23,0.184750733,4.39,4.34,0.011520737,75.65,81,0.066049383,6.89,6.7,0.028358209,5.27,67.87,1.01109,1.016,0.004832677
8/8/16,33,NW_IPA,2376-2381,2376,482,2.42,102,2.4,10.25,10.23,0.001955034,4.37,4.34,0.006912442,82.8,81,0.022222222,6.67,6.7,0.004477612,5.6,65.74,1.01272,1.016,0.003228346
8/8/16,33,NW_IPA,2370-2375,2370,477,2.43,101,2.366666667,10.27,10.23,0.003910068,4.33,4.34,0.002304147,74.35,81,0.082098765,6.76,6.7,0.008955224,5.22,67.66,1.01107,1.016,0.004852362
8/10/16,33,NW_IPA,2394,2394,75,2.4,91,2.033333333,10.26,10.23,0.002932551,4.31,4.34,0.006912442,68.8,81,0.150617284,6.77,6.7,0.010447761,5.79,65.34,1.01334,1.016,0.00261811
8/15/16,34,NW_IPA,2401-2406,2401,474,2.42,98,2.266666667,9.97,10.23,0.025415445,4.42,4.34,0.01843318,83.55,81,0.031481481,6.78,6.7,0.011940299,5.42,66.86,1.01186,1.016,0.004074803
8/15/16,34,NW_IPA,2395-2400,2395,470,2.42,105,2.5,9.49,10.23,0.072336266,4.39,4.34,0.011520737,66.25,81,0.182098765,6.81,6.7,0.01641791,5.26,67.67,1.01115,1.016,0.004773622
8/22/16,35,NW_IPA,2426-2429,2426,320,2.44,98,2.266666667,10.19,10.23,0.003910068,4.37,4.34,0.006912442,73.05,81,0.098148148,6.84,6.7,0.020895522,5.09,68.49,1.01044,1.016,0.005472441
8/22/16,35,NW_IPA,2422-2425,2422,309,2.41,82,1.733333333,9.61,10.23,0.060606061,4.36,4.34,0.004608295,70.95,81,0.124074074,6.88,6.7,0.026865672,5.3,67.71,1.01123,1.016,0.004694882
