"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"67" "low" "no water" 4 3 0.514760364628782 1
"68" "medium" "no water" 4 3 1.33334931002594 2
"69" "high" "no water" 4 3 3.37350330152157 3
"70" "low" "water" 4 3 3.39331072928807 4
"71" "medium" "water" 4 3 5.36300375409939 5
"72" "high" "water" 4 3 8.7850376094173 9
"73" "low" "no water" 1 4 0.933712143279036 1
"74" "medium" "no water" 1 4 2.51574788514455 2
"75" "high" "no water" 1 4 3.00348569703217 3
"76" "low" "water" 1 4 4.21670451964799 4
"77" "medium" "water" 1 4 5.64368465717762 5
"78" "high" "water" 1 4 7.79086786311272 9
"79" "low" "no water" 2 4 0.313674303149697 1
"80" "medium" "no water" 2 4 1.76030001239953 2
"81" "high" "no water" 2 4 3.00550676025543 3
"82" "low" "water" 2 4 4.31437204962327 4
"83" "medium" "water" 2 4 5.98803166052234 5
"84" "high" "water" 2 4 9.23077910423297 9
"85" "low" "no water" 3 4 1.26300807081093 1
"86" "medium" "no water" 3 4 0.974908400558283 2
"87" "high" "no water" 3 4 2.72458321274157 3
"88" "low" "water" 3 4 3.7103625245086 4
"89" "medium" "water" 3 4 5.26407198864291 5
"90" "high" "water" 3 4 8.93012314563616 9
"91" "low" "no water" 4 4 1.77296892755851 1
"92" "medium" "no water" 4 4 2.58686843670652 2
"93" "high" "no water" 4 4 3.31997032649454 3
"94" "low" "water" 4 4 3.97574081041222 4
"95" "medium" "water" 4 4 4.7828276145667 5
"96" "high" "water" 4 4 8.85884343869792 9
"97" "low" "no water" 1 5 1.66986487153085 1
"98" "medium" "no water" 1 5 2.52332032374655 2
"99" "high" "no water" 1 5 3.37460749718495 3
"100" "low" "water" 1 5 4.28899897187921 4
"101" "medium" "water" 1 5 5.18291661235112 5
"102" "high" "water" 1 5 9.46571089204821 9
"103" "low" "no water" 2 5 0.0466142012139528 1
"104" "medium" "no water" 2 5 2.02599426199446 2
"105" "high" "no water" 2 5 2.57575011397495 3
"106" "low" "water" 2 5 3.81591629324879 4
"107" "medium" "water" 2 5 5.31234704001372 5
"108" "high" "water" 2 5 9.61012958667566 9
"109" "low" "no water" 3 5 -0.119891405353115 1
"110" "medium" "no water" 3 5 1.81566231488344 2
"111" "high" "no water" 3 5 2.95645717119584 3
"112" "low" "water" 3 5 4.67098578466533 4
"113" "medium" "water" 3 5 5.84703996359056 5
"114" "high" "water" 3 5 9.32475104054718 9
"115" "low" "no water" 4 5 1.18309134369795 1
"116" "medium" "no water" 4 5 1.84581481804838 2
"117" "high" "no water" 4 5 3.25728356589837 3
"118" "low" "water" 4 5 3.54943951985717 4
"119" "medium" "water" 4 5 5.09782940528571 5
"120" "high" "water" 4 5 8.92133031652709 9
