"D" "T" "R"
85 25 18838.1191965447
1 19 2.78318555515017
70 21 8100.63569684087
9 19 234.445152435979
74 18 21212.9671128213
32 22 1302.69523266093
84 22 7350.40286370461
51 24 3157.50331606026
43 19 5465.91502775761
74 18 18337.9137769896
36 23 3371.69558859462
98 24 21891.6476719413
86 21 6605.52680775282
68 23 19816.4436386728
86 19 19728.3848701613
71 25 23893.4283878742
41 25 9660.79432883333
3 21 22.6726209977037
60 25 9066.07316025731
30 24 4510.59707962935
73 24 7402.73929878729
29 20 451.400340806082
4 20 54.1581710288447
71 18 13857.3147235965
28 21 2115.68554902094
45 25 6844.67204025866
76 23 10082.1779724333
94 24 39486.9036380329
92 22 24564.1729683208
88 25 9314.00097186792
96 20 19309.7835760327
74 22 15824.0530025552
74 20 15984.9540806333
49 25 7320.70360816506
16 21 1761.10538453997
34 21 1738.96009760149
35 21 6216.20917166169
39 20 5256.10274608988
34 24 2028.01042237167
91 24 33159.8939765365
19 19 1246.175106467
86 25 19697.2947476506
97 24 14048.6289758573
78 18 21010.5722708875
98 19 35809.391892332
72 24 20778.9316143775
67 25 11665.2118455242
65 24 8010.8506163907
57 22 7309.67836868271
83 19 18454.5627491136
98 25 7224.03510538623
3 25 54.7439579492157
73 23 12127.751952593
53 20 9544.34300335873
62 23 19826.7858052786
20 19 914.829337367551
39 20 4919.06124687841
36 25 6157.06108241404
90 23 24798.6079488119
74 19 5597.03206816884
8 23 161.370290733645
89 18 19493.0730119858
31 19 5853.74181179467
2 18 6.4515039207539
80 22 10347.8217497921
36 21 2625.53921495872
94 24 13369.5429052005
47 21 1112.86401135022
73 21 9338.19546569535
92 24 29295.4764947378
11 22 67.7013190225032
96 23 16995.8610571716
58 22 22985.6048191644
75 20 9349.22190790429
25 20 4003.60682488405
65 23 11157.3454828244
30 19 9368.55416010267
38 21 2437.61237283721
72 24 15055.5049124047
70 18 1996.60751407813
24 24 1700.08951414109
19 21 599.108103126014
78 25 20210.0350193133
58 21 13068.6839678068
17 19 207.248482146107
44 18 3564.30692712436
9 18 64.8412537917192
11 19 497.960920995293
72 22 19626.7743660773
69 23 12929.6312650375
54 23 8554.62620261495
49 24 7183.32582578185
38 20 5627.52644729886
42 24 2680.8032720593
57 22 9829.74244471835
48 19 5207.35469480734
11 19 779.048031677247
13 23 347.510987696124
48 25 4483.79945894035
99 25 28900.8571368402
88 23 26450.3910444635
52 23 13537.1516296207
25 18 1213.35746118633
90 21 8874.97749024099
55 21 14398.0179073308
61 22 5097.48111839014
34 25 2674.88560588223
42 20 2769.23960065587
89 22 53409.5200784273
76 18 16956.6195661062
90 22 15576.1766049589
76 20 23965.9960018755
91 21 36161.0082779131
18 21 120.437981049549
76 18 7514.12890457541
58 20 11229.5497727612
88 24 27292.5876200426
94 22 18212.4030353049
28 25 2831.8945373388
81 23 8208.20718302631
5 20 164.611324524385
84 18 13110.0915098884
5 23 113.780066804637
1 24 6.31086221297988
71 24 4838.65335712066
65 19 19346.9028478674
14 19 618.395561671256
67 20 13176.8360741468
94 21 16605.290541858
83 21 20172.1859678789
13 21 1049.99303344313
61 22 4622.09664967291
66 25 3484.99444847373
78 23 13132.6814361753
26 25 1171.94722072482
32 24 1537.35035648949
2 25 14.2170277830071
73 19 25362.0110788424
89 22 36384.757756103
41 23 2124.17704412859
56 23 13974.5657327866
38 21 3886.39185550772
87 24 10496.6475967398
20 25 2144.8797519127
8 24 282.742216712165
94 24 10515.8697083986
86 24 7698.18720711649
90 25 35003.3331758701
87 23 27292.0666624227
3 23 4.87958953181469
1 22 3.75146673256099
21 22 859.899040459068
35 20 2568.83503546255
47 24 5338.37046227976
10 23 259.815870957363
92 24 46475.105434636
3 19 59.401425779481
49 18 6864.54346763801
61 24 8110.20667740667
18 21 771.62085049696
78 23 19455.9801287509
22 18 334.202540742577
55 21 7671.99413019272
1 22 4.33455474129198
66 20 10857.5872105807
13 18 216.651594252592
59 19 8713.34646712362
25 20 1921.18644742311
52 25 4884.34870634272
59 23 12073.7122379518
31 23 7039.32834523832
14 19 613.072042817523
68 20 10187.3426107887
38 23 2137.18353891057
32 22 2678.54663070871
77 21 8649.83405396593
4 25 16.5653067119963
28 19 1133.54202751464
81 19 23626.3116881113
65 19 8958.7980700292
96 21 9024.77274069424
25 21 967.041122238399
94 24 25184.4528635179
17 22 353.670173726687
40 20 3221.89269285776
35 25 5522.06755707479
63 23 32112.3432138776
63 19 26652.173090478
76 24 29785.0979739372
13 19 44.3291107922208
78 24 4574.86048427376
67 24 21707.8590530416
43 18 5225.02767016543
64 25 7545.27819740172
93 20 28942.9762110346
64 18 11862.4860253314
73 21 8075.20925946921
87 22 24277.9876112334
36 18 3829.5882569044
53 19 9015.63132266132
2 18 29.9841769566922
23 24 2418.47013348448
80 21 10870.3485655666
35 20 2617.71129501648
35 18 3904.01844845296
33 25 1755.63195805908
50 20 5467.42589474121
16 19 798.091950479335
54 25 10858.7648834006
59 19 11148.0130279625
52 24 6739.52468518453
60 20 5180.68238002276
44 23 8673.72357363221
59 20 14231.9936787689
7 20 70.7742367885908
28 20 1305.4175295792
23 22 428.951717977638
71 24 15288.9317003672
92 21 51061.6463009244
52 19 9574.6335468707
58 21 9082.75182218767
92 21 18062.8178979162
99 20 28195.8373851361
74 18 18847.3664494964
22 18 1214.66632656923
78 19 8546.48527375083
28 18 2046.33782880829
8 24 236.930109783417
18 19 1092.25073327698
40 22 4330.15235302087
31 19 1823.40808183662
89 19 17775.6307905085
38 19 2329.61699023628
26 18 2722.03691882018
99 18 15760.9061022661
10 22 476.259104753583
31 18 2225.43715753341
69 18 8179.84895044354
74 22 22832.4087553501
64 22 7710.59782247598
86 21 25059.4452368283
84 23 15411.2312154595
74 18 4923.43938507282
63 19 18853.6661135687
20 21 857.694499692456
8 19 363.959109329072
50 21 7288.7026813281
71 21 9535.90129412991
2 19 22.4199420425658
2 21 5.61654294083169
76 18 33272.8708863393
62 21 11620.1421551259
14 25 197.129518744748
71 18 31894.6403406783
85 22 22285.4144596094
12 24 837.556773619202
6 20 113.826094594137
50 18 5086.1045672549
34 24 2119.01340381481
18 18 530.684909823788
23 23 1317.23890902805
35 22 4051.39443458593
70 23 12913.7982813797
53 23 10370.0571469396
37 23 4576.37550617362
44 25 5920.13630053529
67 21 10524.5904391758
12 21 491.679240520055
4 25 45.9727125599879
91 23 16275.7432499032
27 20 4684.21704228087
34 18 2077.92206759101
47 18 5613.12580277971
34 25 3817.95958052588
42 23 9821.22297933736
29 18 5343.93196402263
63 21 3443.286122006
100 25 26540.2888970245
6 24 171.766210159476
17 20 888.397487305286
65 20 7619.53459615781
2 21 12.0650905756821
91 19 9713.59274695374
38 21 9079.50190556054
11 25 394.670610350583
71 23 8811.94462143289
55 23 13984.5659643027
40 18 6993.61120650406
48 19 13224.013111358
14 24 702.235004426296
66 23 4439.77608261033
3 25 26.8126890161147
37 18 3520.13159847526
93 22 16956.2413441117
50 19 12357.3641924153
7 23 197.80352509241
36 19 3826.66111975443
31 22 4551.69188884533
49 20 7441.45111775843
12 20 269.974088974053
5 20 52.6346726217919
90 18 10773.0473664173
6 24 140.902642898763
87 23 12433.2239254794
9 25 234.090042518829
47 25 936.391143802104
30 23 2952.40751752787
62 25 8285.79060550345
92 24 20934.6129716311
49 22 8529.27488156157
34 23 5148.9284513131
35 20 4668.04558286823
31 23 657.141306985029
75 19 9636.64494782671
12 24 306.74455993278
69 19 17156.9995475217
86 22 8873.50506241455
95 18 24229.0533535881
94 20 14238.7977424691
63 22 7174.58634002627
31 19 3794.31725671346
93 22 20742.3476847345
44 24 2442.27053436574
35 25 4833.08766017385
28 22 2113.48780378521
37 23 2085.95814421256
64 23 18604.0378625552
70 23 14465.0168231617
61 19 3766.06889677619
66 22 9853.2818297692
63 25 7147.72281310124
14 22 480.433650551833
52 21 13203.3756329262
56 23 19948.4981187831
7 25 96.0226271760271
78 23 49147.6794570724
15 24 489.09467674773
3 19 15.3231583333359
58 19 12950.200307075
40 24 8023.1298534126
1 24 2.06823851880408
42 21 14226.4726388645
77 20 38607.2852339912
15 23 256.305935562572
55 22 5877.31663003852
7 23 257.147673719715
95 22 15347.3959925806
78 19 10064.1672359236
24 21 1421.70654871322
40 22 7491.61539606486
21 22 2808.40028233163
89 21 19375.6718992008
86 18 8069.01339272753
22 20 411.269102639585
98 25 46485.147986664
54 23 20431.5946659811
7 20 328.900380785665
45 25 3968.84809982464
72 21 12198.6680640419
92 21 16559.3625987016
13 20 195.068215542506
41 24 4450.7545854205
26 22 2416.23322348817
9 18 182.070998658535
57 23 4407.68142418641
21 18 1408.01798722872
25 25 3029.24381214768
87 21 16410.2697486441
32 25 894.277192712335
91 20 15608.0912667276
15 23 443.420795582549
21 25 608.233952253537
10 19 269.546907648298
69 20 17967.8024003413
45 22 9526.64540357242
65 25 8525.11511316526
79 18 14922.6435285463
16 25 770.540499948741
78 20 24155.2266975156
60 21 11810.0219273191
25 23 966.762777712821
4 25 66.7661972427177
8 23 193.87494621937
84 24 22463.6483572778
86 21 28138.5931935762
99 25 12072.0346909928
76 23 37979.1588471341
25 21 1233.60666787987
35 24 4712.30962821108
66 22 17805.9064150314
17 21 804.318588457912
15 20 520.383596584863
76 24 35186.9782053501
34 20 3014.34315454378
48 20 5498.78471711536
8 20 284.841578387292
68 20 28053.3223471276
63 22 8565.02956266436
86 22 38294.0752291837
23 25 1197.35382429883
88 20 7740.91316289241
96 21 17058.3711996542
54 23 6629.33803212945
19 20 1036.27545485876
95 18 28822.1254551845
26 25 1149.74907456394
6 19 123.611973026845
76 20 21515.1252797752
93 22 15431.5092060316
18 24 708.652344613728
57 19 9077.31700661225
67 20 11771.6452984362
76 22 15111.6701039436
78 20 8183.20880700673
15 21 746.604315743469
46 24 3951.39905459473
55 25 11217.840890779
53 23 7056.45502814848
53 25 6210.02692567032
71 25 21753.6553171451
7 18 53.514529600178
51 20 11904.1569979214
9 25 179.138179761482
46 25 3908.48943214847
65 21 6374.70659789346
44 22 3572.00158972927
45 23 3695.0630390357
76 22 8896.4142220829
87 22 20898.1494994311
5 20 71.3814804407437
4 24 24.5980992003209
96 22 15840.7321411144
45 19 6999.92593998783
54 24 14795.5142538936
52 23 6402.92185679232
15 19 221.111704652702
9 23 258.377173765133
15 25 703.581118986464
50 24 4715.38130916926
68 23 28423.8378700751
32 23 2894.48482158956
19 19 1817.66507661278
33 20 2795.50479608359
67 23 10055.2988384839
31 24 2993.90566651629
100 19 18304.2834231022
81 22 14018.1630921146
27 20 2761.07034026289
16 18 296.088818466417
91 21 25141.8592037139
79 18 9416.77533004658
45 23 4165.53364107684
58 21 4623.16853007542
6 25 125.301877824859
58 21 10458.820122385
10 20 226.988868199682
75 23 36940.1558469443
49 18 8399.61669519712
26 19 4571.29312066348
79 19 23374.5308757519
17 18 736.360664577673
32 18 1997.15544189255
53 25 7206.87275739464
81 23 12549.1706736696
86 23 45490.9748834732
94 19 42072.6617569059
67 22 13778.3394298287
38 19 2500.39681470958
63 22 11393.102867489
71 23 8575.12126338702
44 21 3876.54332673987
86 20 29285.293072626
14 19 378.426550675431
1 19 3.98900155149222
57 19 5023.19503443511
72 21 28331.6144899653
5 23 65.1870341356526
48 25 13837.3609329786
74 25 18021.6778967339
81 20 23326.7442891087
40 19 2062.41406567608
61 25 4592.60070589583
98 25 22445.2536083412
51 22 10028.0628686422
67 18 10115.7408393092
1 20 4.49908319991726
36 21 3899.77096373503
78 20 15865.8055996306
94 18 30115.4716311994
48 23 5861.6073593776
89 20 14208.2598746445
7 23 61.8154847015021
92 22 21919.0418817222
36 18 3826.02941377668
61 21 6988.12402350544
67 20 19671.3592691644
97 23 12451.2603812572
82 19 31956.7320171999
79 19 15530.3104166192
47 18 4798.48391230289
27 21 2611.20649351455
11 22 599.962425909525
91 19 18663.4142755469
38 21 3723.81770735391
91 23 35935.1553132812
90 25 37817.4655430546
48 25 8746.8103939719
99 24 43050.5471565906
63 19 12823.548671484
37 24 3167.62547244835
56 21 7571.79895587284
2 19 11.7867348581338
69 24 27048.7528615582
34 20 4186.14698931509
66 19 6871.85298912751
27 18 5324.52672172221
11 22 285.126051098059
86 25 21192.3542814927
96 19 14874.5585062249
50 21 12311.1888072994
91 20 13663.2403615594
68 25 15139.6139116663
15 25 234.363891732142
60 25 7881.17082398008
10 25 421.350354662856
51 25 9841.3776985043
12 21 398.256283778652
90 25 21565.0687649135
38 21 7276.63565514916
92 21 20468.4293066302
29 22 1302.18742535154
49 20 8621.68510014298
95 25 28839.1291419006
93 21 15418.546716174
30 23 543.155083846069
55 19 9974.31934462852
65 23 13562.5123825046
64 23 7182.99134702954
60 18 6258.05174563571
89 20 26631.3151285835
14 23 457.507898307967
59 24 2933.67998398648
93 20 48192.6282479879
11 18 78.7489776452572
36 23 4550.2080652564
22 21 412.348802927969
69 25 11304.9500452786
5 22 45.9622930492049
59 22 8545.44779191219
39 23 2376.81973652196
81 21 23216.6651771666
50 21 4936.93576071544
42 22 12906.3965804411
50 23 10466.4720904037
3 21 17.0303073548062
81 25 9694.48058619986
89 19 19378.635492014
65 23 22694.5693240198
18 21 1308.85162447167
94 22 10538.0098084379
11 21 219.912363981235
85 25 12708.3609146939
100 25 17503.2727794352
68 23 15561.8508992605
87 19 50262.8251268138
32 23 2027.06177154555
96 23 27064.3520937084
36 22 4386.73939416544
69 22 13033.5031757352
21 23 718.677962661383
48 21 10019.4553659377
66 20 18847.8897390438
91 20 27577.6453610025
49 18 4134.1275890595
76 22 24146.9762583956
67 25 17341.1762140236
18 23 1129.8958992422
66 25 14641.5452631849
56 22 10275.7662839475
13 20 468.277771028842
70 19 13231.1633374347
40 20 2845.381003922
54 20 11433.6402616031
37 20 3372.29123970205
82 23 37357.1323266429
66 23 10825.1013251555
7 23 162.053372174457
37 22 4931.66955618768
59 21 16473.3078152995
81 21 7213.00504532992
63 23 23057.2202714626
79 23 14120.0670171381
97 24 12461.8288943662
5 20 121.239363248299
4 18 43.161606950666
94 18 16638.4706610597
30 18 1435.04422363072
75 25 11543.9181066781
91 19 27808.0037248139
10 25 195.332729841604
91 21 4530.18335958724
16 19 1369.872628717
95 24 42981.5317028552
88 21 21130.8926360507
18 24 592.377211032868
28 25 2657.20106365589
74 22 10067.7186171605
31 18 1514.66817140421
7 20 98.4514038135633
66 25 11975.6513840437
30 18 1711.94095693507
59 23 12985.764008788
98 22 23525.7509597592
37 22 2982.59410697743
6 21 218.370519049086
96 23 7101.72783116344
87 19 26323.155019011
79 22 5442.02744975051
73 23 7227.78620373587
90 18 26572.3422984725
50 23 4120.2049128587
65 22 19102.6401601421
12 24 433.988839497526
44 18 4442.88227625201
100 19 33234.2322728076
29 23 3046.52919321925
14 23 720.063974600223
62 21 12992.6021483484
39 24 5721.44793903749
12 23 227.567275489014
62 19 4536.55651389476
74 25 15613.8915906526
77 18 5997.55988738034
78 23 16408.3874419782
94 21 34072.9357429646
23 21 2344.63376786175
49 25 4673.99999922287
97 18 30680.6113059414
86 19 20208.5802680509
100 22 21422.1227943788
74 24 23794.3698340209
92 23 42339.9337853739
15 21 211.895433411829
26 18 2013.79285227236
61 22 17707.7919326598
100 19 26983.4808500647
95 20 10379.3021678726
46 19 4504.16393944139
10 20 328.318327812905
86 21 9982.00827784955
87 23 19846.1419723589
11 25 365.295960888173
22 22 237.57293324126
33 22 1595.65106293011
84 18 7910.64914480061
16 25 219.805112208756
67 25 18753.4552398527
53 18 4268.82180302586
54 19 5445.0306776155
41 18 5220.57549872455
17 19 764.979778830233
18 22 518.775405320475
70 23 9844.73744461386
98 21 31045.1677715004
20 24 1174.64634869947
43 23 2615.1345108523
98 23 18688.4776996235
88 20 30794.5884138825
100 22 6563.27512182144
98 19 28496.4195592202
25 20 1541.27192861429
81 21 48527.1453909489
14 25 531.970956617243
9 24 324.13028749658
85 19 30961.1634555202
77 18 38893.2091123185
37 25 6148.90321043711
17 24 619.225622486822
14 20 716.900476442035
2 18 10.4036916166529
31 22 2096.84320284565
75 24 25804.5344343258
30 22 3680.61165873494
61 24 5477.04799869375
7 22 93.196549524579
68 21 9181.64615070846
11 20 178.579255663149
53 20 3167.18916653443
35 24 4927.38570656141
16 20 1179.10608223777
64 20 18989.6734728351
92 18 22149.4531490878
98 22 10905.8713477207
90 22 16800.1920025098
24 18 1470.82588184429
82 22 8758.66683140338
1 19 3.81681506835586
3 19 20.7033192923537
22 20 1620.41348133625
6 24 159.700797383739
59 22 15744.9072160305
2 21 7.12533561152327
99 23 23643.0578690655
100 23 51525.1758364036
6 18 146.103329654723
33 19 2269.06037317089
77 21 32609.3862820583
77 20 15112.4313059205
62 20 4815.08279135213
45 19 3208.88728123596
54 19 10841.2325498019
64 18 17713.5551274517
97 20 14758.8196508132
94 19 17445.7532482311
74 21 33077.9891068343
87 21 17098.9238598495
6 19 69.14604551435
15 18 1080.91670637364
25 25 3943.46003247102
98 18 26975.6882787966
71 23 21639.1502988835
6 22 206.054384729621
88 19 27353.0188198851
19 25 1201.51168716972
94 25 15369.3480057195
33 19 2011.13652132884
23 19 1231.81012289613
76 21 8541.60046687587
17 24 1177.78112633986
31 23 3020.90285690729
77 23 3960.40379061158
26 23 1401.97129712659
44 21 1647.13204548403
17 19 754.757015235901
8 25 223.60806201173
18 22 1367.12304059099
27 25 2123.27327886536
99 24 29400.0465166926
9 18 73.4613153779573
24 25 1675.93260828439
64 21 7095.91911119632
93 21 16980.0285713794
31 24 1883.14961681091
62 18 12153.2216288681
33 24 4879.38646692361
28 21 1256.48369230234
66 25 20284.0424810308
16 21 627.741804651713
44 18 3829.73040044676
95 21 22535.7933882874
63 22 9346.96533652524
6 24 171.976964349558
50 21 2894.85914708013
85 24 27971.8695663499
20 23 1823.15795193071
49 24 11359.6407165739
20 20 905.078143336844
87 24 45878.0317377406
58 19 14347.5602425567
14 24 428.299028599961
11 23 83.1628215643004
95 21 24018.1286269344
28 19 4594.80589795712
97 18 29672.4820793373
12 23 321.443738196587
39 21 4553.86793508709
44 25 1659.21455659486
100 21 24011.0943698846
63 20 6613.87815626768
48 25 12737.8006211248
88 25 31026.7170125009
56 19 6949.8827457495
67 24 5887.83367549651
61 19 10832.4760826233
53 25 17450.8133684818
100 24 27414.6525319646
4 24 47.9375471180254
60 22 12484.3073348361
48 18 15021.4787153237
76 22 26388.0827155029
7 20 127.523539312902
1 25 3.21424904034901
78 19 23540.8241377971
63 22 3599.19960557042
23 19 2214.13923139649
44 21 6969.91995939528
39 24 6725.51717975078
18 23 418.004061027251
3 20 40.7401320102881
83 23 19865.2507070349
57 20 20590.6438269919
51 21 7659.19063423292
59 20 5031.70545946435
64 20 5648.83566771048
61 23 9637.54523302096
45 19 14427.7073076995
22 18 2059.19603049947
48 24 4726.17320024656
63 21 10166.417712405
51 24 6904.93259189732
87 21 20996.5960069825
90 24 44544.2036922515
40 18 7150.38598345577
21 25 1226.39394928664
13 25 387.43614232006
48 25 10786.4442608678
33 18 6133.81225662829
53 23 8578.622195102
25 18 1312.6508686938
39 19 4332.79324327396
11 23 315.736333265344
97 21 28507.054041259
59 24 6454.23063493807
87 22 16352.4324689918
41 18 8932.27464231262
39 24 4483.13608569715
20 18 1448.64182534261
54 21 25611.7343524696
1 24 6.20071989417128
76 22 17098.1087671488
64 18 6038.90558441649
12 21 428.666031147669
10 22 300.587684937817
24 22 1028.53185133103
3 20 13.4068967992133
40 21 3638.08288292225
22 23 2292.03256534399
1 20 2.22592419400111
52 19 11565.1672020689
83 23 39653.3319478942
78 20 9498.26928914803
38 21 4471.98155130756
34 20 2769.73299986996
59 19 9334.97638793177
75 20 13311.3455400911
31 23 1187.49616561712
51 20 9325.97314977487
67 19 17455.4720522705
50 20 13300.0590770855
24 25 2687.94546813596
28 24 1112.07786259976
94 23 39057.9816454054
19 19 1846.75476443423
23 19 2049.3778374476
91 18 21680.123935162
7 19 143.196413757907
70 22 12156.5267752343
