"x","y","h"
4578279.83676828,1102566.93866337,-2198.29833984375
4582533.09117048,1092002.46426859,-2119.79760742188
4574088.49972719,1103654.07704026,-2115.27905273438
4581973.7231913,1104390.01924125,-2106.79907226562
4582633.50262423,1101523.5453588,-1989.7197265625
4579696.42547518,1093268.24519434,-1900.80920410156
4573928.96503606,1104858.65601571,-2120.82153320312
4579776.51996887,1099791.65183729,-2102.07080078125
4574379.64890688,1091883.77837767,-2077.95532226562
4582277.19342266,1102623.19351314,-2075.6533203125
4583138.14973785,1102261.27597154,-2057.75952148438
4577678.95389162,1090686.18001882,-2062.79321289062
4578963.26547209,1100159.38273165,-2235.8505859375
4581575.18954715,1104251.17452047,-2086.86303710938
4576852.69386135,1102887.83024647,-2025.81872558594
4578212.94694929,1100209.70126963,-2121.71630859375
4583591.10055305,1103893.33857805,-2088.64184570312
4583946.86695747,1100585.7746792,-2270.892578125
4574455.98620223,1099405.85819306,-1997.41638183594
4576370.95542229,1090877.16103997,-2091.85180664062
4578183.65546013,1093088.80815981,-1886.71887207031
4578643.333463,1090235.52373284,-2010.3935546875
4575818.82156688,1095138.59684579,-1980.82189941406
4580638.84832873,1090535.45406903,-1842.07092285156
4582806.92109349,1093247.52693181,-2211.86303710938
4578602.59160376,1095577.55563757,-2070.349609375
4576974.22601376,1100064.61959216,-2057.9951171875
4578752.59003416,1097755.28323138,-2238.3916015625
4578606.59584939,1095309.58408373,-2059.76049804688
4576159.26141501,1103342.76773618,-2077.99755859375
4574444.58143832,1102054.50999318,-2182.90795898438
4581077.62194914,1098877.82204896,-1987.98120117188
4579075.48392657,1098626.85484812,-2232.40869140625
4573342.98928594,1100597.69464307,NA
4574698.00631865,1095565.68010477,-2010.12963867188
4583610.39046641,1100409.95810996,-2213.943359375
4583325.93083335,1090510.04958223,-2270.09155273438
4580411.67686298,1093222.66029776,-1831.04626464844
4575971.14440077,1095712.03536005,-1994.66833496094
4578136.49933552,1092390.92419972,-1969.26513671875
4573770.50788444,1096254.31368127,-2090.23950195312
4581664.72743731,1095808.73754458,-2236.7705078125
4573993.42420278,1093460.33440088,-1933.45373535156
4575664.48093602,1091767.92477025,-2062.0595703125
4579007.91231752,1095350.4626255,-2103.32446289062
4580474.52302556,1099875.9462242,-2033.70251464844
4580374.35770989,1102502.76746578,-2107.81127929688
4575083.05533789,1101555.06412615,-2112.21850585938
4579599.91951729,1101618.86061775,-2240.9384765625
4582363.21090441,1098605.79266911,-2060.95947265625
4576011.93047804,1102740.03932835,-2088.82250976562
4580752.64001545,1098503.69207794,-2017.48608398438
4575724.25790108,1098692.23206886,-1941.20275878906
4583043.00060892,1097957.55392523,-2291.49877929688
4575877.64975359,1102741.79641623,-2092.43090820312
4575482.81666311,1090069.88149486,-2121.61962890625
4582567.95947929,1103889.5026769,-2099.56176757812
4573870.52858295,1096842.53717423,-2101.21826171875
4583489.05686103,1104888.72238435,-2082.90795898438
4575186.47552584,1098504.57297405,-1972.77026367188
4578299.01605844,1092983.49633231,-1919.91137695312
4578788.39700995,1104870.99694321,-2034.88317871094
4576954.88210651,1100151.67193604,-2061.76391601562
4580383.89863446,1099016.82543568,-2028.90954589844
4574117.04892456,1101995.86388771,-2166.29028320312
4575034.75383692,1100893.67282111,-2051.14428710938
4583457.5091484,1092754.50255955,-2314.24096679688
4573048.87557216,1102951.60408248,NA
4582175.75525772,1092705.38662211,-2005.09143066406
4580301.47033278,1098495.57823851,-2046.11328125
4577206.48104721,1101214.30356638,-2233.29833984375
4581199.56353516,1101548.73163323,-2058.35986328125
4578878.41631193,1100455.81539744,-2191.60107421875
4573163.56831812,1093055.27371238,NA
4573643.12585932,1094511.29353605,NA
4582160.19522562,1099660.79428443,-1802.57409667969
4574926.17461737,1094864.63209847,-2024.96740722656
4574515.98313311,1104904.59593129,-2119.74169921875
4573439.71701781,1090383.69313232,NA
4575241.97780713,1099112.39821115,-1987.19482421875
4576991.6637768,1102685.49732747,-2041.87841796875
4582592.17029996,1097343.61214098,-2292.32446289062
4576402.53583551,1090613.00301808,-2112.3701171875
4575104.52704807,1097291.16363218,-2079.54858398438
4581577.17007445,1096173.83664707,-2350.96508789062
4574238.27028298,1098122.57254613,-2063.91845703125
4575679.12753089,1103273.91879749,-2106.25219726562
4583996.20851316,1090870.99145283,-2364.86376953125
4575406.69039777,1101063.68213193,-2071.392578125
4582112.45872686,1090186.05020596,-2064.26708984375
4578676.04859313,1098281.71600122,-2242.84716796875
4582999.25579852,1100661.65306256,-2041.17419433594
4574839.55121669,1103623.49419622,-2135.78076171875
4576863.04004071,1104362.96450789,-2066.68774414062
4576615.47308275,1097024.91398668,-1991.73974609375
4576405.55154881,1097584.7671926,-1986.44458007812
4580536.97123867,1097745.14500867,-2068.61206054688
4579323.17006704,1104305.50908321,-1963.5966796875
4579794.3518525,1093512.98127789,-1878.90563964844
4582837.3172062,1102110.2773759,-2026.7275390625
4574399.13111553,1099256.74324855,-2002.65405273438
4583467.83001861,1092184.44215134,-2330.83447265625
4581507.50778872,1090792.10351221,-1939.6640625
4575348.35768864,1093453.20692635,-1953.88293457031
4577011.191356,1095296.0382856,-2020.61901855469
4580859.75091718,1102653.15485303,-2115.62890625
4577208.59440533,1092560.80035702,-1969.74389648438
4574927.98551288,1091167.74267983,-2123.77734375
4582640.97164525,1090078.93746719,-2141.32397460938
4578292.84856119,1103898.29890803,-2003.68591308594
4583075.42222762,1093244.48656407,-2257.0712890625
4575029.6775403,1102325.43678256,-2171.17114257812
4576160.65426124,1094875.09555998,-1998.90454101562
4582572.67683255,1090687.0072498,-2154.83178710938
4575568.25387315,1104488.5376445,-2085.52490234375
4576280.25737801,1095915.3251606,-1986.52526855469
4580769.1130545,1092241.344793,-1830.69506835938
4581347.91890648,1092282.22632082,-1925.12585449219
4582445.06059657,1102807.04678386,-2085.53833007812
4580277.43651485,1091333.41189008,-1744.85107421875
4575760.42111567,1090723.31071831,-2119.02587890625
4573798.36326721,1098584.48167332,-2027.66772460938
4577885.50124015,1100165.98767834,-2085.41528320312
4577465.75514204,1103336.74544701,-2016.97631835938
4583217.30377176,1091339.54755845,-2288.97827148438
4575756.18192414,1095516.70133718,-1976.06115722656
4580847.45872184,1099213.41948211,-1977.48388671875
4578440.48913196,1102119.15598367,-2306.01904296875
4582819.0577433,1098748.55564674,-2156.34497070312
4577271.55421069,1099351.45404306,-2055.92602539062
4577399.673454,1103598.71215303,-2042.6083984375
4582770.31581895,1098509.02384147,-2190.82055664062
4579358.88567427,1101738.01148077,-2270.25830078125
4583773.41961395,1094198.78032175,-2362.82348632812
4574078.74796726,1092098.91257924,-2064.30395507812
4579126.23154139,1097282.46724,-2232.37866210938
4575660.79219687,1092259.54088848,-2005.66528320312
4574798.00381069,1104650.16189148,-2134.74609375
4580153.80402515,1091527.46871696,-1723.49572753906
4579396.63931658,1097379.91386326,-2245.75463867188
4576436.16363453,1097388.5652551,-1968.68444824219
4580440.63841109,1101888.68934638,-2112.18994140625
4575134.39143286,1097475.30084685,-2067.41333007812
4583690.56864781,1100823.25330237,-2161.48120117188
4579422.01306764,1092612.04154696,-1861.26770019531
4583117.16624955,1100668.93253592,-2033.68322753906
4578041.2794475,1093022.35160489,-1885.67907714844
4578148.71659456,1104976.18055553,-1997.62255859375
4581931.94442755,1104872.26661644,-2112.63452148438
4579847.93556039,1104314.39654785,-1987.14282226562
4573996.43861759,1104686.14532845,-2120.9677734375
4582736.24167265,1092219.73243286,-2177.25317382812
4576710.71920707,1103894.99514946,-2104.763671875
4578239.59201551,1099686.04599359,-2190.34814453125
4579003.13715171,1101007.24305492,-2142.46826171875
4583150.61502764,1101462.91672369,-1988.15673828125
4580908.70426851,1093083.45023426,-1888.78674316406
4579260.45848452,1098078.40036345,-2254.62524414062
4583004.25874675,1095133.95867776,-2316.44677734375
4580648.35856576,1097988.03841462,-2051.36840820312
4578524.28129036,1098990.27966894,-2198.68579101562
4583776.84028912,1093968.65385701,-2366.10473632812
4574620.46859274,1103080.16850729,-2148.26953125
4580950.59494628,1093977.99419588,-1923.62915039062
4577232.02489619,1097221.47439723,-1999.6767578125
4579174.14063262,1103902.37913118,-1975.12622070312
4575987.54932638,1095282.34821395,-1965.75610351562
4573243.96752566,1102059.33386227,NA
4579469.2532206,1096158.56075427,-2154.572265625
4573536.89151187,1093761.78698149,NA
4580228.16466563,1093256.36111898,-1799.25830078125
4574135.5052928,1101166.98010243,-2119.21948242188
4579423.75904345,1103090.95981298,-2035.19201660156
4574078.62658729,1095863.20519098,-2072.55102539062
4574095.83949018,1092119.71844663,-2061.3427734375
4582599.59503124,1100965.39478633,-1997.82604980469
