	FW_F1	FW_M1	FW_M2	FW_F2	FW_M3	FW_F3	FW_F4	FW_M4	FW_F5	FW_F6	FW_M5	FW_M6	FW_M7	FW_M8	FW_F7	FW_F8	FW_M9	FW_F9	OC_M1	OC_F1	OC_M2	OC_M3	OC_F2	OC_M4	OC_F3	OC_F4	OC_M5	OC_M6	OC_M7	OC_F5	OC_M8	OC_F6	OC_F7	OC_M9	OC_F8	OC_M10
alx4a_LG4	2.531239354	2.963313967	0.821133767	0.924612379	1.889267881	0.484092872	1.812954652	1.752479324	0.969196143	1.621267138	1.984925547	1.908704163	0.354851691	2.578379831	0.496058199	0.557178448	0.442539993	0.189114971	0.823331545	1.601209682	1.359059856	0.18297184	0.906859739	1.203245278	2.285516046	0.682731382	0.611699147	0.854158329	1.707943064	0.409726535	1.134632493	1.992448849	1.102639037	1.620319323	0.632015644	1.072681786
ampd3b_LG4	44.87197037	13.4128948	14.78040781	24.56827179	10.99210404	34.8546868	75.05632259	27.16342951	31.59579427	40.64748325	13.53358327	28.63056245	16.14575193	21.14271462	41.1728305	37.51668214	23.45461963	60.3276757	11.69130793	32.50455655	8.833889061	15.36963454	36.87896271	16.44435214	45.02466612	72.19884369	10.39888549	25.28308653	17.56741438	42.61155964	15.72276455	87.12435421	24.80937833	24.30478985	23.70058665	26.38797192
ankrd13d_LG4	9.664732081	8.422050223	12.31700651	11.35952352	10.47684916	6.777300211	10.33384152	6.484173497	10.27347912	6.716678144	10.64641884	9.543520816	7.629311352	11.34487126	9.09440031	10.21493821	6.048046571	9.455748542	5.433988194	4.643508079	3.624159615	4.025380476	3.627438955	2.406490556	6.39944493	4.949802523	4.281894026	4.612454975	4.879837327	5.121581688	5.997343177	5.61508312	3.30791711	7.17569986	5.530136884	3.861654428
ankrd27a_LG4	2.531239354	0.779819465	0.656907014	1.849224758	0.687006502	1.936371489	1.812954652	0.350495865	1.550713829	1.852876729	0.721791108	0.763481665	0.887129227	1.547027899	2.314938261	1.485809194	0.442539993	1.891149708	0.987997853	1.921451619	0.679529928	0.731887359	2.116006057	1.403786158	4.571032093	3.925705449	2.038997155	0.854158329	0.243991866	1.63890614	1.296722849	2.53584399	2.021504901	0.462948378	2.212054754	2.574436285
ankrd27b_LG4	5.292591377	0.779819465	1.478040781	3.170099586	1.717516256	3.630696542	4.713682095	1.401983459	2.519909972	3.589948663	2.165373324	0.572611249	1.596832608	1.203243921	3.96846559	5.014606028	1.327619979	1.323804796	1.152664162	2.401814524	1.585569832	1.280802879	1.511432898	1.403786158	2.97117086	4.26707114	2.038997155	1.879148323	1.463951198	1.843769408	2.431355342	3.984897698	4.043009802	1.620319323	1.738043021	3.861654428
anxa2a_LG4	200.4281343	88.43152734	64.54111411	94.04628771	86.56281928	148.1324189	163.1659187	57.65656974	124.4447848	80.71594253	59.36731862	143.9162939	41.34022198	51.22381265	128.3137207	117.007474	78.18206543	152.9940114	99.45845058	175.0122183	66.14091297	63.12528474	139.9586864	85.63095563	244.0931138	284.3576208	64.63620982	79.60755624	66.12179578	138.2827056	103.5757376	183.1241624	119.6363355	78.23827589	97.64641699	72.94236142
armc10_LG4	8.284056069	6.862411293	4.26989559	8.717773861	5.152548767	4.598882286	4.169795699	8.236652821	3.876784573	4.863801415	5.413433309	4.962630825	4.967923671	7.563247505	2.645643727	5.200332177	6.195559902	3.593184446	4.281324031	5.283991952	7.474829206	6.038070714	2.418292637	6.81838991	6.170893325	3.925705449	5.097492888	6.83326663	5.611812926	4.302128618	6.159433533	4.528292839	4.778102493	6.944225671	6.320156439	5.577945285
arsa_LG4	13.57664745	40.2386844	41.22091512	12.15204841	63.03284658	8.7136717	19.21731931	52.92487557	18.99624441	17.71813373	55.75836308	41.22800993	45.24359057	52.94273253	14.71639323	12.62937815	57.82522575	17.77680726	31.61593131	18.89427425	79.0519816	59.46584794	18.43948136	46.72602497	15.99861233	22.18876993	54.03342461	57.57027136	63.19389339	21.71550636	42.62976367	19.56222506	12.12902941	69.6737309	18.32845367	57.06667099
asb15a_LG4	6.213042052	4.67891679	2.956081562	6.868549102	0.858758128	11.3761825	14.68493268	7.360413159	2.132231515	8.801164465	1.263134439	4.199149159	2.129110145	3.953515741	4.299171056	5.943236774	4.572913261	5.106104213	3.293326178	4.323266142	0.226509976	1.097831039	9.068597388	3.810276714	8.913512581	10.24097074	3.874094595	1.708316658	4.879837327	3.482675548	4.052258904	3.441502557	3.675463456	1.157370945	8.532211193	2.788972642
b4galnt4b_LG4	1.61078868	2.183494502	2.134947795	0.924612379	3.263280886	1.936371489	1.812954652	3.154462782	0.387678457	1.621267138	2.526268877	0.763481665	1.951684299	1.37513591	1.488174596	0.742904597	1.917673303	1.702034738	0.987997853	0.960725809	1.359059856	2.012690238	1.209146318	3.008113196	1.371309628	1.877511302	1.427298009	1.537484992	1.219959332	0.81945307	1.945084274	1.449053708	1.102639037	1.388845134	2.528062576	1.5017545
banp_LG4	27.15329489	20.43126998	22.82751873	15.45423548	23.87347595	21.05803994	23.38711501	26.11194192	23.45454666	20.49744882	23.63865878	21.18661621	22.71050821	22.00217456	18.02344789	22.6585902	23.60213296	22.12645159	23.21794956	21.61633071	20.83891779	23.23742366	22.36920689	31.08383635	21.02674763	20.31125863	23.85626672	26.47890819	30.98696703	24.5835921	24.31355342	27.35088875	24.25805881	32.40638646	17.85444194	27.24611735
bet1l_LG4	7.133492726	3.743133432	4.434122343	12.68039834	5.667803643	13.79664686	16.49788733	6.484173497	12.98722832	12.50691792	4.872089978	6.298723739	6.742182125	4.812975685	11.24398584	13.18655659	6.785613226	10.4013234	7.739316518	11.20846778	5.662749398	7.135901753	9.975457127	4.010817594	15.54150912	12.11848204	8.155988621	4.099959978	4.391853594	10.85775318	6.807794958	11.41129795	12.8641221	4.86095797	9.480234659	7.294236142
bhlhe41_LG4	4.83236604	5.146808469	2.791854809	1.188787345	3.435032511	5.082975159	8.520886864	6.659421429	3.682945344	6.369263757	5.052537755	3.053926661	3.193665217	12.03243921	2.149585528	4.271701431	11.80106648	9.077518601	2.469994634	7.685806475	3.850669591	8.050760952	5.743445012	6.216767271	3.42827407	6.656630979	5.301392604	5.808276636	5.611812926	2.45835921	7.456156383	9.237717391	6.799607394	7.407174049	6.47816035	7.723308856
blm_LG4	43.72140703	25.26615067	24.96246652	73.04437795	30.74354098	55.67068031	57.47066247	29.2664047	64.35462391	70.8725349	35.18731651	31.11187786	33.17863309	27.67461019	73.41661341	60.36099849	40.27113936	56.73449125	25.19394526	61.80669374	21.97146767	31.47115645	66.50304751	29.47950932	47.31018216	38.9156888	30.38105761	25.79558153	14.15152825	62.68815986	27.7174509	55.60743606	93.35677178	27.31395431	62.09553701	33.25313535
bnip2_LG4	42.80095636	37.11940654	30.71040289	24.56827179	39.33112225	39.93766196	36.07779757	36.62681786	37.99248881	31.26729481	41.86388425	35.50189744	32.11407802	35.40974968	34.55872118	34.54506375	37.32087274	32.90600493	25.02927895	25.45923395	32.84394651	27.07983229	24.18292637	26.27085524	36.11115353	30.04018083	29.36155904	31.4330265	35.62281249	32.163533	37.92914334	43.10934782	27.0146564	42.82272497	22.59455927	33.46767171
brd1b_LG4	17.02833748	12.94500312	16.25844859	11.75578596	9.961594282	10.89208963	13.95975082	8.93764455	10.8549968	9.380188443	13.89447883	10.11613207	13.66179009	14.26703507	11.24398584	14.30091349	8.85079986	11.72512819	12.84397209	8.806653253	8.154359133	16.65043742	10.27774371	10.02704399	15.08440591	12.97189627	11.62228378	13.32486993	15.37148758	13.31611239	9.077059944	14.49053708	12.8641221	11.11076107	12.9563207	10.72681786
cadps2_LG4	14.49709812	9.513797474	8.868244686	18.09598514	9.618091031	14.28073973	31.72670641	15.07132218	11.82419295	16.56008577	15.87940437	9.3526504	10.11327319	11.34487126	14.71639323	12.62937815	11.50603982	11.91424316	6.586652356	14.57100811	4.756709495	6.038070714	16.62576188	5.615144632	18.28412837	24.74901261	6.116991466	7.004098296	12.68757705	11.47234298	8.914969588	20.1056202	8.453565949	7.17569986	10.90226986	7.937845213
caprin1b_LG19	126.7920804	117.4408114	136.1439786	137.5030695	124.6916802	96.57652801	101.5254605	119.5190899	108.1622896	108.8565079	149.7716549	124.8292523	138.9244369	132.5287233	110.9516838	116.8217478	110.9300249	113.0907526	115.4310825	91.58919383	125.2600167	132.6545839	80.71051675	118.319119	90.73498704	91.48600525	112.3487433	125.219611	119.5560145	101.817044	112.4907072	99.80357416	109.528811	145.8287391	115.8168667	139.2340958
CAPZA2_LG4	71.7951526	39.30290104	38.1006068	89.5553133	36.9265995	72.61393084	60.9152763	39.08028891	75.20962071	62.53458962	38.25492872	43.13671409	36.90457584	35.23785769	69.77885329	75.03336427	45.43410595	67.13581465	40.17857937	87.26592769	33.07045649	44.0962134	64.68932803	41.71250298	66.27996535	65.03016418	35.27465079	35.02049148	26.35112157	76.20913551	42.1434926	98.53565217	106.4046671	46.29483781	91.48426446	47.62707128
cav1_LG19	80.07920867	45.54145676	50.58184006	36.58823272	44.31191939	86.65262413	60.00879898	31.19413196	74.4342638	58.71303136	38.79627205	33.97493411	34.24318816	41.2540773	52.41681633	60.91817694	37.76341274	78.67182787	36.22658796	65.16923407	18.57381803	31.47115645	54.10929775	34.69357219	67.42272337	78.85547467	40.98384282	43.9037381	26.1071297	88.2960683	45.38529972	56.33196291	50.35384935	38.65618957	83.58406891	21.88270842
cav2_LG19	7.363605395	3.587169539	2.463401302	3.830536999	3.778535762	7.50343952	8.702182329	3.504958647	6.784373002	7.527311713	3.248059985	4.008278743	3.016239372	4.812975685	6.118051118	7.614772117	3.097779951	5.295219184	2.634660942	6.084596793	0.906039904	2.561605757	6.045731592	3.409194955	7.313651349	10.07028789	4.689693457	4.44162331	0	5.531308223	2.917626411	3.441502557	4.778102493	2.31474189	7.110175994	2.574436285
cax2_LG19	21.40047818	9.82572526	5.912163124	29.0592462	11.33560729	43.5683585	20.8489785	7.710909023	31.01427658	29.99344206	9.022388848	11.6430954	12.24238333	8.938383415	33.40125205	22.47286405	10.91598649	26.09786598	9.221313298	22.41693555	10.19294892	13.53991615	24.48521295	13.43623894	17.36992195	17.23896741	12.84568208	8.199919956	5.36782106	25.60790844	9.887511725	14.12827366	18.19354411	5.786854726	18.17044976	12.22857235
ccdc136a_LG19	1.840901349	1.247711144	0.985360521	0.792524896	0.687006502	2.420464361	4.89497756	0.876239662	3.295266887	2.547705503	1.984925547	0.763481665	1.241980918	2.922163809	2.149585528	1.671535343	1.622646641	2.26937965	0.823331545	2.561935492	0.679529928	1.097831039	1.813719478	0.802163519	3.656825674	4.096388295	0.407799431	2.904138318	1.463951198	1.024316338	1.945084274	1.992448849	2.572824419	1.620319323	2.686066487	0.214536357
ccdc77_LG19	2.761352023	6.23855572	10.18205871	20.20938486	1.717516256	4.35683585	1.994250117	1.051487594	3.489106115	3.821558254	1.443582216	2.481315412	0.887129227	1.031351932	3.96846559	10.21493821	2.212699965	4.916989242	9.385979607	2.081572587	4.98321947	2.378633918	3.627438955	1.604327038	3.199722465	2.73092553	2.446796586	0.854158329	3.171894263	4.91671842	2.917626411	2.716975703	1.837731728	1.157370945	7.900195549	0.429072714
cd44b_LG19	11.50563343	9.357833581	8.868244686	4.35888693	4.465542265	9.439811009	13.59715989	4.381198309	9.304282974	7.758921304	5.052537755	7.634816653	2.661387681	12.2043312	6.614109317	9.657759758	4.720426592	8.131943746	10.37397746	8.646532285	2.491609735	4.391324156	7.55716449	3.609735835	4.113928884	10.24097074	4.893593173	5.63744497	3.415886129	4.711855153	4.052258904	3.803765984	3.124143938	4.629483781	4.89812124	3.861654428
cd82b_LG19	25.31239354	14.19271426	14.28772755	30.24803355	15.62939793	27.59329372	18.12954652	10.86537181	19.57776209	15.865257	7.037463301	14.50615164	11.00040241	11.17297927	23.14938261	25.07303014	14.45630644	19.85707194	12.67930579	28.02116944	8.380869109	9.148591991	20.55548741	12.03245278	18.96978319	27.13857245	8.971587483	11.9582166	7.807739723	26.63222478	13.93977063	24.81504476	26.46333688	10.18486432	24.64861011	12.014036
cecr5_LG19	14.49709812	12.94500312	13.46659378	32.09725831	8.587581278	16.70120409	12.87197803	7.185165226	12.2118714	18.76037689	7.398358855	8.398298318	4.61307198	8.594599437	16.36992056	14.30091349	6.785613226	13.23804796	12.51463948	11.36858874	6.568789302	10.06345119	17.53262162	10.42812574	23.99791849	14.33735903	12.43788265	8.712414954	6.831772258	18.23283081	7.780337095	16.66411765	12.12902941	10.41633851	22.27855145	6.65062707
cep290_LG19	35.20723829	16.22024487	17.57226262	32.49352075	9.27458778	25.65692223	24.65618327	10.69012387	16.67017366	26.63510299	15.33806104	13.17005873	11.88753164	13.57946711	23.14938261	33.616433	12.24360647	20.04618691	21.40662016	42.27193562	16.98824819	18.48015582	42.32012114	16.24381126	56.90934956	38.74500595	23.04066785	17.9373249	10.49165025	46.29909846	19.61293309	51.62253836	41.9002834	24.07331566	42.34504814	19.73734485
cep41_LG19	2.991464692	1.871566716	1.313814028	2.90592462	1.717516256	1.694325053	2.538136513	1.051487594	1.744553058	3.010924685	1.443582216	0.381740833	1.064555072	1.203243921	1.322821863	3.157344536	1.032593317	2.458494621	2.469994634	2.72205646	0.679529928	0.731887359	3.022865796	1.002704399	2.285516046	2.218876993	0.815598862	1.366653326	1.463951198	3.687538815	0.972542137	2.898107417	1.837731728	2.31474189	2.686066487	1.287218143
cep83_LG19	2.991464692	7.954158544	14.4519543	12.15204841	6.870065022	6.777300211	7.795705003	10.33962801	7.559729917	8.91696926	5.593881086	8.589168735	7.984163042	7.047571539	7.606225714	6.500415222	8.113233205	6.997253921	18.27796029	8.16616938	17.66777812	9.88047935	7.55716449	7.420012549	8.913512581	8.363459435	8.359888336	9.737404948	14.39552011	12.29179605	8.914969588	8.69432225	8.637339122	10.18486432	12.64031288	5.792481642
CERK_LG19	2.991464692	1.55963893	1.313814028	0.924612379	1.202261379	4.598882286	7.433114073	2.97921485	3.876784573	7.179897327	1.984925547	1.526963331	2.483961835	4.297299719	4.629876522	3.714522984	1.327619979	2.458494621	0.823331545	4.323266142	1.13254988	1.097831039	4.836585274	3.609735835	7.770754558	3.755022603	2.446796586	2.562474986	0.243991866	1.843769408	3.241807123	5.977346547	5.696968357	2.083267701	5.846144706	2.788972642
cetn2_LG19	26.00273155	27.13771738	26.27628055	19.94520989	28.33901822	30.49785095	37.16557036	42.40999963	40.12472033	34.62563388	38.07448094	27.29446953	31.75922632	28.87785411	31.25166652	29.71618387	43.36891931	42.1726385	19.10129183	25.13899201	20.15938786	22.32256446	20.25320083	21.05679237	15.31295751	18.60443017	25.69136416	27.84556152	17.32342251	24.5835921	26.74490876	28.98107417	20.03127584	28.23985106	22.59455927	20.16641757
cftr_LG19	35.8975763	12.63307533	7.882884166	22.32278458	16.8316593	21.05803994	22.66193315	16.12280978	31.7896335	17.94974332	16.4207477	10.11613207	23.59763744	15.12649501	21.66120801	41.41693127	13.27619979	11.72512819	11.0326427	16.6525807	7.24831923	12.99100063	11.7891766	9.024339587	15.08440591	18.26306448	5.709192035	8.199919956	4.147861728	11.88206952	12.96722849	32.0603133	52.0078079	16.20319323	32.07479393	11.79949964
chkb_LG19	136.2266998	55.21121813	87.53285959	234.3231944	97.55492332	172.3370625	139.7788037	67.47045396	254.8985857	163.6321762	74.34448411	132.4640689	135.9081976	73.56977118	300.4459157	179.4114601	111.0775382	245.0930022	58.29187335	184.6194764	54.13588425	66.05283417	157.491308	50.73684256	131.4171727	86.87756842	48.93593173	51.07866806	25.61914597	148.9355955	52.19309468	101.4337596	239.6402173	38.88766376	210.4612094	98.68672427
chrm2b_LG19	9.434619412	6.082591827	5.419482864	4.755149379	3.435032511	11.13413606	7.070523143	3.329710715	6.978212231	6.369263757	6.135224417	2.290444996	5.145349516	5.328651651	4.795229254	6.87186752	3.245293282	8.321058717	9.05664699	8.16616938	4.530199519	5.306183355	8.766310808	5.013521993	8.684960977	13.82531049	5.91309175	5.63744497	3.903869862	8.604257236	5.673162465	5.977346547	6.248287875	4.166535403	6.952172083	2.574436285
cib1_LG4	104.7012642	68.46814903	70.28905048	201.3013237	89.65434854	141.3551187	91.55420992	75.00611505	145.1855822	117.1944531	72.54000634	98.48913483	122.6012592	66.52219964	192.6359338	171.2395096	139.5476111	192.3299254	72.45317592	160.9215731	122.315387	83.98407448	105.8003029	82.0212198	86.84960977	85.34142281	67.28690612	65.94102298	62.70590965	121.2790544	73.75111205	127.1544629	166.6822677	115.2741461	129.0891953	89.89073363
cib2_LG4	1.840901349	2.651386181	0.656907014	1.585049793	1.889267881	5.082975159	1.450363722	1.226735526	0.775356915	0.926438365	1.082686662	2.290444996	0.532277536	1.718919887	1.653527329	2.41443994	0.885079986	0.945574854	1.152664162	0.800604841	1.13254988	0	2.116006057	1.203245278	0.228551605	0.853414228	0.407799431	0.854158329	0.243991866	0.614589803	1.296722849	0.724526854	0.551319518	0.462948378	1.422035199	0.858145428
clic2_LG19	242.5387527	156.5877486	121.3635708	70.79889075	125.3786867	116.9084286	97.35566481	88.32495791	107.5807719	88.24325424	114.7647861	133.418421	94.2131239	67.72544357	109.7942147	92.67734845	114.1753182	115.9274771	193.482913	145.0695972	212.0133375	152.0495989	123.0306379	167.0505528	236.5509108	218.8154081	134.5738122	165.0233891	166.158461	151.3939547	156.2551033	121.1771164	62.29910558	159.4857162	125.2971014	149.9609136
cmah_LG19	114.8262216	125.2390061	91.14584816	201.4334112	114.5583342	95.8503887	109.6837564	140.8993376	161.080399	160.8528611	195.4249424	136.2814773	167.6674239	88.5243742	141.5419394	197.984075	260.5085425	175.309578	40.83724461	77.81879056	3.624159615	9.51453567	6.045731592	5.214062872	47.53873377	46.7670997	64.22841039	46.29538142	10.97963399	4.711855153	0.486271068	66.8376023	0.367546346	0	104.1245773	56.63759828
cnot7_LG19	6.44315472	9.045905795	4.598349097	6.604374137	8.244078027	8.955718136	6.889227677	7.535661091	7.172051459	7.8747261	8.841941071	9.925261649	6.209904589	5.672435629	6.448756584	6.87186752	7.670693212	5.673449125	4.775322958	4.963750015	5.662749398	4.757267835	3.929725535	5.214062872	4.799583698	5.803216751	5.505292319	5.979108301	4.635845461	7.170214363	4.376439616	5.796214833	4.043009802	6.249803104	4.582113418	5.363408928
cpa2_LG4	847.2748457	1474.014753	1057.291839	1229.602377	360.5066621	2317.594626	1246.225028	540.6398713	181.433518	783.4194422	85.3517985	1080.899168	230.1213215	496.9397395	489.4440894	1077.768844	374.0938074	809.0338453	652.0785833	205.1149603	18.34730805	48.85348123	467.3350521	237.6409424	372.7676672	529.1168214	204.7153144	57.74110303	137.3674208	173.7240509	282.5234908	328.7540601	393.6421361	81.71038873	1348.721384	422.4220871
cpa5_LG4	8297.172491	7057.990014	3716.287204	3456.597336	3180.153099	21202.54166	12778.79216	6747.746387	2387.130101	10577.95744	902.9606759	7692.459519	3328.863711	5562.596648	5278.555293	9253.99111	5201.615078	8107.73703	6083.432116	4138.966908	194.5720693	856.1252385	7152.100473	3303.10883	6276.712718	8130.818716	2833.594347	1655.18801	2685.618473	2962.937438	2745.810633	6606.960383	5982.919414	1724.482708	13449.92492	5105.107154
cpt1aa_LG4	121.0392637	114.4774975	95.74419726	147.2775433	159.2137569	152.0051619	175.6753058	145.105288	118.4357687	126.6904464	179.3650903	175.600783	149.215136	159.6876575	166.8409075	172.9110449	178.0485905	118.9533167	116.0897478	130.978952	151.0821539	124.4208511	142.0746924	136.3677982	97.82008679	101.2149274	137.0206088	107.4531178	112.9682341	59.00062104	104.224099	55.96969948	68.36362028	59.72034077	98.43643654	75.5167977
cpt1b_LG4	20.4800275	6.862411293	8.375564426	3.698449517	17.51866581	31.4660367	32.2705928	29.2664047	29.85124121	24.08739748	20.21015102	11.6430954	15.61347439	14.26703507	22.15726621	25.44448244	14.45630644	37.06653429	8.233315445	21.77645168	9.060399037	15.55260638	33.25152376	17.04597477	18.74123158	41.98798002	20.59387127	21.35395822	7.319755991	22.94468596	19.77502345	19.74335678	6.615834221	10.18486432	15.64238719	5.577945285
csk_LG4	24.62205554	17.46795602	19.87143717	55.47674275	18.89267881	36.30696542	28.6446835	17.52479324	50.20436022	39.3736305	16.4207477	19.65965288	24.66219251	19.25190274	51.7554054	42.53128817	26.40488625	33.85157978	24.0412811	47.55592757	18.57381803	20.85878974	44.73841378	19.45246533	37.02535995	38.23295742	18.14707468	20.84146322	11.46761772	43.43101271	28.36581233	31.33578644	68.54739346	25.2306866	46.76915765	28.74787185
cttnbp2_LG19	10.12495742	8.578014116	7.554430659	3.302187068	6.18305852	10.89208963	14.86622815	7.009917294	7.172051459	5.558630188	7.398358855	4.199149159	6.032478743	7.391355516	7.771578447	9.28630746	5.310479916	9.644863513	5.598654503	7.045322603	3.171139663	3.110521277	3.929725535	3.810276714	10.28482221	9.7289222	2.650696302	8.029088291	4.879837327	6.760487828	6.807794958	8.332058823	2.756597592	5.786854726	11.37628159	3.647118071
dapk2b_LG19	45.56230838	24.95422288	16.09422184	31.96517082	27.65201172	48.16724079	41.33536606	25.23570226	47.49061102	37.17333938	21.47328546	33.21145244	17.210307	19.42379473	48.77905621	41.41693127	22.12699965	31.7713151	28.32260513	47.8761695	26.95468714	33.48384669	47.458993	22.05949677	44.56756291	63.66470141	27.93426103	19.13314656	11.22362585	56.1325353	31.93180016	38.58105498	38.59236629	17.82351256	43.29307161	17.59198128
deaf1_LG19	3.681802697	4.522952897	5.419482864	4.887236861	3.263280886	3.388650106	4.169795699	3.680206579	5.62133763	3.821558254	3.789403316	2.481315412	3.371091062	2.922163809	3.803112857	4.271701431	3.245293282	5.106104213	4.939989267	4.163145174	4.303689543	4.757267835	3.627438955	4.612440233	5.256686907	5.291168214	2.854596017	3.416633315	4.879837327	6.145898025	4.052258904	5.433951406	4.410556147	3.935061214	3.318082131	6.221554356
dldh_LG19	185.7009235	102.9361694	126.4546002	280.2896384	116.962857	182.7450593	186.5530337	102.3447925	215.5492222	199.3000532	101.5920984	110.3231006	118.165613	107.9481689	234.1394698	192.969469	92.49085854	210.6740775	127.4517231	212.0001619	77.01339182	98.62182166	219.7623434	115.9126285	282.7183349	226.4961361	104.8044538	125.5612743	69.53768191	250.3429129	133.8866342	189.8260358	248.828876	109.7187656	284.0910319	117.5659237
DNAJA4_LG19	71.56503993	29.78910357	36.29411251	88.23443847	32.97631211	80.35941679	43.51091165	31.54462782	61.05935702	64.85068553	30.31522653	33.78406369	27.32358019	25.9556903	65.3143295	61.47535538	33.7805528	63.16440026	43.14257293	79.90036315	22.19797764	35.49653692	72.5487791	39.90763506	82.50712928	58.20285035	39.55654481	28.69971985	18.54338184	63.50761293	28.85208339	44.01500639	57.52100309	22.91594471	59.25146662	27.67519007
