"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"50" "medium" "no water" 1 3 5.15566954297016 5.5
"51" "high" "no water" 1 3 7.89227385512471 6
"52" "low" "water" 1 3 5.6423465413536 6
"53" "medium" "water" 1 3 3.50328108815584 6.5
"54" "high" "water" 1 3 7.05161393710993 6
"55" "low" "no water" 2 3 6.83122852141836 5
"56" "medium" "no water" 2 3 4.22361409964853 5.5
"57" "high" "no water" 2 3 5.15458836518755 6
"58" "low" "water" 2 3 6.41585155105395 6
"59" "medium" "water" 2 3 7.95607834420925 6.5
"60" "high" "water" 2 3 7.42894624941809 6
"61" "low" "no water" 3 3 4.4045699851833 5
"62" "medium" "no water" 3 3 5.49670679258807 5.5
"63" "high" "no water" 3 3 5.44961308960519 6
"64" "low" "water" 3 3 6.0598427817046 6
"65" "medium" "water" 3 3 9.24614580795606 6.5
"66" "high" "water" 3 3 4.34204247956309 6
"67" "low" "no water" 4 3 3.54428109388635 5
"68" "medium" "no water" 4 3 3.50004793007781 5.5
"69" "high" "no water" 4 3 7.12050990456472 6
"70" "low" "water" 4 3 4.17993218786421 6
"71" "medium" "water" 4 3 7.58901126229816 6.5
"72" "high" "water" 4 3 5.35511282825191 6
"73" "low" "no water" 1 4 4.80113642983711 5
"74" "medium" "no water" 1 4 7.04724365543365 5.5
"75" "high" "no water" 1 4 6.01045709109651 6
"76" "low" "water" 1 4 6.65011355894398 6
"77" "medium" "water" 1 4 8.43105397153286 6.5
"78" "high" "water" 1 4 2.37260358933817 6
"79" "low" "no water" 2 4 2.94102290944909 5
"80" "medium" "no water" 2 4 4.78090003719859 5.5
"81" "high" "no water" 2 4 6.01652028076628 6
"82" "low" "water" 2 4 6.94311614886979 6
"83" "medium" "water" 2 4 9.46409498156702 6.5
"84" "high" "water" 2 4 6.69233731269892 6
"85" "low" "no water" 3 4 5.78902421243278 5
"86" "medium" "no water" 3 4 2.42472520167485 5.5
"87" "high" "no water" 3 4 5.17374963822471 6
"88" "low" "water" 3 4 5.1310875735258 6
"89" "medium" "water" 3 4 7.29221596592873 6.5
"90" "high" "water" 3 4 5.79036943690849 6
"91" "low" "no water" 4 4 7.31890678267553 5
"92" "medium" "no water" 4 4 7.26060531011956 5.5
"93" "high" "no water" 4 4 6.95991097948361 6
"94" "low" "water" 4 4 5.92722243123666 6
"95" "medium" "water" 4 4 5.8484828437001 6.5
"96" "high" "water" 4 4 5.57653031609376 6
"97" "low" "no water" 1 5 7.00959461459254 5
"98" "medium" "no water" 1 5 7.06996097123965 5.5
"99" "high" "no water" 1 5 7.12382249155485 6
"100" "low" "water" 1 5 6.86699691563765 6
"101" "medium" "water" 1 5 7.04874983705336 6.5
"102" "high" "water" 1 5 7.39713267614464 6
"103" "low" "no water" 2 5 2.13984260364186 5
"104" "medium" "no water" 2 5 5.57798278598339 5.5
"105" "high" "no water" 2 5 4.72725034192484 6
"106" "low" "water" 2 5 5.44774887974638 6
"107" "medium" "water" 2 5 7.43704112004116 6.5
"108" "high" "water" 2 5 7.83038876002698 6
"109" "low" "no water" 3 5 1.64032578394066 5
"110" "medium" "no water" 3 5 4.94698694465033 5.5
"111" "high" "no water" 3 5 5.86937151358751 6
"112" "low" "water" 3 5 8.01295735399598 6
"113" "medium" "water" 3 5 9.04111989077168 6.5
"114" "high" "water" 3 5 6.97425312164153 6
"115" "low" "no water" 4 5 5.54927403109385 5
"116" "medium" "no water" 4 5 5.03744445414515 5.5
"117" "high" "no water" 4 5 6.77185069769512 6
"118" "low" "water" 4 5 4.64831855957152 6
"119" "medium" "water" 4 5 6.79348821585713 6.5
"120" "high" "water" 4 5 5.76399094958126 6
