"genotype" "age" "exposure" "counts"
"A" 7.95883136854223 12.6067467120694 11
"A" 7.92285656873545 8.99173843632352 2
"A" 8.45791961629179 1.38220108114183 0
"A" 13.195689992512 6.64849960224188 2
"A" 11.4400512413398 3.4592755464837 0
"B" 9.47116150762671 0.852096767630428 7
"A" 8.98613226331918 10.4473520187167 14
"A" 6.4499315306667 3.53973446672578 2
"B" 6.11662140065847 6.53235833605236 2
"A" 11.8647326014817 0.380955764558166 1
"A" 14.7926239527589 1.12768205814064 2
"B" 9.38090606511441 4.52292487004256 4
"B" 19.6605245430382 5.99764074643558 4
"B" 14.2255697983042 1.52317443862557 5
"B" 7.53710258887041 3.66845592835403 2
"B" 15.1367281361603 7.99342114436341 4
"A" 5.84265880491766 2.1854898892343 10
"A" 6.01060609947271 5.69687443298704 1
"B" 12.7214802212808 4.21983714403221 10
"B" 10.848904315183 1.46652011899278 19
"B" 9.78366678638151 3.62140116260803 2
"A" 6.78573538439258 7.88671120498541 0
"A" 16.6403960062039 2.40065278718248 3
"A" 8.91258714572672 8.45864074262691 5
"B" 18.455482224918 7.07249907734704 8
"B" 7.48054747151583 11.4488203165339 0
"A" 5.80666106603123 8.34846028084767 2
"A" 8.43441939636782 1.02515627862886 2
"B" 4.03690786347351 7.83460234405608 1
"B" 7.88401239896019 0.368668348528445 4
"A" 10.9848863664381 4.75483532278988 1
"A" 9.69806071241263 4.5252458456508 3
"A" 6.59051783708308 23.079070689759 31
"A" 16.8169640826271 1.10839951550588 12
"A" 15.6922651955003 3.79794297718859 1
"A" 9.11444927402872 11.7946663585709 0
"A" 16.0002764827827 1.2182905850932 6
"A" 11.5267216327757 1.58293453045189 1
"B" 5.26691466694595 9.58858550484192 6
"B" 16.5384594541128 19.7598701984364 3
"A" 5.21652884192304 21.702823730788 10
"B" 14.7080682654121 0.999382964801043 26
"B" 7.31884852687577 1.09760110414644 9
"A" 7.97270178007438 0.507350219413638 2
"B" 8.99208367618402 1.5338142379187 10
"A" 6.82718045437048 6.30677894668138 0
"A" 5.78675447457223 3.1866116868332 2
"B" 14.3396999401769 0.0350756268016994 12
"A" 10.4173281628414 0.750205786898732 3
"B" 7.74948476644758 5.73911401681234 4
"B" 9.02100833510105 1.55226427596062 13
"B" 5.24319616006626 2.95183045323938 9
"A" 7.0590433562669 0.944242905825377 3
"A" 13.2680563336839 21.6269173016915 21
"B" 6.36479810842771 1.6308997804299 10
"B" 7.72167266807586 6.36087872998274 9
"B" 8.62302732047628 8.13373975413752 3
"A" 10.4729472618876 4.94528121293938 1
"A" 13.2919268521297 10.6922728477005 5
"A" 10.846900233033 18.7455445441386 23
"A" 9.69818284445145 13.402417199056 18
"A" 4.74901849048274 1.1770726274699 1
"B" 11.7922332237901 6.23525610172606 6
"B" 3.20994504843238 1.20307959616184 7
"B" 7.28618914715572 7.46488159201083 3
"A" 6.85124805228272 0.352118203882128 2
"B" 9.99875768526113 1.26994824735448 9
"A" 10.1377724543386 6.63389511851078 13
"A" 10.3156024246013 2.72956942208111 4
"A" 7.19054298429115 0.788383546750993 1
"B" 9.51181125796432 1.07414597179741 5
"A" 13.8134777247038 2.08747382738996 7
"A" 7.09396860186666 4.13953181586096 1
"B" 8.16042674411317 19.4831830884816 5
"A" 8.62020502755876 8.07369903619301 5
"A" 10.1681956793906 1.19403618040366 1
"A" 8.75091037424786 0.609057324531362 0
"B" 9.76511859166206 5.11457610931148 3
"B" 11.746833145458 0.338856554019862 35
"A" 6.22260907832586 0.344456180464476 0
"B" 17.7704041070427 0.327111810911447 1
"B" 8.53175535602944 2.37235995909039 6
"B" 11.67511850087 10.534582370262 7
"B" 9.55038961863926 0.45079993127563 9
"B" 9.47032295680837 7.12820887523604 10
"B" 14.7966862531771 9.50971134064936 4
"A" 7.34601581649795 2.05609380612372 1
"A" 11.1322585979619 4.16268522830164 5
"A" 4.24044137929386 1.83961011469364 1
"A" 14.7020667213136 0.550118563696742 5
"A" 7.97589744680468 1.56082820999503 0
"A" 8.88947279159996 4.58171807674176 2
"A" 11.5555559821453 10.9028525040805 19
"A" 4.89112415848898 0.274053095618868 0
"A" 13.0882133515751 1.5842173108831 4
"B" 9.55322083868309 4.25233005828591 7
"A" 9.65887421995907 1.13743585068733 2
"B" 9.90508940416851 12.9218822804498 2
"B" 10.5636700924314 5.61444609870619 13
"B" 13.1984150114519 9.26182040902686 1
"B" 9.3696083690439 2.73353489814326 2
"A" 9.60650711693225 6.61977256627238 1
"A" 10.1351464233834 0.884378352202475 3
"B" 6.29936156390536 7.05537782182076 0
"A" 8.65210259206462 0.947314614763254 3
"B" 8.71084244895779 4.12725904805876 5
"B" 7.62744516883351 5.29051511527455 8
"B" 8.44652039518775 9.4880662761153 16
"B" 6.93720688322528 2.85797571297735 12
"B" 11.407920653575 3.03426895523444 5
"A" 15.5358260683215 16.8712250391166 0
"A" 11.8487707162905 2.68643432063982 7
"A" 11.7229941307375 4.11121122052378 1
"A" 9.31786107543403 7.06786241830537 10
"A" 8.21987442210952 2.19629881205037 2
"A" 4.77390332680704 21.4062098587368 4
"A" 15.8943632982602 5.6774545458839 2
"A" 3.36997524355336 3.92530700636512 2
"B" 10.4493733640732 3.35660542361438 22
"A" 12.3877607200271 6.15060434742381 12
"B" 14.0450792200999 0.0468975131920232 21
"B" 11.919891161308 4.68356562757349 27
"A" 10.1808970356013 3.98242465867706 3
"A" 8.78053493810483 1.7621244979091 1
"A" 20.3959611846721 1.68596006929874 1
"B" 12.6218353427996 23.2526984239433 0
"B" 11.5089894254846 3.16197789972648 4
"A" 8.96486141722279 0.909812727477401 2
"A" 9.66277470897353 4.58893111679975 2
"B" 11.8783337523044 0.621238735000912 26
"B" 16.477892790518 2.73027717601508 12
"B" 5.76440306574154 4.92708666935764 10
"B" 9.1741254623509 0.253240480087698 18
"B" 10.081567514199 0.461146191228181 16
"B" 10.4961421976566 7.49624389181745 7
"B" 8.63614221382707 7.5637114695729 6
"A" 13.2900250161643 3.88845088405019 6
"B" 7.35206690568501 1.62420304083253 5
"A" 8.35065493934201 27.3459922600735 37
"B" 12.0935453757768 2.00726661132649 4
"A" 11.0349935528176 2.028143836651 0
"B" 10.0175688345039 0.44713034061715 13
"A" 4.04592142737213 0.0857306671620944 2
"B" 8.55890798406875 3.34821235155687 9
"B" 8.20531665437907 1.1430335544863 10
"B" 15.4508409836955 27.5063052106847 3
"B" 7.4435296319934 2.97643962267372 9
"B" 8.40808420533953 0.629725654163541 4
"A" 7.0596934511123 3.01503218244761 6
"B" 5.03304311863772 0.882776689250022 28
"A" 13.1120464688656 4.65324846875337 1
"B" 6.25397704369997 1.82255536317825 1
"B" 8.99698375204887 2.48256989521906 25
"B" 14.8557113044859 2.02521992171637 11
"B" 8.62428238968108 3.04853393696249 11
"A" 12.0413695890495 1.64853137917817 6
"A" 7.91799747995403 0.902828285470605 2
"A" 17.9078225033376 1.28578354646991 2
"A" 11.7482607691887 1.25037399595271 3
"B" 14.005444756891 0.663236377295107 13
"B" 10.4793024236796 0.0857996862648127 7
"B" 13.4050023240291 7.59545222877438 2
"A" 9.46363215025359 6.11204243709749 3
"B" 12.3992021835356 3.33255085395649 3
"A" 7.27075736857488 5.54264215265817 2
"A" 6.27032113873174 1.08717021066695 1
"A" 18.4011332070456 4.46130153318009 9
"A" 9.97110645889573 7.68914890433562 10
"A" 13.4486513554811 3.26742391800508 3
"B" 11.0012365096092 3.62541871123253 3
"B" 10.8271481702527 2.62035295832902 8
"B" 7.79751045547123 2.37002818845212 17
"A" 7.42659075938377 9.36299352864635 2
"B" 7.49206179987381 1.44441901706159 5
"A" 9.44586477715707 9.59289181935501 6
"A" 8.990823034844 0.764058933127671 2
"A" 11.3111018593151 1.9657242577523 7
"A" 7.8900153382257 9.20747387180936 1
"B" 6.33870908794941 0.0373067467218709 19
"B" 6.1519797658159 0.0994162886695118 4
"B" 13.5238381066154 7.3507610983671 10
"B" 6.89984113053586 3.09180471758807 2
"B" 6.76956948325545 1.43698756117374 2
"A" 11.396356818969 0.389590582956078 3
"A" 8.51565949753221 8.29368004533363 5
"B" 6.60408814213985 11.3926654023336 3
"A" 19.5477888849679 3.19925873307511 2
"B" 11.1453569939613 0.811794188339263 54
"B" 4.53403821233156 6.19103597456074 1
"A" 9.61746879594732 14.9431318781319 4
"B" 8.14235558809222 3.03529344499111 8
"A" 9.51240669693979 10.935701233636 5
"A" 9.40357669892011 0.00651977346550299 2
"A" 8.23716764112386 12.9820768994497 10
"A" 17.7393341396955 0.417443383485079 0
"B" 8.17711886262768 5.56029459906227 11
"B" 12.2256890023891 0.387414041469046 2
"A" 7.27700113032723 3.42504163971171 1
"A" 8.72072086753495 0.843047263511324 1
"B" 10.0977753446217 7.17095361975084 2
"A" 10.848165585693 3.00983525114134 2
"B" 12.4600716006905 4.34664463027668 9
"B" 6.74790412602161 0.756232386478528 6
"A" 11.0475530484541 0.959115105276199 2
"B" 12.0728046109202 4.57603747644395 3
"A" 11.9612702442522 1.23279238818213 1
"A" 11.9896642283997 6.18573636261231 0
"B" 10.519745776868 2.25085751852021 18
"A" 9.782027113751 7.85925772213459 2
"B" 8.1223977424461 2.00029757572338 18
"A" 11.8733531693545 11.8185571295427 0
"B" 4.78182781357807 3.67531023070439 6
"A" 11.6919116162417 3.86516292092806 0
"B" 8.98487797693555 2.99132998334244 15
"A" 4.86625829229255 10.9558928239292 4
"A" 19.0382839930769 0.553295970894396 0
"A" 11.6815891359218 4.49896156301206 1
"A" 8.21126715085928 2.75095862154222 5
"A" 8.59386917626546 19.9938655168492 9
"A" 7.33173509495387 0.646246415562928 2
"B" 9.20227668402813 1.95672484306369 4
"A" 7.74755384042113 1.85596833471209 3
"B" 7.13288748519125 5.12647446988524 7
"B" 11.8443784705686 4.54653469358987 2
"B" 5.63133431196082 2.78305344516411 22
"B" 4.5047395988589 6.58946779069907 3
"A" 13.4461462756897 13.6657606897162 6
"A" 8.39772570879907 12.4600768176125 1
"A" 7.82799461606135 6.74540871267623 3
"A" 6.40086660719381 0.349879947025329 6
"A" 10.9784316123515 6.71876797431564 12
"B" 7.55496450625058 1.41858636168763 8
"A" 12.678330065989 0.200589829370728 0
"B" 7.12263750868796 13.232014690827 1
"B" 8.0848056432343 0.663861031496858 10
"A" 6.74271775559619 0.99011447513476 2
"B" 7.45245740342675 2.29495777981356 6
"A" 6.64744384857013 0.162656408271989 1
"B" 6.12670022595777 1.61249513272196 12
"B" 5.92954539951644 1.26997543726328 15
"A" 8.56516953192038 0.774722651947669 5
"A" 7.34177918243169 8.22329041506064 4
"B" 9.01969714579621 10.0517841331185 15
"B" 8.86125816025024 6.17501942419863 1
"A" 14.5760373379207 0.00884947824491253 3
"B" 10.3207298174316 2.82384749734774 12
"A" 7.87617835844847 2.0927235041745 6
"B" 5.80285997883967 8.33140223245037 2
"A" 10.9807421695086 0.755163244903088 1
"A" 10.923396472721 4.02441924882537 3
"B" 8.91704074001301 0.096513768658042 29
"A" 11.3711101404081 1.93765309173614 1
"A" 5.3249872157256 5.76734876075608 0
"B" 10.7779601054857 3.53351165985173 9
"B" 9.49651753726309 1.39512663008645 8
"A" 7.82620415146898 0.187952594097928 1
"B" 7.3753812483739 7.49036664101196 10
"A" 11.5700544317608 4.93684943278736 8
"A" 5.24254217396685 3.82809597512192 1
"B" 10.6790722703793 3.58829438141896 5
"A" 5.57012554512592 0.758704755590317 1
"A" 10.6224000761144 6.37807962929315 6
"B" 9.86295410678422 10.1884022444011 21
"B" 8.527685848758 0.595576635096222 11
"A" 11.7423799149047 9.60223998832417 10
"B" 16.847729541505 2.87728867959231 6
"A" 11.5554819782365 2.85413661273196 0
"A" 11.7280838940603 6.98626792947662 1
"A" 11.1051018539144 1.13507353933528 0
"A" 11.352535794935 0.772134917788208 7
"A" 12.192956159518 12.0159000990199 6
"B" 9.53482469897145 2.79602283844724 42
"A" 8.00664333522037 3.86363233074085 0
"B" 10.1253961628313 2.1339440275915 6
"B" 18.360183974731 0.875532201025635 66
"B" 10.9085861529161 0.442482501203448 8
"B" 10.6993568322029 4.29211338225702 19
"A" 10.061589929893 3.25723663670942 5
"A" 9.7109375220896 10.6024804919183 3
"A" 11.5015948869845 1.21577073121443 2
"A" 10.6056737646813 0.837840408757584 1
"A" 7.51532330613967 3.95528997739261 1
"A" 11.9506845351206 3.14851878016486 5
"B" 7.94261288922925 4.70067827139005 11
"A" 10.7379292243171 5.08548219684342 7
"B" 7.4730915960616 6.23629788847125 0
"B" 10.1964338353014 12.2449104015933 3
"B" 5.23244339362059 15.0715400270166 3
"A" 11.099903546419 35.4872130395329 37
"A" 17.609278252743 1.13680698676035 11
"A" 8.71537393627853 4.77009656352407 0
"B" 10.473017645774 8.05883262264443 0
"A" 11.3507419538891 3.71803848051882 2
"B" 16.5930181061574 3.54444182456887 13
"A" 13.6824914513765 18.7149618834931 5
"B" 11.1075134720188 7.85996661479485 3
"A" 7.4574058968488 3.3194519742392 6
"B" 14.5216323689871 1.60213903756812 9
"B" 14.0080863671998 0.431868785526603 24
"A" 8.98165923916148 0.329902553930879 1
"A" 10.9761358693294 8.22592209870346 3
"B" 9.20356179947591 4.31096686284214 3
"B" 9.38479122034346 12.1192405459689 0
"B" 9.35612005674484 0.371251080970919 17
"B" 7.78567547425988 9.18346229898644 3
"B" 8.3860651756135 11.2805079070757 3
"B" 15.192236510304 5.3446525892005 16
"A" 8.68454716589637 8.9114541512622 0
"A" 5.69942077141152 2.00698688681914 0
"A" 8.15626320019131 1.11793155316263 5
"B" 6.28862740197314 7.96350154983711 1
"A" 8.02674870169421 0.228365190758966 2
"B" 14.863270854179 3.34489248460159 19
"A" 14.3507941974216 0.210834274921097 4
"B" 5.92749723000291 16.2287028125467 0
"A" 15.617535156967 8.33504581325783 5
"A" 10.3488085559138 6.27801876028484 19
"A" 10.4612268744585 2.01953046256676 1
"A" 8.2976799842384 9.49880723799479 2
"B" 7.09712269081701 0.0936977076344192 7
"A" 7.22523006145126 3.70484806110567 3
"A" 11.7181418459912 9.06027846927655 2
"A" 10.5979325925959 0.611584153957665 1
"A" 8.46090803965522 3.55102658357121 6
"B" 6.93994336817554 2.62353052385151 7
"B" 14.4605439139337 5.07829658200449 8
"A" 14.2892105704732 3.0963496863842 4
"A" 8.37821503935313 5.16611973467075 0
"B" 7.27622873954987 0.646111276000738 18
"B" 5.62115268288945 4.18127394725984 1
"B" 11.1228441041101 0.992561071179807 12
"B" 9.8480876541868 6.92141503074622 8
"B" 10.1798118654157 6.23919235055751 6
"A" 9.36778674088763 15.5568821685655 11
"A" 7.42690799287805 6.42838554435825 13
"B" 11.0684682601666 15.4053870580139 0
"A" 14.021240807265 20.6702462852675 12
"A" 7.099749262737 2.67897289650435 1
"B" 9.7752590818554 6.40094295588738 2
"A" 7.68956642819976 3.50724415078514 3
"A" 6.19915152944184 12.8867686440455 8
"A" 11.4168559036926 4.99598202539921 3
"B" 6.28277404866686 6.59810581223524 3
"B" 10.8526165464677 1.05710298909476 16
"A" 6.48609771061557 1.00964026525617 2
"B" 9.60700171235736 4.69745139896825 5
"A" 9.4931459436641 1.77965678813093 1
"B" 13.9595718448038 10.6721851748684 4
"A" 6.70021846806593 5.36919204801481 2
"A" 6.88997089222976 4.29335529117093 0
"A" 7.52879439199535 25.1466219950665 27
"B" 13.65622644981 3.35427100304514 27
"A" 9.4804524200816 6.37121625223613 4
"B" 13.3888106662987 1.11687493277714 4
"A" 15.1590982518836 1.34805337060243 0
"B" 8.57997991934821 8.82229857104731 3
"A" 8.77674928037872 0.726028368157581 2
"A" 14.5430854699738 8.39549256446672 7
"B" 11.5755912970966 4.90457430926567 4
"B" 11.607695101558 6.87404768054789 12
"B" 5.55035656825171 6.68562314917749 6
"B" 12.9168706574477 9.25716960760665 6
"B" 6.04173990707964 6.39320324154055 3
"A" 14.1175679468238 2.51826245337725 1
"B" 9.85971620345354 17.9694982886988 3
"A" 9.17386022510925 3.80107629091895 0
"B" 11.0323415236556 1.71220597112551 43
"A" 15.9446586799219 7.25066517851723 5
"B" 10.5904949064117 16.0272907084765 1
"A" 9.68485774646179 19.1446362704712 5
"A" 16.672936865234 0.0578125449828804 2
"A" 10.9336661162695 0.916600273922086 2
"A" 11.0586505996798 3.89617381596422 5
"B" 9.77620715679614 1.64069015765563 5
"A" 10.5372937388312 0.673541398718953 1
"B" 8.30027832125254 34.5905195809623 0
"B" 9.93043977872335 6.09344015373847 5
"B" 11.1355984522706 0.569987252820283 11
"A" 9.83576954599264 9.46741896455043 0
"B" 6.71066885168631 0.569530419361061 2
"A" 7.84300250903016 0.787776666318056 4
"A" 10.8137037056625 2.15895055560395 5
"B" 8.59171767511429 23.2354381109092 4
"B" 10.7663999121032 1.12676439108327 12
"B" 8.2763005086462 3.33495420403779 15
"A" 5.51923483287343 0.839367934968323 0
"B" 15.6963474642493 3.29571250360459 2
"B" 7.03575910115537 7.29091226505729 1
"B" 11.8719810741779 1.78289398783818 13
"B" 10.0235454095978 2.70887636113912 10
"B" 8.14543572478039 2.89190327515826 5
"B" 10.7877276010134 6.63104386979199 19
"B" 9.63317604244682 14.6660190439763 2
"B" 11.4338073646164 6.88379376640028 10
"A" 9.63452893927768 2.49741535400972 2
