Individual,Genotype,Microbiota,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50
AC11,A,conventional,13,15,69,156,2,10,9,14,286,124,895,1296,29,43,15,41,15,1638,16,42,183,6,3,9,65,170,10,2,6,706,287,186,2204,14,36,121,151,4,17,7,103,330,151,9,13,55,14,123,16,18
AC12,A,conventional,2,17,90,139,1,13,10,28,412,117,888,1282,31,9,2,71,80,1700,17,10,173,2,8,12,150,187,16,2,3,776,111,181,1588,12,43,98,115,4,14,10,82,338,183,5,1,23,11,101,15,21
AC13,A,conventional,11,5,48,144,1,13,10,17,491,130,888,955,41,199,40,46,94,1480,16,14,174,6,15,9,113,219,13,1,4,766,275,105,2699,7,13,0,110,5,2,5,66,251,161,7,5,425,9,1,16,26
AC14,A,conventional,16,9,42,111,0,18,12,28,479,104,864,814,33,48,3,55,47,1417,15,37,187,7,14,8,147,177,7,1,8,767,241,131,1658,9,25,239,112,12,2,7,92,297,69,7,8,307,16,29,13,6
AC15,A,conventional,11,10,50,239,1,8,11,12,411,92,887,1155,34,6,12,8,74,1576,17,17,182,4,14,7,148,177,13,1,5,653,142,163,1873,8,28,418,132,4,2,4,81,342,176,9,15,335,7,24,16,22
AC16,A,conventional,12,17,111,163,1,4,11,14,544,78,838,1294,38,104,9,134,61,1390,16,44,181,4,9,7,134,238,15,1,6,845,145,271,1371,21,33,238,143,3,15,7,94,236,226,9,0,549,9,96,16,13
AC17,A,conventional,15,14,70,163,2,14,13,14,368,88,826,1402,33,4,3,7,66,1547,16,11,173,11,7,7,139,209,8,5,11,709,258,162,1960,27,14,247,128,6,13,0,86,219,45,8,11,507,18,75,14,3
AC18,A,conventional,14,15,26,143,1,11,10,14,404,109,808,969,25,22,6,29,29,1591,17,3,181,5,9,7,107,182,4,0,5,696,154,130,1464,11,14,160,113,12,13,12,100,293,123,8,11,172,6,46,15,8
AC19,A,conventional,11,8,81,175,2,17,9,18,383,102,833,1038,35,104,15,28,8,1537,16,7,168,7,10,6,48,158,9,1,8,645,240,18,1892,22,48,89,116,5,24,6,101,436,168,7,0,172,16,49,15,24
AC20,A,conventional,13,8,40,157,1,5,10,22,359,120,884,896,33,67,7,14,12,1581,16,14,181,2,13,2,191,194,6,5,10,696,203,188,2205,23,48,122,148,2,24,3,88,328,215,7,4,97,18,30,16,25
AM1,A,mono,7,90,0,182,1,12,1,19,773,109,910,1130,21,45,76,1,2,1495,7,40,95,2,8,5,130,146,13,22,13,677,207,9,2120,12,16,45,82,0,3,4,58,297,121,4,79,6,6,3,23,19
AM2,A,mono,28,96,29,150,2,14,10,33,1006,142,1304,403,49,309,2,37,12,1618,9,17,205,10,31,10,128,311,0,1,33,857,537,155,2268,8,19,3,83,27,2,3,61,286,220,5,78,5,9,41,45,19
AM3,A,mono,15,76,0,188,1,5,57,16,918,130,1239,419,22,364,4,1,3,1532,10,18,197,3,26,45,181,355,1,2,4,960,732,5,2778,11,22,467,78,16,37,7,68,259,226,7,76,4,7,2,29,16
AM4,A,mono,15,91,31,181,1,16,44,25,985,116,1000,736,28,12,43,22,3,1593,8,13,131,8,0,27,118,489,4,23,18,582,1082,97,2013,11,21,383,83,21,60,2,62,304,138,6,78,6,6,30,30,15
AM5,A,mono,10,82,3,185,2,9,65,15,847,148,1268,876,38,416,16,4,11,1425,7,29,140,9,7,45,146,165,8,7,10,866,580,178,2313,11,20,223,82,17,21,6,69,299,65,2,77,4,8,39,32,17
AM6,A,mono,13,88,13,161,0,17,38,9,807,131,741,766,46,67,11,4,2,1524,10,43,73,2,23,44,137,356,8,20,28,814,172,13,2577,10,17,231,84,9,25,4,72,264,163,6,79,6,8,11,58,18
AM7,A,mono,3,67,13,231,1,10,3,26,894,150,868,582,26,360,72,25,4,1506,9,37,196,9,17,23,209,254,3,14,22,753,212,56,2300,8,23,556,80,18,10,6,56,308,303,6,76,5,8,22,46,18
AM8,A,mono,4,83,4,160,1,11,21,29,809,98,1130,117,27,65,40,20,4,1628,10,9,212,7,21,19,148,204,11,8,40,817,854,166,2260,12,20,65,83,35,38,3,64,294,296,4,81,5,7,2,31,20
AM9,A,mono,29,83,9,173,1,7,57,31,814,132,1073,530,48,227,18,15,9,1456,10,21,296,4,12,32,146,433,5,23,8,807,316,178,2437,12,19,3,80,5,16,8,60,296,130,3,78,5,7,1,29,18
AM10,A,mono,4,76,22,206,2,9,73,29,1028,136,1317,1136,26,204,80,7,5,1584,7,8,300,11,16,32,169,207,9,4,16,727,1005,133,2669,10,18,26,80,26,31,3,66,271,185,4,76,6,10,17,14,17
AM11,A,mono,12,76,21,185,1,19,9,29,837,142,1167,540,22,116,63,1,16,1558,9,37,108,9,27,37,164,340,6,6,52,1017,459,94,2721,12,19,193,74,4,14,8,57,272,301,8,80,5,8,21,42,16
AM12,A,mono,10,55,7,207,2,10,30,22,811,119,786,924,42,169,51,5,7,1488,7,22,216,2,36,5,138,194,14,27,20,978,169,111,3002,13,19,16,83,6,13,5,60,261,188,8,78,4,7,2,10,18
AM13,A,mono,39,94,34,162,1,11,1,25,858,147,1131,224,22,36,19,9,5,1638,10,39,179,7,19,36,169,433,5,7,12,743,545,23,2597,10,21,592,81,7,24,3,65,297,84,6,75,4,7,38,25,16
AM14,A,mono,16,89,30,184,1,17,4,20,990,105,1555,989,36,352,43,34,2,1611,10,43,135,16,25,4,127,377,9,4,5,728,271,0,2318,8,20,639,84,16,34,1,63,274,148,7,78,6,5,12,22,17
AM15,A,mono,26,77,4,216,1,7,8,20,653,160,1063,596,19,3,40,6,2,1587,9,30,111,9,22,38,142,294,11,9,28,736,684,44,1882,9,16,359,80,8,47,4,65,314,193,3,78,5,7,13,37,17
AM16,A,mono,14,89,12,178,2,10,23,19,894,96,829,795,27,381,62,4,16,1579,10,39,168,6,5,21,127,313,10,27,12,884,637,171,2054,11,22,31,82,30,2,7,56,271,127,7,79,6,9,30,31,20
AM17,A,mono,10,87,2,165,1,11,41,30,931,137,1152,1180,59,265,58,33,12,1608,6,12,98,3,44,3,232,275,3,6,6,936,401,144,2163,11,17,52,84,25,16,7,59,267,170,4,81,6,8,11,14,16
AM18,A,mono,22,74,4,159,2,17,70,31,1003,127,1131,892,53,349,47,3,6,1610,10,36,211,5,26,50,173,114,8,5,11,728,23,13,2183,12,20,41,80,1,10,1,62,251,214,5,76,3,5,17,41,19
AM19,A,mono,4,103,18,159,2,7,54,28,552,100,1581,91,19,309,23,40,15,1439,9,15,78,14,15,9,128,192,6,8,26,934,706,185,2044,11,25,27,80,32,5,7,66,299,22,4,76,6,8,36,33,15
AM20,A,mono,36,90,29,185,2,16,15,25,815,107,1018,1062,28,259,73,35,2,1732,6,32,262,7,25,2,173,235,5,4,48,836,880,48,2682,7,22,318,82,25,12,6,65,285,224,6,81,7,6,24,33,20
BC1,B,conventional,1,17,471,74,8,0,1,7,41,155,910,1107,30,2,2,3,1,1660,17,2,167,6,0,2,64,207,6,0,5,656,3,1915,1503,101,250,3,128,9,0,39,76,318,107,8,9,7,57,7,2,114
BC2,B,conventional,0,20,171,139,12,2,4,214,41,157,879,1031,40,19,1,7,3,1677,22,0,173,8,3,4,117,194,303,35,2,713,4,1375,1970,172,145,7,112,0,1,29,80,374,102,10,4,5,80,3,3,155
BC3,B,conventional,1,76,522,84,4,0,1,7,50,123,1223,924,41,0,0,10,5,1838,12,1,176,5,0,2,74,261,0,0,0,581,6,2217,1837,105,217,4,116,7,1,37,87,373,182,6,66,6,34,6,1,134
BC4,B,conventional,0,92,287,116,10,1,7,15,43,124,1268,978,42,2,0,8,5,1776,20,1,170,4,0,2,79,198,21,38,4,684,4,2102,1848,157,269,5,119,1,0,38,88,379,109,10,52,5,37,4,0,137
BC5,B,conventional,1,55,314,144,4,1,1,194,46,123,819,957,45,1,1,10,6,1776,14,0,177,7,1,1,57,209,226,57,4,572,2,1661,2020,116,211,2,97,1,1,32,75,364,146,12,29,6,88,4,3,151
BC6,B,conventional,0,9,578,148,3,1,1,58,47,171,1191,957,36,10,0,7,0,1798,17,1,168,7,1,3,84,212,212,27,4,714,5,2671,1902,97,189,4,102,7,1,32,77,365,174,6,21,5,46,4,3,153
BC7,B,conventional,0,47,254,60,2,3,2,97,37,158,992,954,42,17,2,9,0,1649,16,1,173,5,4,5,122,215,274,16,1,700,7,1574,1832,124,242,4,128,1,0,37,81,374,129,9,12,6,56,5,3,128
BC8,B,conventional,1,5,167,103,7,0,3,128,41,170,857,981,28,13,0,7,5,1761,22,1,179,6,0,4,110,181,4,31,6,758,0,2091,1748,135,80,10,120,4,0,42,77,384,111,7,4,5,51,5,4,141
BC9,B,conventional,1,35,284,61,9,0,2,93,47,139,1119,1003,45,29,3,2,6,1721,12,1,179,6,1,3,23,212,15,23,2,640,5,1631,1707,140,290,8,117,10,1,32,89,382,214,7,52,7,68,6,2,131
BC10,B,conventional,1,68,563,80,15,1,2,122,43,135,843,969,22,15,2,10,0,1738,19,2,170,5,1,2,33,222,60,69,4,538,3,1792,2202,82,224,6,119,4,1,40,87,365,79,9,12,6,54,5,4,141
BC11,B,conventional,1,4,374,66,12,1,2,148,48,129,1081,1036,35,16,1,4,2,1498,18,2,180,5,0,4,92,273,302,14,6,775,6,1991,1333,104,294,1,122,1,1,35,87,357,27,11,53,6,43,4,3,111
BC12,B,conventional,0,4,262,110,5,1,1,68,50,108,901,1107,41,5,1,8,4,1715,16,2,177,4,0,4,86,229,335,13,8,675,8,1607,1936,60,212,4,107,4,1,42,80,350,193,7,49,5,36,5,1,126
BC13,B,conventional,1,95,849,133,5,1,0,265,46,162,1200,1080,31,16,2,7,4,1768,16,1,170,5,6,5,75,227,126,4,4,745,4,1853,1747,47,234,2,110,3,0,32,86,415,161,7,66,6,109,6,2,135
BC14,B,conventional,1,40,653,113,10,0,1,314,44,167,691,999,32,15,2,9,2,1739,11,2,164,7,1,2,122,221,93,25,5,675,4,1446,1443,162,223,2,114,4,0,32,87,344,100,11,3,6,64,2,1,116
BC15,B,conventional,1,38,691,126,6,2,2,87,49,160,1263,1161,40,6,0,7,1,1662,16,2,171,9,0,2,42,227,179,13,4,716,1,1467,1870,108,227,4,122,1,0,38,79,401,100,7,7,6,74,4,1,141
BC16,B,conventional,0,28,365,59,12,0,0,23,45,117,1142,1054,31,15,2,15,4,1702,17,0,169,4,2,4,69,220,270,41,3,694,3,1968,2007,53,229,6,134,2,1,27,80,331,123,7,68,6,102,2,3,118
BC17,B,conventional,1,2,421,145,8,1,4,98,56,147,1038,1058,45,11,3,10,2,1889,21,0,172,6,3,1,36,211,184,19,1,706,6,2032,1586,131,203,4,114,14,1,42,73,376,120,7,9,4,61,10,3,171
BC18,B,conventional,0,41,191,143,15,0,1,41,51,138,727,822,35,11,1,13,3,1866,13,0,166,8,1,1,96,195,71,6,1,705,3,2740,1741,146,138,1,129,13,2,36,77,343,166,8,7,6,46,8,2,147
BC19,B,conventional,1,107,690,115,2,2,2,199,50,125,1224,1181,40,3,1,4,2,1857,14,2,168,6,2,5,98,217,78,23,1,694,5,1932,1816,147,217,2,117,12,1,38,71,341,154,8,31,3,31,4,2,176
BC20,B,conventional,0,45,368,75,7,1,2,84,49,146,893,917,36,4,1,1,4,1553,22,1,170,7,3,2,73,230,154,16,3,637,5,1658,1788,165,185,6,110,5,0,41,84,325,199,11,50,5,49,3,3,153
BM1,B,mono,1,61,270,90,10,0,0,159,24,89,882,945,27,4,4,6,1,1612,36,3,153,4,1,7,92,131,13,0,3,713,2,1776,1357,154,39,5,115,12,0,40,69,309,74,8,49,8,45,5,0,28
BM2,B,mono,2,12,214,61,4,0,1,159,46,123,1064,781,37,0,42,0,2,1448,25,3,180,5,0,5,87,139,86,62,0,572,7,1011,1347,81,119,2,91,10,1,42,86,260,82,4,4,6,36,2,3,142
BM3,B,mono,3,13,3,79,4,0,0,149,29,148,1081,351,25,353,5,4,6,1088,11,2,174,10,72,12,78,151,1,10,31,487,4,25,1551,87,71,2,59,12,1,22,57,213,106,5,10,12,70,1,0,126
BM4,B,mono,1,34,43,71,5,0,0,162,20,106,982,536,33,319,9,0,2,1478,19,3,163,11,45,5,90,132,89,1,22,692,3,993,1344,90,155,3,108,13,0,3,69,308,83,7,14,7,43,1,1,257
BM5,B,mono,3,3,518,89,7,0,1,159,54,92,1219,1266,20,83,13,2,3,1067,29,2,139,5,56,8,87,123,176,79,14,542,4,376,1270,112,13,7,64,11,0,49,73,269,84,8,29,8,44,7,2,152
BM6,B,mono,3,25,336,95,7,0,0,158,20,106,746,461,29,73,41,9,2,1103,10,2,187,1,32,5,90,146,4,23,9,483,0,330,1543,37,156,6,36,11,1,39,98,254,70,5,0,7,48,1,3,130
BM7,B,mono,1,52,66,74,6,0,1,163,26,64,1087,678,27,111,18,6,3,957,16,2,176,8,43,1,101,161,28,44,16,316,6,902,1301,91,101,3,89,10,1,41,68,216,94,5,1,8,59,2,5,59
BM8,B,mono,2,29,82,82,8,0,0,150,30,115,972,498,35,195,36,1,7,1257,40,2,185,9,3,3,85,135,112,31,5,438,2,226,1450,56,112,0,80,11,1,19,92,254,76,7,9,12,79,1,4,32
BM9,B,mono,1,34,27,67,5,0,1,157,22,42,1001,568,26,113,28,9,3,776,36,3,185,5,58,10,83,135,19,31,43,562,2,1291,1457,31,47,4,93,12,0,13,88,199,81,4,33,8,50,4,0,35
BM10,B,mono,2,47,67,100,9,0,0,149,19,172,993,725,35,235,19,1,0,1422,32,3,182,3,45,7,89,142,20,24,14,729,9,1349,1472,166,38,4,90,11,2,41,69,331,62,4,10,8,46,2,1,166
BM11,B,mono,1,24,164,93,6,0,0,152,14,102,906,655,36,334,6,4,5,1818,41,3,186,4,13,10,104,135,42,63,5,533,3,886,1387,160,74,7,96,13,1,47,69,229,97,7,26,8,99,3,2,69
BM12,B,mono,5,29,10,58,10,0,1,150,29,95,957,274,32,94,34,4,7,1561,27,2,163,5,54,5,86,126,93,78,36,575,2,567,1330,164,61,2,116,12,0,51,85,289,68,4,8,6,60,4,3,50
BM13,B,mono,4,0,305,56,4,0,1,153,23,130,1198,664,32,152,49,4,3,1960,42,4,165,10,60,9,94,144,23,24,4,487,4,858,1199,135,57,4,92,11,0,43,91,252,80,6,17,1,17,3,3,25
BM14,B,mono,1,80,221,86,3,0,0,161,39,160,968,690,22,241,13,3,6,1569,14,2,163,9,21,7,89,154,35,31,26,582,5,468,1392,42,53,1,67,11,0,38,89,316,98,5,18,8,64,6,4,123
BM15,B,mono,3,26,26,54,3,0,0,155,52,111,976,805,23,86,33,2,0,1292,19,3,150,0,67,8,76,140,31,0,9,708,4,654,1555,35,29,3,127,11,1,34,80,151,92,6,0,8,66,2,1,102
BM16,B,mono,2,26,158,84,4,0,1,158,27,129,1038,312,25,28,69,1,6,1293,28,2,148,6,74,11,89,129,10,29,30,486,5,503,1356,107,73,0,75,11,2,32,54,285,98,3,46,11,31,1,1,179
BM17,B,mono,2,54,195,60,11,0,0,152,34,139,944,842,35,92,23,1,2,1348,45,3,156,4,6,2,88,133,2,74,8,538,7,2217,1540,166,84,2,124,11,0,16,76,235,90,6,28,11,61,1,1,45
BM18,B,mono,3,12,384,76,5,0,1,151,45,159,1006,932,38,234,18,4,2,1279,13,3,165,4,89,10,77,134,10,72,4,337,6,2741,1203,137,80,3,90,12,1,32,79,322,94,7,51,8,87,4,2,55
BM19,B,mono,1,28,222,94,6,0,0,158,35,61,867,554,30,310,35,2,5,1294,43,2,162,6,57,8,86,149,5,43,13,564,10,1376,1428,90,53,0,79,11,0,41,53,211,83,7,20,12,22,6,1,108
BM20,B,mono,2,34,236,58,5,0,0,148,25,137,1044,550,25,26,0,1,5,1177,35,2,169,7,39,8,83,120,24,17,27,633,10,2254,1383,125,4,1,96,10,0,29,58,270,100,4,23,3,55,3,1,36
