"gender"	"age"	"mount_height"	"weight_tv"	"length_of_stay"	"channel"
"65"	2	55	6	90	17.1283602764637	1
"66"	2	41	2	88	12.7418799284234	1
"67"	2	31	4	64	12.7032814241025	3
"68"	2	58	6	17	5.08377319654344	4
"69"	2	18	2	98	15.6248718428313	4
"70"	2	29	1	93	12.3700455671451	2
"71"	2	29	5	43	10.1025464328935	1
"72"	2	6	1	135	21.7073094535574	1
"73"	1	34	3	88	14.6373382623143	1
"74"	2	28	5	52	12.948616868399	3
"75"	1	29	4	103	17.6349697510778	3
"76"	1	51	6	97	17.9918004727426	3
"77"	1	6	2	109	17.9318947119669	4
"78"	2	37	3	13	3.94048769754796	2
"79"	2	19	4	71	15.5139110352844	3
"80"	2	45	5	17	5.68804147707233	1
"81"	1	2	6	26	13.1845114092231	2
"82"	2	26	2	64	9.57612786360137	4
"83"	2	73	2	16	1.39200196885804	2
"84"	1	2	2	33	7.00396311337367	1
"85"	1	17	4	111	20.5822629620273	1
"86"	1	9	4	119	22.1572856276476	4
"87"	1	30	4	105	19.0628955938395	1
"88"	1	11	5	84	19.7529029402789	3
"89"	2	5	5	44	12.8933915711768	2
"90"	2	3	4	34	10.5758408020995	3
"91"	1	21	4	49	10.8246790247249	4
"92"	1	28	1	31	2.76159697590103	2
"93"	1	31	6	62	15.2319835585891	1
"94"	1	23	0	72	8.11708719277365	4
"95"	1	13	4	56	13.2295841537125	3
"96"	1	31	6	42	11.620066104452	2
"97"	2	11	1	56	8.67598676739676	3
"98"	1	31	4	11	3.56651654333928	3
"99"	2	25	5	37	10.8846802516847	3
"100"	1	24	2	22	4.5470877387699	2
"101"	2	16	4	63	14.0871440273605	3
"102"	1	10	2	31	7.18555658277238	3
"103"	1	26	4	60	12.9507552900143	3
"104"	2	10	6	72	19.9225090695632	4
"105"	2	6	5	30	11.1510041531036	3
"106"	1	7	5	62	16.3652031132218	4
"107"	1	51	7	37	10.8592605109908	1
"108"	1	61	1	73	6.98166561884662	3
"109"	1	32	5	72	15.208544796384	4
"110"	2	43	5	17	7.08439528162584	3
"111"	1	26	5	32	9.73250309430477	2
"112"	2	48	3	41	6.42381814729402	4
"113"	2	18	6	27	10.8794913694171	2
"114"	1	40	4	54	9.02924059350081	2
"115"	2	21	3	22	5.83205356856962	2
"116"	2	17	6	49	13.8112374749039	3
"117"	1	2	4	45	12.0179782949405	1
"118"	1	58	5	33	6.51415247975148	3
"119"	1	27	3	38	7.39026572208838	3
"120"	1	42	2	82	10.5983951729589	1
"121"	1	28	6	64	16.0082562136651	2
"122"	2	32	4	29	7.22208840063405	4
"123"	2	21	4	55	11.8738266378669	3
"124"	2	42	6	85	17.0945478653685	1
"125"	1	29	5	40	10.7193228697434	3
"126"	1	78	5	8	0.864097845749038	2
"127"	1	29	4	49	9.63129628952067	4
"128"	1	70	3	64	7.64888271478812	1
"129"	1	19	3	97	18.0326971673716	4
"130"	2	26	4	73	14.7262999371022	1
"131"	2	31	4	36	8.63211624346041	4
"132"	1	39	5	44	9.89962904450394	2
"133"	2	76	5	36	5.39343528765802	1
"134"	2	10	3	76	14.6012358020272	4
"135"	2	40	5	7	4.23759189657324	4
"136"	1	25	0	47	3.76612933254437	4
"137"	2	63	6	63	11.8164225672735	1
"138"	1	19	3	35	7.15254830823643	2
"139"	2	10	1	20	2.89301020634956	1
"140"	1	30	3	8	2.68277644818835	3
"141"	1	3	1	94	15.4303822684708	4
"142"	1	43	5	63	12.8728491966339	4
"143"	2	62	2	10	1.49922663214237	3
"144"	2	47	3	28	4.70037019088676	3
"145"	1	9	4	6	5.49346614413192	1
"146"	2	16	3	70	14.4223915832135	3
"147"	1	38	5	67	14.159634369414	4
"148"	1	14	2	72	12.4914351425385	2
"149"	2	8	7	46	18.09548137042	3
"150"	1	8	5	34	11.9310806806841	3
"151"	1	18	4	2	5.26084793102255	3
"152"	1	24	3	59	11.236879217936	3
"153"	1	49	5	28	6.90922406553596	3
"154"	2	16	5	63	15.3015302645746	4
"155"	2	47	3	80	11.4847796330758	2
"156"	2	26	2	64	9.30513896661723	3
"157"	2	27	1	56	7.1710401715044	1
"158"	2	53	1	148	18.3579352786581	1
"159"	1	26	5	24	8.82163570503365	3
"160"	2	38	4	39	8.4447137540247	1
"161"	2	22	1	47	6.30009222456599	4
"162"	1	9	0	92	13.1528858164308	1
"163"	2	29	3	17	3.79086374362567	4
"164"	2	51	2	98	11.9934681906877	1
"165"	1	1	3	53	12.2886636793842	1
"166"	1	3	3	24	8.01223665891758	3
"167"	2	5	3	79	15.511657862534	1
"168"	1	5	3	84	17.4112616643562	1
"169"	2	19	4	93	18.370085063741	2
"170"	1	5	5	33	12.1877433978353	3
"171"	1	27	3	58	10.3693102386707	2
"172"	1	19	3	86	15.0853373855141	1
"173"	2	26	3	34	7.06905302884042	1
"174"	2	27	2	38	6.20374807960058	1
"175"	2	18	4	74	14.4910706637969	1
"176"	2	5	3	74	15.4633671268979	2
"177"	1	15	1	54	8.05291909516987	3
"178"	1	38	5	70	13.854824332073	2
"179"	2	46	1	5	2.40954366734294	4
"180"	1	8	6	48	15.4710418957543	1
"181"	1	12	4	51	11.7624823557207	3
"182"	1	5	1	64	11.1188989033963	2
"183"	2	28	3	104	16.8239141704351	3
"184"	1	16	4	58	13.1848378416931	1
"185"	2	41	3	52	7.3518555136649	1
"186"	2	18	4	64	12.9905872186884	1
"187"	2	13	1	35	5.36803396136335	2
"188"	1	55	4	20	4.37359349171401	4
"189"	2	46	4	47	9.36786177585848	1
"190"	1	9	3	76	15.3590183183924	1
"191"	2	12	4	42	11.4190152210164	1
"192"	1	8	5	25	10.6753515048357	4
"193"	1	15	6	71	18.8271815582268	1
"194"	1	0	3	23	7.44959714523745	3
"195"	2	17	3	37	8.61177666892317	4
"196"	1	24	3	10	4.27340630147633	4
"197"	2	2	4	80	17.2038240796394	1
"198"	1	44	1	52	4.64190298636403	3
"199"	1	4	3	33	8.86873187199615	3
"200"	2	13	6	20	9.98250564494615	3
"201"	1	12	4	40	10.7827914598247	3
"202"	2	21	2	59	9.31367665560651	2
"203"	2	67	6	53	10.1130128128081	2
"204"	1	21	5	74	15.4104601103943	1
"205"	1	19	3	8	2.85754715189941	2
"206"	2	30	4	19	5.89418892987028	2
"207"	1	28	6	69	16.1191320065337	4
"208"	1	31	8	108	25.7427225757959	2
"209"	1	56	6	11	5.09104343718934	2
"210"	1	6	4	16	8.333287943923	2
"211"	1	42	4	81	13.8876238473678	3
"212"	2	15	6	95	21.736452830541	1
"213"	1	30	3	72	12.411764168943	3
"214"	2	3	4	48	13.1647409714448	4
"215"	1	40	0	83	8.16194995233997	4
"216"	1	36	3	79	13.1271896946452	2
"217"	2	20	3	18	5.41801980859796	3
"218"	1	23	5	22	8.87442752782841	1
"219"	2	26	1	31	4.15029502526666	2
"220"	1	35	6	100	21.1291112363716	3
"221"	1	46	7	35	11.5735013928713	4
"222"	2	20	5	77	17.479542868506	1
"223"	2	77	6	45	8.6423557371678	3
"224"	2	44	3	41	6.06252027245893	4
"225"	2	36	5	16	6.82857595686557	1
"226"	2	32	4	22	6.11775662665934	1
"227"	2	57	7	87	18.4071843029572	3
"228"	2	4	4	4	5.45922927805449	1
"229"	1	33	4	128	21.2914525875489	2
"230"	1	64	6	27	6.44709653795632	1
"231"	2	11	2	90	15.1037264109433	4
"232"	2	29	3	27	5.34011168480295	1
"233"	2	7	2	15	4.05523602099619	3
"234"	2	51	8	54	15.8359001711903	4
"235"	2	23	2	42	6.32430687016817	1
"236"	2	32	0	11	1.93379732195685	1
"237"	1	93	5	28	2.60793784797896	3
"238"	2	46	3	25	4.49394675813721	4
"239"	1	36	4	50	9.89565542951219	3
"240"	1	11	7	14	10.957526052678	4
"241"	1	1	3	70	14.767645966285	4
"242"	2	40	1	55	6.13542535134726	1
"243"	1	36	7	15	8.93520974173331	2
"244"	1	1	2	80	14.9132294818945	4
"245"	2	60	3	47	6.61835499789328	2
"246"	2	41	3	30	3.87268239724121	3
"247"	2	27	2	40	6.23922539049149	2
"248"	1	47	4	13	2.92037335412419	4
"249"	1	28	4	58	13.0417323025753	3
"250"	1	44	0	1	3.87812506812875	4
"251"	2	35	4	22	5.76090973047094	1
"252"	2	16	3	76	14.0171176936733	4
"253"	1	8	4	3	6.35835858165162	3
"254"	1	24	1	10	0.526461599597725	1
"255"	1	14	4	62	14.5401295402872	1
"256"	1	4	3	53	11.9888914887651	2
"257"	2	44	4	21	4.5490780863277	4
"258"	1	15	3	42	8.24729197719831	2
"259"	1	11	5	11	8.16590863010676	1
"260"	1	34	5	54	12.5090111471646	2
"261"	2	25	11	27	17.6922491306667	1
"262"	2	30	4	26	6.26966142143462	1
"263"	1	20	3	31	6.97550215806626	3
"264"	1	43	5	51	10.9538752923432	1
"265"	1	41	2	46	5.87916793617082	4
"266"	2	66	3	40	2.89457679179291	4
"267"	1	35	6	33	10.2330756189246	3
"268"	2	50	1	79	8.21757502314342	4
"269"	1	38	6	36	10.9255323224444	2
"270"	1	14	3	47	10.1193681287131	1
"271"	2	2	4	76	17.2543799807026	1
"272"	1	37	1	68	8.13424736839855	3
"273"	2	46	6	5	4.89665219060371	2
"274"	2	0	1	22	5.69593409383935	3
"275"	1	31	4	32	8.50050603398443	4
"276"	1	56	8	81	18.7934073299245	1
"277"	1	9	6	28	11.9446200172856	3
"278"	1	25	4	88	17.3016412391026	1
"279"	2	56	7	19	7.67772428146331	4
"280"	2	46	1	42	2.67636858715913	2
"281"	1	37	1	76	8.30087920407105	3
"282"	1	16	1	22	3.17448655015952	4
"283"	1	33	5	68	15.0571879791851	4
"284"	1	9	1	67	10.6152826417215	2
"285"	1	3	0	15	2.55454758454486	3
"286"	1	30	2	53	7.6821943845105	2
"287"	1	6	1	21	4.90201471063699	2
"288"	2	5	4	40	11.0134485646792	1
"289"	1	36	4	6	3.40063656060749	4
"290"	2	28	1	34	3.45197605525391	1
"291"	2	81	1	8	5.07582159347278	4
"292"	1	23	0	57	6.63582047409246	4
"293"	1	41	4	55	9.69896579415138	3
"294"	1	35	1	63	7.24679757444536	2
"295"	1	32	3	84	13.3920511566577	4
"296"	1	18	5	82	18.749667737076	3
"297"	1	18	2	39	6.83397911673406	3
"298"	1	36	2	33	5.40879078688656	1
"299"	1	63	5	51	8.66448037900417	1
"300"	1	54	4	12	1.8962788220431	2
"301"	2	12	5	64	15.9247815853142	1
"302"	2	29	6	25	9.99478158604748	4
"303"	1	8	6	42	15.0889497339355	2
"304"	2	44	2	5	1.01929331881397	1
"305"	1	7	2	71	12.8909050964221	3
"306"	2	28	2	21	4.07456216597564	3
"307"	1	60	4	6	0.923803572333675	3
"308"	2	45	9	59	18.7442082400812	4
"309"	2	15	3	0	2.60002540569074	2
"310"	1	28	4	50	11.0442907778445	2
"311"	1	30	3	67	12.0054947325978	4
"312"	2	33	1	39	4.0607623868969	3
"313"	2	16	3	67	13.0848134078266	1
"314"	1	58	7	24	7.71462541673651	3
"315"	1	18	4	86	17.2436189373166	3
"316"	2	19	3	38	6.96403008482415	2
"317"	2	28	4	39	9.61942694367498	4
"318"	1	5	1	41	7.66668461713827	3
"319"	1	13	4	48	12.3339661146021	1
"320"	1	52	2	53	4.93641995373491	1
"321"	2	29	6	59	14.6490093560183	4
"322"	1	8	1	41	7.04219951033934	2
"323"	2	27	1	60	6.98376792514246	1
"324"	1	22	2	23	4.18698618654528	1
"325"	1	29	2	82	12.0986651026567	3
"326"	1	0	4	35	10.7577235708181	2
"327"	2	33	4	14	4.22362093154038	2
"328"	2	24	4	25	7.93684784727593	1
"329"	2	4	7	49	17.126687945385	2
"330"	1	22	6	112	23.3256390996157	1
"331"	1	10	3	48	10.5219941553753	1
"332"	1	35	5	92	17.4244751332122	3
"333"	2	15	4	54	13.1219607592591	2
"334"	1	10	5	96	21.1844505941268	1
"335"	1	34	2	4	0.788679648862917	4
"336"	2	9	4	30	10.222532542357	2
"337"	1	22	4	8	4.18950165353959	1
"338"	1	33	7	74	19.3838180053601	2
"339"	1	5	7	34	15.5806280843479	4
"340"	2	25	5	40	10.4408410251787	3
"341"	2	32	6	39	11.5924585831245	1
"342"	1	13	6	8	8.37980086415467	3
"343"	1	17	1	54	8.30224793384415	4
"344"	1	23	3	26	5.12059191376278	2
"345"	1	42	4	61	11.3292604965549	1
"346"	1	4	5	20	10.4884764538608	2
"347"	2	26	3	34	8.09929348300154	2
"348"	1	21	2	37	6.31241696053578	3
"349"	1	55	3	23	2.66505375546299	4
"350"	2	44	2	54	6.89087637041916	3
"351"	1	33	8	29	12.914950240884	3
"352"	1	10	3	55	11.7448370126454	4
"353"	1	28	4	32	7.81569026771957	2
"354"	1	29	3	81	14.233799511742	4
"355"	1	20	3	5	3.44768401666932	4
"356"	1	16	4	31	9.25964886007109	3
"357"	2	7	3	52	12.6201682609717	4
"358"	2	10	2	72	12.4373967477197	4
"359"	1	5	3	20	7.22542694950683	3
"360"	1	10	1	27	5.33944473425754	3
"361"	2	12	6	41	13.1586944048729	3
"362"	2	23	3	54	10.9021085807153	3
"363"	2	30	2	76	12.3236403778478	3
"364"	2	2	5	45	13.6892400616489	1
"365"	1	36	8	71	19.0131640430873	2
"366"	1	55	3	79	9.89090809985078	2
"367"	1	50	4	28	4.87201544737973	4
"368"	1	42	3	57	9.13931827486349	2
"369"	2	33	2	8	0.63694307069069	3
"370"	2	63	4	68	9.3374052027001	4
"371"	2	26	3	71	12.5130814005512	4
"372"	2	38	4	49	9.73940812593779	3
"373"	2	8	2	0	1.43332720983802	4
"374"	2	4	2	34	8.24334791346673	2
"375"	2	5	3	33	8.77799511235192	1
"376"	1	8	2	82	14.47937557756	1
"377"	2	5	1	5	0.866116383171016	3
"378"	2	2	3	106	21.3498377301396	3
"379"	1	7	3	48	10.5776475856778	1
"380"	2	19	5	43	11.2799300459239	2
"381"	2	47	6	26	8.27982481012233	1
"382"	2	41	3	53	7.25342457197399	3
"383"	1	37	8	84	20.1069201738102	4
"384"	2	9	2	73	13.7769471484243	3
"385"	2	32	6	57	14.5567569759438	4
"386"	1	2	2	55	10.2377107199771	4
"387"	1	0	5	67	16.7408925780892	3
"388"	1	30	2	28	3.84416114456076	4
"389"	1	21	1	36	4.33226342037467	4
"390"	2	55	5	75	12.5313764813569	3
"391"	2	13	4	98	19.8390886203313	3
"392"	2	38	3	29	4.94349101299335	3
"393"	1	34	8	32	13.4055888713554	2
"394"	2	38	4	77	13.832424118158	1
"395"	2	46	4	28	5.73044756713623	3
"396"	2	27	3	10	3.57537254991994	2
"397"	1	33	4	51	10.0157955485026	3
"398"	2	20	4	100	18.9471569214544	3
"399"	2	15	5	27	10.1497364936929	1
"400"	1	19	5	40	12.2274524480043	3
"401"	1	32	3	24	4.38882895977447	4
"402"	1	34	2	27	2.59997533821516	2
"403"	1	10	2	16	4.00447577933485	3
"404"	1	49	3	52	7.08316909808061	1
"405"	1	15	3	24	7.28944641842251	2
"406"	2	26	2	62	9.72082355646794	1
"407"	1	18	4	55	12.5516199450209	4
"408"	1	7	5	89	20.3686514168738	3
"409"	1	36	0	67	6.56953797282674	4
"410"	1	69	0	28	3.83729966168605	4
"411"	2	3	2	12	4.78966303767492	4
"412"	1	35	4	73	14.0012263905662	4
"413"	1	27	5	29	9.72581218917281	4
"414"	1	53	0	85	6.75170505550845	2
"415"	2	19	6	38	12.7267532863893	3
"416"	1	11	3	24	6.94176825109347	4
"417"	2	5	3	76	14.593466426921	2
"418"	2	28	4	32	8.06331377258083	1
"419"	2	9	2	49	9.57937186344291	1
"420"	1	28	1	18	1.47345721479481	2
"421"	2	13	4	51	12.2762453046677	3
"422"	1	4	7	43	15.8301606551177	2
"423"	1	7	6	83	21.0741381733291	1
"424"	2	39	3	85	13.8077401482469	1
"425"	2	42	0	35	1.77699591478521	2
"426"	2	1	4	25	8.9483973278109	2
"427"	1	36	1	38	3.68229564107258	2
"428"	2	25	3	59	10.6778413866304	3
"429"	2	39	3	62	9.38110456610808	4
"430"	1	41	3	18	2.27819061520176	4
"431"	1	23	7	13	9.73002693792159	3
"432"	2	22	6	83	19.0002349664741	3
"433"	1	45	4	32	6.81496653036946	1
"434"	1	6	2	58	10.9928332179344	4
"435"	2	34	3	31	5.84349659805688	3
"436"	1	6	1	93	14.0333192089505	2
"437"	1	16	5	82	18.1859318555656	2
"438"	1	44	3	40	6.73617880806782	3
"439"	1	28	2	71	11.0575334436136	4
"440"	2	45	3	13	2.19255060207433	2
"441"	2	22	3	13	4.20222710634887	2
"442"	2	25	6	12	8.9115135378313	2
"443"	1	19	6	4	8.6692802706093	2
"444"	1	18	2	42	7.51122980743888	4
"445"	2	32	3	33	6.53334074464135	2
"446"	1	21	3	29	5.52272880511055	1
"447"	2	33	2	76	10.945577867072	4
"448"	2	9	4	110	21.6394541936596	3
"449"	2	36	0	36	2.04353725134199	3
"450"	2	27	3	42	8.09326997015108	3
"451"	2	24	3	78	14.1159365598072	4
"452"	1	2	2	59	11.4991180453791	2
"453"	2	2	1	19	4.2771677573775	1
"454"	2	73	6	36	7.29544554609362	3
"455"	2	25	4	100	19.0650867537847	4
"456"	1	19	3	57	11.420449671816	2
"457"	2	12	1	18	3.60091915914281	4
"458"	1	17	4	31	9.21466069011249	3
"459"	1	56	4	69	10.2238958734983	1
"460"	1	34	5	78	16.4975409300341	4
"461"	2	29	2	99	15.5796827928757	4
"462"	2	1	5	47	14.9633663145187	4
"463"	2	7	2	22	5.28096594049715	3
"464"	1	21	3	13	4.6620633131885	2
"465"	1	56	6	20	6.11997255570789	2
"466"	1	4	1	47	8.22874403136625	2
"467"	2	32	4	61	12.5460644245646	1
"468"	1	13	5	60	16.1854379825082	4
"469"	2	28	4	28	7.33038835546517	3
"470"	1	24	2	38	6.56531155112204	1
"471"	1	18	3	56	11.560401689484	1
"472"	1	73	3	92	10.6018754024073	3
"473"	1	20	2	34	5.41667974813264	1
"474"	1	8	3	28	8.2973741188528	4
"475"	1	42	0	50	3.42023301766604	2
"476"	2	19	4	18	5.30715712992505	2
"477"	1	28	2	90	14.0635532326893	1
"478"	2	46	4	16	3.52957197135443	2
"479"	2	42	3	61	10.0810072256799	1
"480"	1	42	4	19	4.94331470364418	3
"481"	2	46	6	70	15.3060356631495	1
"482"	1	12	3	42	9.10799322281328	2
"483"	2	42	6	50	12.5008269811506	1
"484"	2	42	5	49	10.2955650940337	3
"485"	1	7	2	3	3.5260146611573	3
"486"	1	23	4	43	10.4923562591953	1
"487"	1	30	3	60	10.4578685741706	3
"488"	1	9	6	54	16.1630835765241	3
"489"	2	48	4	37	6.04911588295709	4
"490"	1	21	2	34	6.18963590418394	4
"491"	2	17	4	29	8.43921106313656	1
"492"	1	52	2	67	7.82581794776838	3
"493"	2	40	4	92	16.5148751636028	4
"494"	1	32	10	68	22.0887701605655	2
"495"	1	1	5	43	12.8613810494939	4
"496"	2	35	4	20	4.69214276497001	3
"497"	1	41	4	21	4.55556881542799	4
"498"	1	8	7	13	11.2103111225189	1
"499"	1	17	4	42	11.0791861130951	1
"500"	2	52	4	7	2.00205349596184	2
"501"	2	26	1	14	0.748629002970833	3
"502"	1	40	5	41	9.356297152733	4
"503"	1	38	3	57	9.73515687279716	1
"504"	1	22	1	61	8.77431214362979	1
"505"	1	2	2	54	11.2314899661852	3
"506"	1	44	2	51	6.4971779410695	2
"507"	2	23	3	96	16.3104171258047	2
"508"	2	17	1	61	8.38748142532112	4
"509"	1	35	3	97	15.354014596855	2
"510"	2	33	3	68	10.9098057300958	4
"511"	1	24	2	76	12.8310758975572	2
"512"	1	43	3	71	10.5584491079623	1
"513"	2	17	7	76	20.600122841374	2
"514"	1	24	2	57	8.86532243122319	2
"515"	1	37	8	50	16.2640587439597	3
"516"	1	18	4	57	13.7272275597268	2
"517"	2	18	2	46	8.68748973725494	1
"518"	2	22	7	70	18.8091462364592	3
"519"	1	9	5	20	9.59808133579519	1
"520"	1	41	3	33	5.70082712373366	4
"521"	2	16	5	2	6.16724588891322	4
"522"	2	22	3	87	14.3107143133086	4
"523"	2	23	2	55	8.72250450960184	1
"524"	2	27	4	12	4.33475262851734	3
"525"	2	27	6	54	14.7401820720875	1
"526"	1	25	5	81	17.1094742448395	1
"527"	2	14	4	46	12.2666098979371	4
"528"	2	29	2	132	19.4962191948139	1
"529"	2	55	2	25	0.720768473338776	1
"530"	2	16	4	57	12.5211851856646	2
"531"	2	25	4	45	10.3203513043925	4
"532"	2	48	5	30	7.78055543051358	4
"533"	1	41	8	37	13.4255906387101	4
"534"	1	36	4	46	9.4964081169444	2
"535"	2	56	1	15	1.93450341286895	4
"536"	2	15	3	49	10.3906527771929	2
"537"	1	28	3	83	14.5082512280633	4
"538"	2	39	6	77	16.3845029505074	2
"539"	1	3	4	124	25.4219081903281	3
"540"	1	45	6	43	11.5787150486602	4
"541"	2	47	3	71	10.2005086841427	1
"542"	2	35	5	26	7.32420368470728	4
"543"	1	8	2	17	5.48854160694747	3
"544"	2	28	4	80	14.8215594963204	3
"545"	2	44	5	98	17.4188588704009	3
"546"	1	4	8	124	30.4398021991022	1
"547"	1	3	2	107	18.5314711224	3
"548"	2	17	3	27	7.06667726198921	4
"549"	2	13	5	62	15.0632191272716	2
"550"	1	14	7	10	10.581854329646	3
"551"	2	11	2	43	8.45257594196788	3
"552"	1	30	5	2	6.04824607147525	3
"553"	2	25	3	15	3.84540735475308	3
"554"	1	68	5	64	10.1469628089641	4
"555"	1	9	6	59	16.6154423154362	3
"556"	1	8	2	2	2.08985145032053	3
"557"	1	24	0	70	8.42540211849754	1
"558"	2	31	3	27	5.14392980023795	1
"559"	1	19	2	76	11.4227209436863	3
"560"	2	29	5	69	15.5068482174605	1
"561"	1	5	4	96	19.3939252290217	3
"562"	1	18	4	58	12.0148012750737	4
"563"	1	34	1	72	8.82602401907553	2
"564"	2	9	1	20	3.95550062397328	3
"565"	1	58	5	45	8.11979693788568	2
"566"	2	1	2	73	13.7259046690792	4
"567"	1	45	6	24	8.30872679813056	1
"568"	2	32	1	12	0.111553222822845	4
"569"	2	38	5	29	7.93558114508007	1
"570"	2	64	3	62	7.34041199302394	4
"571"	2	23	5	11	7.5519137642744	4
"572"	2	20	6	26	11.0728725676832	4
"573"	1	21	3	45	8.42552609666745	2
"574"	1	28	3	43	8.15915990303013	3
"575"	2	34	2	71	9.47712771840739	4
"576"	1	3	4	70	15.7327703707972	2
"577"	2	29	5	41	10.4338273033253	2
"578"	1	15	1	8	1.01718254880468	1
"579"	2	2	4	41	12.9772156183415	4
"580"	2	43	5	74	14.2483083292205	3
"581"	2	10	5	50	13.9615679835388	2
"582"	1	42	2	91	12.3162376405136	2
"583"	1	24	2	54	8.3633682360935	1
"584"	2	10	4	29	9.50221385126392	4
"585"	2	31	1	58	7.46289521367467	2
"586"	2	16	8	55	18.3966295937684	1
"587"	2	49	3	64	10.1127783211067	2
"588"	1	53	4	96	14.8483507671218	3
"589"	1	0	4	23	8.44952343236024	4
"590"	2	2	2	87	15.1628977996036	1
"591"	1	10	3	94	17.7947281702643	3
"592"	2	53	6	34	8.97205018904095	1
"593"	2	35	5	48	11.7286329210934	2
"594"	2	3	6	37	14.3225249885536	2
"595"	1	34	5	87	16.176922899063	1
"596"	2	8	4	31	9.40595716905964	1
"597"	2	23	5	71	16.1566478035944	4
"598"	2	35	4	11	4.30146712618306	3
"599"	2	11	1	1	0.221823629581661	4
"600"	2	13	3	101	18.6450942122992	3
"601"	1	12	5	46	13.7393198424279	4
"602"	2	43	7	75	16.4790827465333	1
"603"	2	44	0	73	6.79042681895435	4
"604"	1	53	2	50	4.87419804850011	2
"605"	1	22	1	80	11.8950513878508	3
"606"	2	25	7	85	21.3124615434057	3
"607"	2	60	4	12	1.94136401334418	4
"608"	1	20	1	55	7.56805213195196	3
"609"	2	28	2	28	4.18661195126201	3
"610"	2	30	3	4	2.09795887309575	2
"611"	2	22	3	41	8.70332256049168	3
"612"	2	39	6	12	7.48156728864332	3
"613"	2	3	1	47	7.95290978339744	2
"614"	1	49	2	18	0.411547508468253	1
"615"	2	4	4	50	13.6671701662776	2
"616"	2	19	5	50	13.0825862398267	3
"617"	2	14	4	10	6.50818061300363	4
"618"	2	2	3	19	8.56831759959669	3
"619"	2	53	4	51	8.46755349570213	4
"620"	1	2	4	45	13.3869884829694	4
"621"	2	24	6	43	12.4127453504322	3
"622"	1	50	3	73	9.62892897405145	3
"623"	2	1	1	75	12.6626183717464	1
"624"	2	37	2	58	7.4444674279455	3
"625"	2	13	5	82	18.677155578916	4
"626"	2	41	5	3	4.513735935554	2
"627"	1	42	6	61	14.2762815826925	4
"628"	2	22	6	96	21.122406447033	2
"629"	1	13	8	9	12.1312443353574	2
"630"	2	34	6	22	8.35426790447965	2
"631"	2	9	4	76	17.7054231320219	3
"632"	2	9	2	19	4.99587800125644	3
"633"	1	6	2	66	12.1096384631797	2
"634"	1	33	4	69	13.4935202961413	1
