"manager","branch","month_out_of_year","discount_rate","hours_in_branchwide_meetings","monthly_revenue_in_dollars"
"Michael",1,11,0,37,42.865
"Andy",2,11,0,26,55.904
"Nellie",3,11,0,29,51.355
"Dwight",4,11,0,40,50.415
"Charles",5,11,0,30,51.005
"Creed",6,11,0,34,36.866
"Deangelo",7,11,0,43,34.575
"Michael",1,12,0,6,82.058
"Andy",2,12,0,16,62.513
"Nellie",3,12,0,25,52.924
"Dwight",4,12,0,30,57.627
"Charles",5,12,0,36,47.265
"Creed",6,12,0,50,23.008
"Deangelo",7,12,0,35,42.968
"Michael",1,1,5,35,50.993
"Andy",2,1,5,9,77.787
"Nellie",3,1,5,24,60.769
"Dwight",4,1,5,24,65.018
"Charles",5,1,5,35,48.864
"Creed",6,1,5,29,46.365
"Deangelo",7,1,5,45,33.855
"Michael",1,2,5,42,45.057
"Andy",2,2,5,36,50.278
"Nellie",3,2,5,30,52.175
"Dwight",4,2,5,26,67.178
"Charles",5,2,5,27,55.266
"Creed",6,2,5,43,29.569
"Deangelo",7,2,5,40,41.905
"Michael",1,3,5,37,48.211
"Andy",2,3,5,36,49.121
"Nellie",3,3,5,34,53.005
"Dwight",4,3,5,39,52.977
"Charles",5,3,5,11,76.056
"Creed",6,3,5,31,42.485
"Deangelo",7,3,5,22,58.796
"Michael",1,4,5,26,63.139
"Andy",2,4,5,36,47.691
"Nellie",3,4,5,42,42.681
"Dwight",4,4,5,8,87.937
"Charles",5,4,5,26,59.94
"Creed",6,4,5,29,44.867
"Deangelo",7,4,5,43,38.381
"Michael",1,5,5,47,39.165
"Andy",2,5,5,36,47.62
"Nellie",3,5,5,34,45.911
"Dwight",4,5,5,27,65.741
"Charles",5,5,5,35,49.842
"Creed",6,5,5,21,51.332
"Deangelo",7,5,5,32,50.101
"Michael",1,6,5,28,61.25
"Andy",2,6,5,18,62.209
"Nellie",3,6,5,35,44.044
"Dwight",4,6,5,30,61.748
"Charles",5,6,5,28,55.898
"Creed",6,6,5,29,42.976
"Deangelo",7,6,5,19,58.956
"Michael",1,7,5,52,41.236
"Andy",2,7,5,30,54.382
"Nellie",3,7,5,43,41.741
"Dwight",4,7,5,33,59.148
"Charles",5,7,5,28,56.027
"Creed",6,7,5,37,39.801
"Deangelo",7,7,5,37,45.325
"Michael",1,8,5,20,68.554
"Andy",2,8,5,32,51.212
"Nellie",3,8,5,45,35.775
"Dwight",4,8,5,39,52.31
"Charles",5,8,5,40,46.205
"Creed",6,8,5,5,67.872
"Deangelo",7,8,5,34,48.13
"Michael",1,9,5,34,52.926
"Andy",2,9,5,39,43.053
"Nellie",3,9,5,33,55.339
"Dwight",4,9,5,38,51.035
"Charles",5,9,5,25,58.73
"Creed",6,9,5,36,37.56
"Deangelo",7,9,5,28,52.653
"Michael",1,10,5,27,60.632
"Andy",2,10,5,21,62.512
"Nellie",3,10,5,45,40.758
"Dwight",4,10,5,43,48.873
"Charles",5,10,5,11,77.1
"Creed",6,10,5,22,51.271
"Deangelo",7,10,5,29,55.894
"Michael",1,11,5,44,42.084
"Andy",2,11,5,30,51.148
"Nellie",3,11,5,21,60.21
"Dwight",4,11,5,22,68.799
"Charles",5,11,5,6,76.537
"Creed",6,11,5,18,54.67
"Deangelo",7,11,5,23,60.655
"Michael",1,12,5,32,53.174
"Andy",2,12,5,19,65.422
"Nellie",3,12,5,27,57.152
"Dwight",4,12,5,37,58.588
"Charles",5,12,5,24,59.918
"Creed",6,12,5,34,40.245
"Deangelo",7,12,5,23,57.829
"Michael",1,1,10,20,67.607
"Andy",2,1,10,26,63.598
"Nellie",3,1,10,33,54.381
"Dwight",4,1,10,18,79.641
"Charles",5,1,10,34,53.62
"Creed",6,1,10,33,44.316
"Deangelo",7,1,10,33,50.976
"Michael",1,2,10,41,47.751
"Andy",2,2,10,31,56.148
"Nellie",3,2,10,22,66.931
"Dwight",4,2,10,26,66.687
"Charles",5,2,10,26,62.951
"Creed",6,2,10,20,56.623
"Deangelo",7,2,10,32,50.281
"Michael",1,3,10,32,60.704
"Andy",2,3,10,32,52.085
"Nellie",3,3,10,24,60.221
"Dwight",4,3,10,35,62.768
"Charles",5,3,10,30,55.572
"Creed",6,3,10,44,27.379
"Deangelo",7,3,10,36,45.652
"Michael",1,4,10,38,51.965
"Andy",2,4,10,16,68.459
"Nellie",3,4,10,27,60.517
"Dwight",4,4,10,42,54.124
"Charles",5,4,10,23,62.907
"Creed",6,4,10,17,59.121
"Deangelo",7,4,10,35,48.793
"Michael",1,5,10,34,53.592
"Andy",2,5,10,40,44.757
"Nellie",3,5,10,33,53
"Dwight",4,5,10,15,77.301
"Charles",5,5,10,35,50.079
"Creed",6,5,10,8,67.852
"Deangelo",7,5,10,33,53.095
"Michael",1,6,10,35,56.498
"Andy",2,6,10,18,64.951
"Nellie",3,6,10,30,57.149
"Dwight",4,6,10,21,76.965
"Charles",5,6,10,26,61.849
"Creed",6,6,10,31,43.619
"Deangelo",7,6,10,28,56.076
"Michael",1,7,10,18,71.085
"Andy",2,7,10,43,39.681
"Nellie",3,7,10,26,59.312
"Dwight",4,7,10,26,68.462
"Charles",5,7,10,24,62.151
"Creed",6,7,10,54,21.439
"Deangelo",7,7,10,20,64.764
"Michael",1,8,10,9,78.575
"Andy",2,8,10,27,59.657
"Nellie",3,8,10,36,48.462
"Dwight",4,8,10,27,66.672
"Charles",5,8,10,19,67.899
"Creed",6,8,10,11,64.382
"Deangelo",7,8,10,45,39.846
"Michael",1,9,10,15,76.791
"Andy",2,9,10,25,58.062
"Nellie",3,9,10,18,69.326
"Dwight",4,9,10,42,52.414
"Charles",5,9,10,41,51.808
"Creed",6,9,10,29,47.898
"Deangelo",7,9,10,33,53.869
"Michael",1,10,10,30,60.832
"Andy",2,10,10,26,59.01
"Nellie",3,10,10,37,50.843
"Dwight",4,10,10,35,61.454
"Charles",5,10,10,46,37.418
"Creed",6,10,10,33,41.677
"Deangelo",7,10,10,45,35.821
"Michael",1,11,10,26,64.372
"Andy",2,11,10,26,55.495
"Nellie",3,11,10,35,50.008
"Dwight",4,11,10,34,62.302
"Charles",5,11,10,19,66.08
"Creed",6,11,10,31,44.901
"Deangelo",7,11,10,38,45.397
"Michael",1,12,10,11,77.516
"Andy",2,12,10,27,56.578
"Nellie",3,12,10,28,57.805
"Dwight",4,12,10,20,75.609
"Charles",5,12,10,15,74.328
"Creed",6,12,10,38,35.354
"Deangelo",7,12,10,27,55.337
"Michael",1,1,15,42,52.546
"Andy",2,1,15,22,68.849
"Nellie",3,1,15,31,53.661
"Dwight",4,1,15,29,69.125
"Charles",5,1,15,44,43.778
"Creed",6,1,15,27,52.485
"Deangelo",7,1,15,16,69.763
"Michael",1,2,15,22,73.779
"Andy",2,2,15,41,44.208
"Nellie",3,2,15,43,43.291
"Dwight",4,2,15,22,74.584
"Charles",5,2,15,35,53.72
"Creed",6,2,15,34,42.589
"Deangelo",7,2,15,20,68.414
"Michael",1,3,15,32,58.846
"Andy",2,3,15,11,76.257
"Nellie",3,3,15,40,45.453
"Dwight",4,3,15,52,43.558
"Charles",5,3,15,23,68.528
"Creed",6,3,15,34,43.794
"Deangelo",7,3,15,19,65.484
"Michael",1,4,15,26,63.804
"Andy",2,4,15,16,71.838
"Nellie",3,4,15,33,52.911
"Dwight",4,4,15,23,74.798
"Charles",5,4,15,47,43.16
"Creed",6,4,15,21,55.009
"Deangelo",7,4,15,23,61.753
"Michael",1,5,15,37,54.977
"Andy",2,5,15,21,66.078
"Nellie",3,5,15,34,54.426
"Dwight",4,5,15,38,56.332
"Charles",5,5,15,29,62.607
"Creed",6,5,15,31,41.46
"Deangelo",7,5,15,35,48.807
"Michael",1,6,15,30,62.603
"Andy",2,6,15,29,59.787
"Nellie",3,6,15,28,63.664
"Dwight",4,6,15,37,59.979
"Charles",5,6,15,13,77.66
"Creed",6,6,15,47,27.402
"Deangelo",7,6,15,31,57.974
"Michael",1,7,15,19,68.663
"Andy",2,7,15,20,71.127
"Nellie",3,7,15,35,52.361
"Dwight",4,7,15,21,76.186
"Charles",5,7,15,34,55.285
"Creed",6,7,15,54,24.777
"Deangelo",7,7,15,24,59.33
"Michael",1,8,15,43,50.871
"Andy",2,8,15,29,62.052
"Nellie",3,8,15,14,74.909
"Dwight",4,8,15,17,81.208
"Charles",5,8,15,30,59.733
"Creed",6,8,15,38,38.852
"Deangelo",7,8,15,25,58.295
"Michael",1,9,15,39,54.637
"Andy",2,9,15,45,46.1
"Nellie",3,9,15,27,66.13
"Dwight",4,9,15,35,62.552
"Charles",5,9,15,40,48.518
"Creed",6,9,15,0,75.78
"Deangelo",7,9,15,36,48.239
"Michael",1,10,15,29,58.996
"Andy",2,10,15,39,48.705
"Nellie",3,10,15,33,55.899
"Dwight",4,10,15,30,72.311
"Charles",5,10,15,3,87.382
"Creed",6,10,15,37,41.255
"Deangelo",7,10,15,29,57.859
"Michael",1,11,15,15,77.636
"Andy",2,11,15,26,62.737
"Nellie",3,11,15,34,55.198
"Dwight",4,11,15,39,57.137
"Charles",5,11,15,29,62.432
"Creed",6,11,15,18,58.983
"Deangelo",7,11,15,27,60.82
"Michael",1,12,15,43,50.279
"Andy",2,12,15,53,33.106
"Nellie",3,12,15,27,61.812
"Dwight",4,12,15,8,88.915
"Charles",5,12,15,26,62.794
"Creed",6,12,15,24,54.498
"Deangelo",7,12,15,41,49.957
"Michael",1,1,20,30,64.48
"Andy",2,1,20,34,57.535
"Nellie",3,1,20,32,56.273
"Dwight",4,1,20,30,65.435
"Charles",5,1,20,43,48.413
"Creed",6,1,20,44,35.106
"Deangelo",7,1,20,30,62.87
"Michael",1,2,20,44,50.321
"Andy",2,2,20,31,61.914
"Nellie",3,2,20,33,60.642
"Dwight",4,2,20,42,57.659
"Charles",5,2,20,32,62.431
"Creed",6,2,20,18,63.941
"Deangelo",7,2,20,22,70.352
"Michael",1,3,20,13,81.925
"Andy",2,3,20,27,63.401
"Nellie",3,3,20,30,59.743
"Dwight",4,3,20,30,68.832
"Charles",5,3,20,39,52.047
"Creed",6,3,20,34,46.287
"Deangelo",7,3,20,45,47.262
"Michael",1,4,20,40,54.459
"Andy",2,4,20,34,55.006
"Nellie",3,4,20,25,70.071
"Dwight",4,4,20,26,73.095
"Charles",5,4,20,22,72.259
"Creed",6,4,20,34,45.203
"Deangelo",7,4,20,30,58.004
"Michael",1,5,20,34,62.405
"Andy",2,5,20,34,56.928
"Nellie",3,5,20,18,76.179
"Dwight",4,5,20,27,71.94
"Charles",5,5,20,27,68.479
"Creed",6,5,20,34,46.539
"Deangelo",7,5,20,27,62.609
"Michael",1,6,20,39,55.193
"Andy",2,6,20,38,52.049
"Nellie",3,6,20,13,79.684
"Dwight",4,6,20,46,52.423
"Charles",5,6,20,37,58.049
"Creed",6,6,20,17,63.748
"Deangelo",7,6,20,20,67.43
"Michael",1,7,20,41,55.239
"Andy",2,7,20,24,64.209
"Nellie",3,7,20,25,65.123
"Dwight",4,7,20,34,65.745
"Charles",5,7,20,32,60.901
"Creed",6,7,20,27,55.792
"Deangelo",7,7,20,47,41.249
"Michael",1,8,20,38,53.228
"Andy",2,8,20,42,46.3
"Nellie",3,8,20,34,54.155
"Dwight",4,8,20,28,73.122
"Charles",5,8,20,24,66.438
"Creed",6,8,20,33,44.973
"Deangelo",7,8,20,18,72.3
"Michael",1,9,20,36,58.052
"Andy",2,9,20,38,50.572
"Nellie",3,9,20,22,68.416
"Dwight",4,9,20,48,55.366
"Charles",5,9,20,57,33.932
"Creed",6,9,20,44,38.474
"Deangelo",7,9,20,23,66.177
"Michael",1,10,20,55,38.763
"Andy",2,10,20,29,60.175
"Nellie",3,10,20,41,50.884
"Dwight",4,10,20,17,84.187
"Charles",5,10,20,25,64.697
"Creed",6,10,20,20,58.796
"Deangelo",7,10,20,31,56.117
"Michael",1,11,20,28,64.132
"Andy",2,11,20,21,69.069
"Nellie",3,11,20,50,40.996
"Dwight",4,11,20,28,76.349
"Charles",5,11,20,42,51.733
"Creed",6,11,20,50,31.921
"Deangelo",7,11,20,39,48.171
"Michael",1,12,20,17,76.799
"Andy",2,12,20,37,50.327
"Nellie",3,12,20,20,73.453
"Dwight",4,12,20,9,90.987
"Charles",5,12,20,36,59.225
"Creed",6,12,20,33,50.246
"Deangelo",7,12,20,35,57.399
