Gender,State,Food_Offered,Weather,Distance_Away,Vampire_Belief,Given_Blood_Past,Donated_Blood
M,LA,1,warm,1,likely,0,1
M,KY,0,cold,1,unsure,1,1
M,MS,1,cold,17,unlikely,0,0
M,VT,1,hot,1,unsure,0,1
M,UT,1,cold,1,unlikely,0,1
M,MD,0,warm,0,definitely,0,1
M,RI,0,warm,4,likely,0,0
M,WI,0,hot,6,unsure,0,0
M,MI,0,cold,1,unlikely,0,0
M,OK,0,warm,1,likely,1,1
M,MD,1,warm,6,definitely,0,1
M,KY,0,hot,14,none,1,0
M,PA,1,hot,12,likely,0,0
M,HI,1,cold,7,none,1,0
M,OK,1,hot,0,unsure,0,1
M,CT,0,warm,7,unlikely,0,0
M,IL,1,cold,8,none,1,0
M,DE,0,warm,6,unlikely,1,0
M,ID,0,cold,0,unlikely,0,1
M,AZ,1,warm,10,none,0,0
M,NC,0,cold,2,unsure,0,0
M,UT,0,hot,2,none,1,1
M,RI,1,warm,1,unsure,0,1
M,SC,1,hot,7,definitely,0,1
M,MN,0,cold,4,unsure,0,0
M,MA,1,cold,9,likely,0,0
M,SD,1,warm,6,unsure,1,1
M,NM,1,warm,0,none,1,1
M,NC,1,warm,5,likely,0,1
M,LA,0,warm,10,likely,0,0
M,IN,0,warm,7,unsure,1,0
M,WY,0,hot,7,unlikely,1,0
M,NY,0,hot,3,unlikely,0,0
M,HI,1,cold,10,none,0,0
M,CT,0,cold,1,unlikely,0,0
M,MS,0,hot,0,unsure,0,1
M,WA,1,cold,3,likely,0,1
M,NJ,0,cold,1,unlikely,1,1
M,WI,0,warm,0,unlikely,1,1
M,OR,1,warm,1,likely,0,1
M,LA,0,cold,10,likely,0,0
M,MI,1,cold,5,unlikely,1,1
M,DE,1,hot,5,none,0,1
M,AL,1,hot,1,unlikely,1,1
M,OK,0,cold,5,definitely,0,0
M,CO,1,cold,2,unlikely,0,1
M,MN,0,warm,0,none,0,1
M,NC,1,cold,1,unlikely,0,0
M,WY,0,hot,6,none,0,0
M,MO,1,hot,1,none,0,0
M,MO,0,cold,1,none,0,1
M,FL,1,hot,2,likely,0,1
M,PA,1,cold,2,unlikely,0,1
M,MN,1,warm,22,unlikely,0,0
M,MT,0,hot,9,none,1,0
M,HI,0,hot,12,unlikely,0,0
M,ID,0,hot,1,none,0,1
M,NJ,0,cold,1,none,1,0
M,NH,1,hot,0,definitely,0,1
M,AR,0,cold,5,none,1,0
M,AK,0,warm,0,unlikely,1,1
M,NC,0,cold,5,unsure,0,0
M,WA,0,hot,0,unlikely,0,1
M,NJ,0,warm,0,unsure,1,1
M,NH,0,hot,1,unlikely,0,0
M,NE,1,cold,0,none,0,1
M,WY,1,warm,14,definitely,1,0
M,MT,0,warm,0,none,0,0
M,OH,0,cold,3,unsure,0,0
M,NM,0,hot,5,likely,1,0
M,ID,1,hot,1,likely,0,1
M,IL,0,warm,6,definitely,0,0
M,OR,1,warm,19,definitely,0,0
M,MN,1,hot,0,unlikely,0,1
M,FL,0,warm,3,likely,0,0
M,PA,0,hot,14,unsure,0,0
M,CO,1,cold,7,likely,0,0
M,UT,0,warm,7,none,1,0
M,NM,1,hot,0,none,1,1
M,NV,0,warm,1,definitely,0,1
M,KY,1,hot,29,likely,0,0
M,MN,1,hot,0,likely,1,1
M,MT,1,hot,7,unlikely,0,1
M,GA,0,warm,6,likely,0,0
M,NE,0,cold,3,none,0,1
M,AR,0,warm,6,none,0,0
M,IN,0,warm,1,definitely,0,0
M,HI,0,warm,1,likely,0,0
M,IA,0,cold,0,likely,0,1
M,VT,0,cold,0,likely,0,1
M,MN,1,warm,2,unlikely,0,1
M,RI,0,hot,1,unlikely,1,1
M,VT,1,warm,3,none,1,1
M,MA,0,cold,0,unlikely,0,1
M,AR,1,warm,4,likely,0,1
M,KY,0,warm,8,definitely,0,0
M,OR,1,warm,2,unlikely,0,1
M,KY,0,hot,2,none,0,1
M,NY,1,hot,3,unsure,0,0
M,TX,1,hot,6,definitely,1,1
M,TX,0,cold,0,unsure,0,0
M,MD,0,warm,2,unsure,0,0
M,MD,1,warm,4,unsure,1,0
M,VT,0,hot,1,unlikely,0,1
M,NC,1,cold,10,none,0,0
M,PA,1,warm,0,unlikely,0,1
M,NM,0,warm,2,unlikely,0,0
M,VA,0,warm,2,unlikely,0,1
M,IA,0,cold,1,unsure,1,0
M,GA,0,cold,3,unsure,0,1
M,VT,0,cold,6,unlikely,0,0
M,MT,0,hot,0,unlikely,1,1
M,UT,1,warm,1,unlikely,0,1
M,GA,0,cold,20,likely,0,0
M,PA,0,warm,12,likely,1,0
M,OR,1,hot,5,unsure,0,0
M,WV,0,warm,11,likely,0,0
M,NV,0,hot,2,likely,1,1
M,OK,1,hot,11,none,0,0
M,MD,1,cold,4,none,0,0
M,CO,0,cold,5,likely,0,0
M,WA,1,cold,6,definitely,0,1
M,IA,0,cold,2,none,0,0
M,NJ,1,hot,1,unsure,0,1
M,CO,1,hot,2,unlikely,1,1
M,TX,1,cold,7,unlikely,0,0
M,KS,0,warm,0,likely,0,0
M,SC,0,hot,7,none,0,0
M,IN,0,warm,4,unlikely,1,0
M,HI,1,cold,0,likely,0,1
M,MT,1,hot,3,unlikely,0,0
M,IN,1,warm,15,unlikely,0,0
M,GA,1,cold,17,none,0,0
M,MT,1,warm,2,none,1,1
M,NH,1,warm,0,unlikely,0,1
M,CT,1,warm,6,unlikely,1,1
M,IL,0,warm,2,unsure,0,0
M,OK,1,hot,1,unlikely,0,1
M,WI,0,warm,1,unlikely,0,0
M,CO,1,cold,3,definitely,1,1
M,RI,0,hot,5,definitely,0,0
M,WV,0,warm,0,unsure,0,0
M,SD,0,hot,1,unlikely,1,1
M,KS,1,cold,1,unsure,0,1
M,NC,1,warm,14,none,0,0
M,WV,0,hot,17,none,1,0
M,WV,1,cold,10,definitely,0,0
M,KY,0,warm,4,unlikely,0,0
M,IN,1,warm,6,none,0,1
M,FL,0,warm,3,none,0,0
M,KY,1,cold,0,unlikely,1,1
M,MT,1,hot,0,definitely,0,1
M,WA,0,warm,0,definitely,0,1
M,MT,0,hot,10,definitely,1,0
M,IL,0,cold,5,unsure,0,0
M,AZ,0,hot,4,none,0,0
M,MA,1,hot,1,none,0,1
M,TX,1,cold,4,definitely,1,1
M,LA,0,cold,2,unlikely,0,0
M,CT,0,hot,18,definitely,0,0
M,ME,0,hot,14,none,1,0
M,NY,0,hot,19,likely,0,0
M,MD,0,hot,0,likely,1,1
M,OH,1,warm,9,definitely,0,0
M,OH,0,warm,2,none,1,1
M,NV,0,hot,0,likely,1,1
M,MI,0,hot,1,likely,1,1
M,MN,1,cold,22,unsure,0,0
M,KS,0,warm,2,none,0,0
M,NH,1,hot,0,unlikely,0,1
M,VA,0,hot,4,likely,0,0
M,DE,0,warm,0,likely,0,1
M,MA,1,hot,0,none,0,1
M,HI,1,hot,1,none,1,1
M,MI,1,hot,10,definitely,1,0
M,CT,1,hot,1,unlikely,0,1
M,MS,1,cold,10,unlikely,0,0
M,WV,0,cold,10,none,0,0
M,RI,0,hot,0,unsure,0,1
M,WA,0,cold,6,unlikely,1,0
M,MS,1,warm,2,unsure,0,0
M,NM,1,hot,2,likely,1,1
M,MO,0,hot,7,unsure,0,0
M,CO,0,hot,0,none,0,1
M,IL,0,hot,0,likely,1,1
M,MO,1,hot,5,unlikely,0,0
M,ME,1,hot,5,unlikely,1,0
M,WA,0,cold,12,unsure,1,0
M,NE,0,cold,0,none,0,0
M,KS,1,warm,5,unlikely,0,0
M,IN,0,hot,5,none,0,0
M,SC,1,hot,1,unlikely,0,1
M,OK,0,hot,16,unlikely,0,0
M,FL,0,warm,3,unlikely,1,0
M,AR,1,hot,2,none,0,0
M,PA,1,cold,3,unlikely,0,0
M,NY,0,warm,3,likely,0,0
M,FL,0,cold,0,none,1,1
M,AR,0,cold,7,none,0,0
M,CO,0,cold,12,likely,0,0
M,MD,1,hot,6,none,0,0
M,FL,1,hot,4,unlikely,0,1
M,IA,1,warm,0,definitely,1,1
M,GA,1,cold,0,likely,1,1
M,IL,0,cold,20,none,0,0
M,GA,1,warm,0,unlikely,1,1
M,MS,1,hot,3,unlikely,0,1
M,RI,1,cold,0,unlikely,0,0
M,AK,0,cold,2,none,1,1
M,NE,1,cold,2,unlikely,1,1
M,VT,0,warm,0,unsure,1,1
M,ME,1,hot,4,unlikely,1,1
M,AZ,1,hot,1,definitely,0,1
M,CT,0,cold,8,unlikely,0,0
M,KY,0,cold,0,unlikely,0,0
M,DE,1,warm,2,none,0,1
M,CT,0,cold,0,none,0,1
M,ID,0,hot,0,unlikely,0,1
M,ID,0,hot,20,likely,0,0
M,CT,1,warm,2,none,1,1
M,WY,1,hot,5,none,0,1
M,KY,0,warm,5,likely,0,0
M,MT,0,warm,0,likely,1,1
M,OH,1,warm,9,likely,0,0
M,CA,0,cold,3,none,0,0
M,CO,0,warm,3,unlikely,0,0
M,AZ,0,hot,27,likely,0,0
M,WA,0,cold,6,unsure,0,0
M,ND,1,hot,0,unlikely,0,1
M,CA,0,cold,5,unlikely,0,0
M,MO,0,warm,2,definitely,1,1
M,MS,1,warm,2,none,0,1
M,ME,1,cold,4,unsure,0,0
M,WY,1,hot,6,none,0,1
M,FL,0,hot,0,unsure,0,1
M,SD,1,cold,1,unlikely,1,1
M,AR,1,warm,2,unlikely,0,1
M,MA,0,cold,2,unlikely,1,1
M,DE,0,hot,15,none,1,0
M,GA,0,warm,16,none,0,0
M,TX,1,warm,2,likely,0,1
M,OK,1,hot,27,none,0,0
M,IN,1,warm,7,unsure,0,0
M,MO,1,warm,6,unlikely,0,0
M,CA,0,warm,2,none,0,1
M,LA,0,warm,4,unlikely,0,0
M,WI,1,hot,3,none,0,1
M,NY,0,warm,3,definitely,0,0
M,ND,1,hot,9,unsure,1,0
M,KS,0,cold,1,unlikely,0,0
M,MA,1,cold,13,none,1,0
M,WY,0,warm,3,unsure,0,0
M,TX,0,warm,2,unlikely,0,0
M,WV,1,hot,4,none,1,1
M,SD,0,warm,2,definitely,0,1
M,SC,0,warm,8,unlikely,0,0
M,IN,0,hot,0,unlikely,0,1
M,RI,1,cold,10,none,0,0
M,WY,0,hot,12,unlikely,0,0
M,IA,1,hot,4,unsure,0,0
M,MD,0,cold,1,none,1,1
M,SD,0,hot,3,likely,0,0
M,AR,1,warm,1,none,0,1
M,ME,1,cold,3,none,0,1
M,MN,1,hot,1,none,0,1
M,DE,1,warm,0,unlikely,0,1
M,NJ,1,hot,0,likely,0,1
M,WI,0,cold,20,unlikely,0,0
M,WY,0,warm,5,unlikely,1,0
M,FL,0,warm,6,unlikely,1,0
M,NV,1,hot,20,likely,1,0
M,MD,0,cold,1,unsure,1,0
M,ND,0,cold,13,definitely,0,0
M,IN,0,cold,10,none,0,0
M,MS,0,cold,1,unsure,0,0
M,FL,0,cold,3,likely,0,0
M,ME,1,cold,11,none,0,0
M,OR,1,cold,3,none,1,1
M,MO,0,cold,0,unlikely,1,1
M,AR,0,cold,5,unsure,0,0
M,SC,0,warm,2,likely,0,1
M,MA,0,cold,4,unsure,0,0
M,WY,0,cold,6,unsure,0,0
M,IA,1,hot,11,unlikely,0,0
M,TX,1,hot,6,unsure,0,1
M,CA,0,cold,7,none,1,0
M,VT,0,warm,0,none,0,1
M,MS,1,hot,1,definitely,0,1
M,CO,1,cold,7,none,1,1
M,KY,1,hot,5,unlikely,1,0
M,TN,0,warm,8,none,1,0
M,IN,0,warm,6,none,0,0
M,NJ,1,warm,0,unsure,0,1
M,TN,0,cold,1,unsure,0,0
M,AR,1,hot,6,likely,0,0
M,OK,0,warm,0,none,1,1
M,OH,0,cold,1,unsure,0,0
M,MS,1,cold,5,likely,1,1
M,MI,0,cold,14,unsure,0,0
M,NH,0,warm,4,unsure,0,0
M,WA,0,warm,2,unlikely,0,0
M,ID,0,hot,2,unlikely,0,0
M,ID,1,warm,3,unlikely,1,1
M,MI,1,warm,3,unsure,0,0
M,KY,1,cold,1,unsure,1,1
M,UT,1,cold,1,none,0,1
M,FL,0,hot,3,unsure,0,0
M,MO,1,warm,8,unsure,0,0
M,MI,1,cold,0,none,0,1
M,NH,1,cold,3,unlikely,0,0
M,NC,0,warm,10,none,0,0
M,WI,0,cold,0,none,1,1
M,ID,0,hot,5,none,0,0
M,IL,0,cold,2,none,0,1
M,SC,0,cold,1,unlikely,0,1
M,TN,1,hot,4,unsure,0,0
M,CO,1,hot,4,likely,1,1
M,WI,1,warm,17,unsure,1,0
M,DE,1,warm,7,likely,0,0
M,DE,0,warm,0,unlikely,0,1
M,WA,0,warm,3,likely,1,1
M,MT,1,warm,2,unlikely,0,1
M,DE,1,hot,2,unsure,0,1
M,LA,0,warm,4,unlikely,1,1
M,NC,1,hot,2,unlikely,0,1
M,KS,1,warm,0,unlikely,0,1
M,LA,0,hot,9,none,0,0
M,DE,1,hot,5,definitely,1,1
M,NC,0,hot,1,none,1,1
M,GA,1,hot,3,none,1,1
M,WV,1,cold,5,likely,1,1
M,VT,0,cold,6,none,1,0
M,WV,0,hot,1,unlikely,1,0
M,OR,1,warm,6,none,1,0
M,ME,0,hot,24,definitely,1,0
M,SC,0,cold,0,none,0,1
M,AL,0,cold,8,none,1,0
M,WV,0,hot,3,none,1,1
M,WY,0,cold,4,unsure,0,0
M,LA,0,cold,7,none,0,0
M,PA,0,warm,2,none,0,1
M,SC,1,warm,4,unlikely,0,0
M,OK,0,warm,2,unlikely,0,1
M,MS,1,hot,0,none,0,1
M,MO,1,cold,2,none,0,1
M,KS,0,cold,3,unlikely,0,0
M,OH,1,cold,2,definitely,0,1
M,TN,0,warm,1,unlikely,1,1
M,MI,1,hot,0,definitely,1,1
M,MT,1,cold,4,unsure,1,0
M,ND,1,cold,6,definitely,1,0
M,DE,0,cold,5,unlikely,0,0
M,LA,0,warm,10,definitely,0,0
M,MA,0,warm,6,definitely,0,0
M,CA,0,warm,18,none,0,0
M,WA,1,warm,3,unsure,0,0
M,TN,0,cold,17,unsure,0,0
M,UT,1,hot,4,likely,0,1
M,WA,0,cold,5,none,0,0
M,AR,1,cold,4,none,1,1
M,ME,0,cold,0,unsure,1,1
M,NE,0,hot,0,unlikely,1,1
M,CO,1,warm,0,likely,0,1
M,SD,0,cold,8,none,1,0
M,OR,1,cold,4,likely,0,1
M,AZ,1,warm,9,likely,0,0
M,MO,1,warm,0,none,0,1
M,WA,0,cold,0,none,1,1
M,AZ,1,hot,11,unlikely,1,0
M,IA,0,warm,5,none,1,0
M,MT,0,cold,4,likely,0,0
M,NM,1,warm,0,unsure,0,1
M,IN,1,warm,2,likely,0,1
M,MI,0,cold,3,none,0,1
M,ME,0,warm,5,definitely,0,0
M,WV,0,cold,26,unlikely,0,0
M,CT,0,cold,2,unlikely,0,0
M,AR,1,hot,4,definitely,1,1
M,WI,1,warm,2,none,0,1
M,MN,0,cold,1,none,1,1
M,ME,0,hot,0,likely,1,1
M,FL,1,cold,0,unlikely,1,1
M,AZ,1,warm,0,none,1,1
M,NC,0,hot,24,unlikely,0,0
M,NH,1,cold,1,definitely,0,1
M,WY,0,cold,10,unsure,0,0
M,NM,0,warm,2,unlikely,0,0
M,AR,1,hot,11,definitely,1,0
M,FL,0,warm,25,unlikely,0,0
M,MS,0,hot,5,likely,0,0
M,AL,1,cold,8,none,0,0
M,MN,0,warm,9,none,0,0
M,IN,0,warm,20,none,0,0
M,WA,0,hot,11,likely,0,0
M,OK,0,hot,0,likely,0,1
M,FL,1,cold,1,likely,0,1
M,MS,1,hot,0,unsure,0,1
M,OH,0,warm,1,none,1,1
M,MS,0,cold,4,likely,0,0
M,WV,1,warm,4,none,0,0
M,OK,1,warm,3,unlikely,1,1
M,MD,0,hot,5,definitely,0,1
M,CO,0,cold,0,unlikely,0,0
M,IL,0,warm,4,unlikely,1,1
M,UT,1,warm,0,unlikely,1,1
M,MI,0,hot,3,unsure,0,0
M,MO,1,hot,0,none,0,1
M,OH,1,warm,1,none,0,1
M,RI,0,warm,1,unlikely,0,0
M,DE,0,warm,0,unlikely,0,1
M,TX,0,cold,19,unlikely,0,0
M,WV,0,hot,1,unlikely,1,1
M,NJ,1,hot,7,unsure,0,0
M,MT,0,cold,5,none,1,0
M,GA,1,hot,3,definitely,0,1
M,AL,1,warm,0,none,1,1
M,UT,0,hot,3,unsure,0,0
M,CT,1,warm,9,likely,1,0
M,AK,0,warm,6,definitely,1,0
M,WA,0,hot,21,likely,1,0
M,IA,1,cold,2,none,0,1
M,FL,1,hot,0,unlikely,0,1
M,MD,0,warm,3,likely,1,1
M,MN,1,cold,3,unsure,1,1
M,MI,1,warm,4,unsure,0,0
M,MT,1,cold,0,likely,0,1
M,TX,1,hot,32,likely,1,0
M,AZ,0,hot,3,unlikely,1,1
F,NV,0,warm,3,none,1,1
F,OH,1,hot,4,none,0,1
F,NC,0,cold,0,likely,1,1
F,ND,1,warm,1,definitely,1,1
F,MS,0,cold,2,likely,1,0
F,WI,0,warm,11,unsure,0,0
F,MA,1,cold,3,unsure,0,0
F,TX,1,hot,0,likely,0,1
F,PA,0,hot,0,unlikely,0,0
F,NE,1,warm,1,definitely,0,1
F,UT,0,hot,9,unlikely,0,0
F,MS,1,warm,0,unsure,0,1
F,AL,1,cold,7,none,0,0
F,OR,1,cold,3,unsure,0,0
F,OK,1,warm,16,unlikely,0,0
F,GA,0,hot,3,likely,0,0
F,NC,1,warm,6,none,1,1
F,NV,0,cold,0,none,0,0
F,KY,0,hot,14,definitely,0,0
F,NY,0,cold,4,unsure,1,0
F,TN,0,warm,4,unlikely,1,0
F,OK,1,warm,2,unlikely,0,1
F,LA,1,hot,9,unlikely,0,0
F,CT,1,warm,1,unlikely,0,1
F,MD,0,hot,4,unsure,0,1
F,WA,1,warm,1,none,1,1
F,SD,0,hot,6,unlikely,1,0
F,PA,1,cold,14,unlikely,1,0
F,WV,1,warm,0,unlikely,0,1
F,WY,1,cold,3,likely,1,0
F,NM,1,warm,0,unsure,0,1
F,AK,0,warm,7,unlikely,0,0
F,KY,1,cold,0,likely,0,1
F,IN,0,hot,1,unlikely,1,1
F,CO,1,hot,1,likely,0,1
F,AZ,0,cold,4,unlikely,1,1
F,ME,1,hot,1,none,0,1
F,KY,1,cold,7,likely,0,0
F,FL,0,cold,4,unlikely,0,0
F,NY,1,hot,2,none,0,1
F,MD,0,cold,9,none,0,0
F,WV,0,hot,6,unlikely,0,0
F,NC,0,cold,0,unlikely,0,0
F,KY,1,warm,2,none,0,1
F,GA,1,cold,1,unsure,0,0
F,CO,0,warm,8,none,1,0
F,WY,1,hot,23,none,1,0
F,ME,0,warm,11,definitely,1,0
F,NH,0,cold,0,unsure,1,0
F,OR,1,hot,10,likely,0,0
F,UT,0,cold,3,unsure,0,0
F,NH,0,hot,11,unlikely,0,0
F,AL,1,warm,8,none,0,0
F,VA,0,cold,10,unsure,1,0
F,RI,1,cold,3,unlikely,0,0
F,MD,1,cold,6,unsure,0,0
F,CA,0,warm,6,none,0,0
F,AZ,1,warm,0,likely,1,1
F,TN,1,warm,0,unsure,0,1
F,TN,1,hot,4,none,0,1
F,NC,0,hot,3,likely,0,1
F,CT,1,warm,3,likely,1,1
F,LA,1,cold,1,likely,0,1
F,OR,0,hot,6,likely,0,0
F,VA,0,cold,5,unsure,1,0
F,OH,1,cold,4,definitely,0,1
F,IL,1,cold,3,none,1,1
F,NC,1,hot,0,none,0,1
F,IA,1,warm,4,unsure,1,0
F,WV,0,warm,8,none,0,0
F,DE,0,warm,6,none,1,0
F,MA,1,warm,6,likely,0,0
F,IL,1,warm,1,unlikely,1,1
F,CA,1,hot,9,unsure,0,0
F,TN,0,cold,0,unlikely,0,0
F,NE,1,cold,19,unsure,0,0
F,ND,1,cold,6,unsure,0,0
F,MA,0,cold,1,definitely,0,1
F,TX,0,warm,1,unlikely,1,1
F,OR,1,hot,4,likely,0,1
F,LA,0,cold,7,unsure,0,0
F,WV,1,cold,0,none,1,1
F,NC,1,warm,17,unsure,0,0
F,AK,1,warm,9,unlikely,0,0
F,NJ,1,cold,6,definitely,0,0
F,MA,1,cold,10,none,1,0
F,AR,1,cold,6,likely,0,0
F,NE,0,cold,11,likely,0,0
F,WI,0,cold,7,none,0,0
F,OK,1,hot,0,none,0,1
F,NV,0,warm,1,none,0,0
F,IL,1,hot,2,unlikely,0,1
F,RI,0,hot,5,unlikely,0,0
F,NC,0,hot,2,unsure,0,0
F,TN,0,cold,0,none,0,0
F,NC,0,cold,2,unlikely,0,0
F,MS,0,warm,9,none,0,0
F,MO,0,hot,29,none,1,0
F,ME,1,cold,0,none,1,1
F,MN,0,warm,0,none,1,1
F,SD,0,warm,9,none,0,0
F,WA,0,hot,4,unlikely,0,0
F,DE,0,cold,1,unsure,0,0
F,PA,1,warm,2,none,1,1
F,WI,1,hot,0,unsure,1,1
F,WI,0,cold,5,none,0,0
F,LA,0,hot,18,unsure,0,0
F,MD,0,warm,15,none,0,0
F,WV,0,cold,2,unlikely,1,1
F,CO,0,hot,7,unlikely,1,0
F,WA,0,warm,15,unsure,0,0
F,LA,1,cold,2,none,0,1
F,NE,0,hot,18,none,0,0
F,NE,1,warm,8,unlikely,0,0
F,OK,1,hot,2,unlikely,0,0
F,MA,1,hot,5,definitely,0,1
F,DE,1,hot,9,unlikely,0,0
F,LA,0,hot,4,unsure,0,0
F,NY,0,cold,10,likely,0,0
F,AZ,1,warm,3,unsure,0,0
F,TX,1,hot,10,none,0,0
F,HI,1,hot,13,definitely,0,0
F,NE,1,cold,4,unlikely,0,0
F,CT,0,hot,1,unlikely,1,0
F,KY,1,warm,6,none,0,0
F,NY,1,hot,1,unsure,0,0
F,IL,0,warm,4,definitely,0,0
F,NY,1,warm,17,unlikely,0,0
F,MO,0,warm,1,none,0,1
F,WA,1,warm,2,none,1,0
F,TX,1,warm,1,likely,1,1
F,ME,0,cold,2,unsure,1,1
F,KS,1,warm,2,unsure,0,0
F,TN,0,hot,0,unlikely,1,1
F,MN,0,cold,7,none,0,0
F,KS,1,hot,3,none,1,1
F,CA,0,hot,9,unsure,0,0
F,AR,0,hot,3,definitely,1,1
F,OH,1,cold,18,likely,0,0
F,ND,0,cold,1,definitely,0,0
F,VA,0,warm,11,definitely,0,0
F,KS,1,hot,1,unlikely,0,0
F,WA,1,cold,2,unsure,0,0
F,HI,0,warm,11,none,1,0
F,SC,1,warm,0,none,0,0
F,ID,0,cold,12,likely,0,0
F,AK,1,hot,1,none,0,1
F,UT,0,hot,3,unlikely,1,0
F,OH,1,warm,5,unsure,0,0
F,WV,1,hot,5,none,0,0
F,ND,1,hot,8,unsure,0,0
F,TX,0,hot,1,likely,1,1
F,ME,0,cold,0,definitely,0,1
F,MD,0,hot,7,unsure,0,0
F,NH,1,hot,12,likely,0,0
F,CA,1,warm,3,none,0,1
F,GA,0,hot,6,none,0,0
F,NJ,1,hot,0,unlikely,1,1
F,PA,0,hot,1,none,1,0
F,UT,0,warm,1,likely,1,1
F,ME,0,hot,3,unsure,1,0
F,SC,0,hot,4,definitely,1,0
F,AZ,1,hot,1,unlikely,1,1
F,NY,0,hot,5,unlikely,0,0
F,LA,1,warm,3,unlikely,1,1
F,NJ,1,cold,2,none,0,1
F,VA,0,hot,1,unsure,1,1
F,GA,1,cold,1,definitely,1,1
F,ME,1,warm,30,unsure,0,0
F,ND,0,cold,3,unsure,0,0
F,RI,1,warm,1,likely,1,1
F,NE,1,cold,0,none,1,1
F,TN,1,hot,8,none,0,0
F,NE,0,warm,15,unlikely,1,0
F,MT,1,cold,4,definitely,0,0
F,MA,1,hot,5,none,0,1
F,ME,0,warm,6,unsure,0,0
F,CT,1,warm,0,likely,0,1
F,IA,0,warm,3,unlikely,0,0
F,IN,0,warm,2,unsure,1,0
F,RI,1,hot,8,unlikely,0,0
F,RI,1,warm,1,none,1,1
F,DE,0,warm,0,unsure,0,1
F,MT,1,hot,3,unlikely,1,1
F,NJ,1,hot,10,unsure,0,0
F,MT,1,cold,6,none,0,0
F,MD,0,cold,6,none,0,0
F,MI,1,hot,21,unlikely,0,0
F,AL,0,cold,0,unsure,0,0
F,VA,1,hot,3,definitely,1,1
F,AR,1,cold,0,unlikely,0,1
F,MT,1,warm,0,definitely,0,1
F,TN,1,hot,7,definitely,1,0
F,NJ,0,warm,5,likely,0,1
F,MI,1,hot,7,none,0,0
F,NV,0,cold,1,none,0,0
F,SC,0,warm,0,unlikely,0,1
F,FL,1,warm,1,none,1,1
F,WI,1,hot,9,unsure,0,0
F,MS,0,cold,3,definitely,0,0
F,WA,1,hot,12,unsure,1,0
F,VA,1,warm,7,unlikely,0,0
F,PA,1,cold,2,unlikely,1,0
F,ND,0,warm,12,likely,1,0
F,NC,0,warm,2,unlikely,0,0
F,AR,0,warm,10,unsure,1,0
F,MI,0,cold,16,likely,0,0
F,NE,1,cold,1,likely,0,1
F,WV,0,hot,0,unlikely,0,0
F,OK,0,hot,0,definitely,0,1
