taylors_drinks_sold	day	day_of_the_week	year	days_to_final	gameday	boys_in_bar	girls_in_bar	temperature	cost_of_market_basket_pbr
169	78	Monday	1	22	0	11	29	34.28732414	3.93
148	79	Tuesday	1	21	0	29	14	48.54807075	5.08
218	80	Wednesday	1	20	0	33	29	40.26464674	3.56
161	81	Thurday	1	19	0	40	4	44.54392182	4.58
584	82	Friday	1	18	0	0	24	39.67313768	4.5
296	83	Saturday	1	17	0	1	42	46.33409222	4.02
105	84	Sunday	1	16	0	7	22	35.91581193	2.55
0	85	Monday	1	15	0	13	2	38.21273703	4.86
16	86	Tuesday	1	14	0	0	22	43.59469238	3.72
124	87	Wednesday	1	13	0	12	28	63.1246872	3.85
132	88	Thurday	1	12	0	4	27	39.51475775	4.12
961	89	Friday	1	11	0	19	49	50.84924682	3.08
410	90	Saturday	1	10	0	2	54	51.26169562	4.6
166	91	Sunday	1	9	0	9	61	51.13252397	2.46
241	92	Monday	1	8	0	21	65	52.56464681	4.98
558	93	Tuesday	1	7	0	21	57	41.20272751	3.93
588	94	Wednesday	1	6	0	33	66	62.44866876	3.68
464	95	Thurday	1	5	0	21	55	44.49124951	5.27
1043	96	Friday	1	4	0	24	63	61.95804846	2.66
614	97	Saturday	1	3	0	34	63	52.26993963	3.47
287	98	Sunday	1	2	0	24	47	53.54872781	4.69
705	99	Monday	1	1	0	23	41	51.25147966	2.88
1074	100	Tuesday	1	0	0	3	39	63.40754991	2.9
260	101	Wednesday	1	88	0	8	40	57.76688114	3.68
274	102	Thurday	1	87	0	27	46	43.44284047	5
1009	103	Friday	1	86	0	44	41	48.00401512	4.43
363	104	Saturday	1	85	0	46	53	76.41923703	4.48
682	105	Sunday	1	84	0	48	58	62.27000146	3.4
594	106	Monday	1	83	0	60	51	67.69676621	3.28
403	107	Tuesday	1	82	0	67	50	45.3022719	4.71
633	108	Wednesday	1	81	0	74	43	65.31617514	4.76
608	109	Thurday	1	80	0	65	38	59.48415394	4.28
0	110	Friday	1	79	1	68	39	48.78176298	3.12
379	111	Saturday	1	78	0	69	23	64.16973506	4.1
375	112	Sunday	1	77	0	54	23	54.09179314	4.27
160	113	Monday	1	76	0	52	38	35.05992322	5.64
413	114	Tuesday	1	75	0	42	60	57.21679673	6.88
600	115	Wednesday	1	74	0	35	62	42.92179086	3.62
472	116	Thurday	1	73	0	38	77	55.84841014	2.61
903	117	Friday	1	72	0	48	67	56.45288915	3.06
436	118	Saturday	1	71	0	33	65	54.71293224	4.78
517	119	Sunday	1	70	0	29	74	62.26356263	3.62
686	120	Monday	1	69	0	54	76	61.32700271	4.32
552	121	Tuesday	1	68	0	57	74	66.22448932	4.51
492	122	Wednesday	1	67	0	56	72	70.29573089	2.28
357	123	Thurday	1	66	0	50	58	68.01650889	4.88
1146	124	Friday	1	65	0	50	58	62.80318886	3.7
403	125	Saturday	1	64	0	56	35	44.68654376	4.02
293	126	Sunday	1	63	0	48	43	53.59088104	5.12
434	127	Monday	1	62	0	39	46	68.38093779	4.36
256	128	Tuesday	1	61	0	37	47	58.87482215	5.07
475	129	Wednesday	1	60	0	42	48	61.6258262	4.79
416	130	Thurday	1	59	0	53	39	58.1031909	2.19
876	131	Friday	1	58	0	43	32	64.26042674	4.76
252	132	Saturday	1	57	0	40	26	55.47315206	4.94
401	133	Sunday	1	56	0	40	42	71.77319035	3.82
269	134	Monday	1	55	0	28	39	79.6001311	4.06
431	135	Tuesday	1	54	0	43	36	75.35730369	3.82
447	136	Wednesday	1	53	0	51	38	62.04981687	4.4
362	137	Thurday	1	52	0	52	31	72.75785403	4.4
911	138	Friday	1	51	0	66	50	63.20863102	4.94
628	139	Saturday	1	50	0	62	61	57.55267064	2.47
748	140	Sunday	1	49	0	53	63	57.05560281	4.42
539	141	Monday	1	48	0	57	59	69.91321718	3.74
591	142	Tuesday	1	47	0	48	62	57.81159082	2.21
705	143	Wednesday	1	46	0	51	77	64.28396468	3.85
5560	144	Thurday	1	45	1	58	67	73.62167416	2.24
1088	145	Friday	1	44	0	59	71	71.67523539	3.5
577	146	Saturday	1	43	0	85	59	66.1472414	6.4
542	147	Sunday	1	42	0	85	57	73.90254791	4.09
385	148	Monday	1	41	0	101	51	57.97966169	4.12
737	149	Tuesday	1	40	0	101	50	61.44845235	1.89
765	150	Wednesday	1	39	0	103	44	57.67685537	5.32
426	151	Thurday	1	38	0	106	53	59.25058033	3.03
1095	152	Friday	1	37	0	98	74	55.42739538	4.48
786	153	Saturday	1	36	0	97	51	67.42564669	2.66
1056	154	Sunday	1	35	0	78	75	50.70750801	4.67
918	155	Monday	1	34	0	86	87	63.99121106	4.08
885	156	Tuesday	1	33	0	79	78	86.65841867	3.36
613	157	Wednesday	1	32	0	68	91	83.48297633	3.03
850	158	Thurday	1	31	0	81	92	55.37344468	4.34
1278	159	Friday	1	30	0	80	96	64.24649738	2.73
982	160	Saturday	1	29	0	101	107	65.79401838	3.72
880	161	Sunday	1	28	0	91	119	65.43740503	3.67
727	162	Monday	1	27	0	84	112	61.62710315	3.8
934	163	Tuesday	1	26	0	87	119	62.35943156	3.36
793	164	Wednesday	1	25	0	88	117	73.03578473	2.98
465	165	Thurday	1	24	0	89	111	76.47602997	2.94
1215	166	Friday	1	23	0	85	123	76.82943621	2.59
968	167	Saturday	1	22	0	78	137	80.11571195	3.94
1558	168	Sunday	1	21	0	83	144	64.09049697	0.88
872	169	Monday	1	20	0	65	133	59.4075929	5.2
1010	170	Tuesday	1	19	0	63	119	86.39857365	3.58
721	171	Wednesday	1	18	0	59	113	74.44877328	2.9
872	172	Thurday	1	17	0	62	108	64.05339995	2.68
1363	173	Friday	1	16	0	69	102	77.08792329	4.03
1159	174	Saturday	1	15	0	78	103	67.69254824	4.46
686	175	Sunday	1	14	0	84	95	68.28950574	2.96
784	176	Monday	1	13	0	84	92	84.58416917	5.73
856	177	Tuesday	1	12	0	93	86	73.07654872	3.65
712	178	Wednesday	1	11	0	106	79	79.22651307	4.69
974	179	Thurday	1	10	0	90	83	87.8621541	3.18
1317	180	Friday	1	9	0	86	98	84.41656445	4.64
1211	181	Saturday	1	8	0	99	105	52.35544472	4.39
880	182	Sunday	1	7	0	102	123	68.33800469	2.26
16515	183	Monday	1	6	1	123	126	80.91864015	3.51
793	184	Tuesday	1	5	0	117	114	59.29032468	3.67
864	185	Wednesday	1	4	0	122	114	77.36848362	3.7
1442	186	Thurday	1	3	0	136	119	68.31751142	3.34
1908	187	Friday	1	2	0	150	136	67.94466869	4.21
1632	188	Saturday	1	1	0	158	113	70.16773	3.53
2770	189	Sunday	1	0	0	164	101	83.63420184	4.35
1157	190	Monday	1	130	0	154	98	76.49764379	5.23
1217	191	Tuesday	1	129	0	157	90	63.33803041	2.52
939	192	Wednesday	1	128	0	161	89	84.50371993	3.48
1367	193	Thurday	1	127	0	152	95	60.82635405	5.06
1714	194	Friday	1	126	0	150	91	71.71323786	3.46
1189	195	Saturday	1	125	0	149	107	70.42445812	5.19
1009	196	Sunday	1	124	0	161	105	63.73420709	4.71
1049	197	Monday	1	123	0	145	103	69.87863533	3.69
1189	198	Tuesday	1	122	0	139	102	67.77255505	2.36
1169	199	Wednesday	1	121	0	155	89	96.00027399	3.21
827	200	Thurday	1	120	0	143	77	73.74656791	3.26
1491	201	Friday	1	119	0	127	70	64.11566235	3.05
672	202	Saturday	1	118	0	137	76	80.92024724	1.99
895	203	Sunday	1	117	0	125	92	67.82507996	4.19
1073	204	Monday	1	116	0	114	96	72.0417238	4.55
767	205	Tuesday	1	115	0	115	81	71.56874013	1.95
1229	206	Wednesday	1	114	0	122	85	79.33339882	3.68
1060	207	Thurday	1	113	0	106	92	73.90459352	3.75
1202	208	Friday	1	112	0	114	90	62.8171674	3.85
827	209	Saturday	1	111	0	108	73	86.75940754	2.97
563	210	Sunday	1	110	0	106	75	72.45246124	4.78
570	211	Monday	1	109	0	99	83	60.85240493	3.29
1064	212	Tuesday	1	108	0	92	92	81.89518423	4.77
161	213	Wednesday	1	107	0	108	100	78.31619935	3.47
1012	214	Thurday	1	106	0	108	102	75.8413204	3.11
1477	215	Friday	1	105	0	102	102	74.80074907	5.08
1071	216	Saturday	1	104	0	108	97	72.99890181	4.48
639	217	Sunday	1	103	0	101	102	63.26491188	2.89
4294	218	Monday	1	102	1	99	92	54.01767275	4.27
1090	219	Tuesday	1	101	0	107	86	67.488888	3.96
668	220	Wednesday	1	100	0	117	91	61.35195506	3.73
1320	221	Thurday	1	99	0	116	95	63.61502812	3.97
1380	222	Friday	1	98	0	121	102	73.6540677	4.31
490	223	Saturday	1	97	0	114	103	57.72111347	3.22
957	224	Sunday	1	96	0	119	97	65.89536669	2.53
1047	225	Monday	1	95	0	122	101	66.3496302	4.12
498	226	Tuesday	1	94	0	114	86	71.47648066	1.56
552	227	Wednesday	1	93	0	104	94	55.75283103	3.5
483	228	Thurday	1	92	0	83	99	54.04587437	3.44
1250	229	Friday	1	91	0	62	69	46.85945325	5.44
538	230	Saturday	1	90	0	73	67	76.72279618	3.64
580	231	Sunday	1	89	0	77	54	72.41402677	2.83
123	232	Monday	1	88	0	79	57	57.92467439	3.34
771	233	Tuesday	1	87	0	62	74	60.99489491	4.54
778	234	Wednesday	1	86	0	82	72	78.34412194	3.56
759	235	Thurday	1	85	0	91	84	61.09144682	1.27
1388	236	Friday	1	84	0	107	87	59.67613237	6.06
704	237	Saturday	1	83	0	100	72	68.6321909	4.54
766	238	Sunday	1	82	0	114	70	62.30679622	2.6
687	239	Monday	1	81	0	98	73	50.09657102	4.33
503	240	Tuesday	1	80	0	107	72	47.77494819	3.18
914	241	Wednesday	1	79	0	80	71	58.59008525	3.71
692	242	Thurday	1	78	0	65	79	47.20514468	2.84
1272	243	Friday	1	77	0	80	74	57.42313439	4.03
752	244	Saturday	1	76	0	87	55	65.09749979	4.2
520	245	Sunday	1	75	0	50	50	48.17669182	3.44
517	246	Monday	1	74	0	61	65	52.65828838	4.93
437	247	Tuesday	1	73	0	62	65	46.70464754	2.97
593	248	Wednesday	1	72	0	61	68	59.36234014	3.27
604	249	Thurday	1	71	0	55	59	47.19469501	5.16
1294	250	Friday	1	70	0	67	78	58.95114089	3.52
687	251	Saturday	1	69	0	72	87	52.48618671	4.71
1095	252	Sunday	1	68	0	73	89	42.52655048	4.84
794	253	Monday	1	67	0	79	84	59.94072443	3.49
622	254	Tuesday	1	66	0	70	94	39.66395863	4.5
1142	255	Wednesday	1	65	0	70	97	66.19930153	1.36
906	256	Thurday	1	64	0	57	100	65.77952304	3.01
1508	257	Friday	1	63	0	67	107	57.59560407	3.44
9390	258	Saturday	1	62	1	98	113	66.53552327	4.25
1024	259	Sunday	1	61	0	112	124	51.06633133	3.57
1150	260	Monday	1	60	0	104	117	44.50554065	3.54
766	261	Tuesday	1	59	0	103	122	55.94104422	3.13
1747	262	Wednesday	1	58	0	93	136	59.61295295	3.84
996	263	Thurday	1	57	0	90	130	44.3592971	4.45
1556	264	Friday	1	56	0	91	126	58.71629993	3.01
1358	265	Saturday	1	55	0	91	118	53.38836982	5.16
514	266	Sunday	1	54	0	103	111	57.15222787	5.99
808	267	Monday	1	53	0	97	85	46.03959367	4.3
1256	268	Tuesday	1	52	0	87	105	45.17895503	4.69
1040	269	Wednesday	1	51	0	79	102	59.60277989	4.62
1487	270	Thurday	1	50	0	72	114	43.19399955	3.94
796	271	Friday	1	49	0	58	134	59.07482988	4.4
404	272	Saturday	1	48	0	74	138	61.54378624	3.09
1197	273	Sunday	1	47	0	82	133	51.68636872	4.24
1049	274	Monday	1	46	0	77	117	61.24448913	2.82
1092	275	Tuesday	1	45	0	87	111	52.85325479	4.95
1362	276	Wednesday	1	44	0	101	108	55.48013717	3.8
933	277	Thurday	1	43	0	100	96	62.65605769	4.18
1172	278	Friday	1	42	0	100	80	52.09380744	3.59
858	279	Saturday	1	41	0	104	74	40.56722052	4.89
785	280	Sunday	1	40	0	93	87	48.08954965	3.62
929	281	Monday	1	39	0	94	95	37.54808617	3.98
752	282	Tuesday	1	38	0	103	104	52.01627327	4.73
637	283	Wednesday	1	37	0	94	115	37.27262428	6.06
795	284	Thurday	1	36	0	94	107	55.6719703	3.63
1333	285	Friday	1	35	0	86	97	42.87134926	3.95
826	286	Saturday	1	34	0	85	95	41.8762867	3.14
495	287	Sunday	1	33	0	90	90	49.14626834	4.69
723	288	Monday	1	32	0	90	96	54.18667706	2.05
855	289	Tuesday	1	31	0	96	109	54.48937601	5.31
558	290	Wednesday	1	30	0	118	102	51.83334453	5.36
1001	291	Thurday	1	29	0	106	95	47.74646157	4.36
5920	292	Friday	1	28	1	97	100	44.97034583	4.93
1122	293	Saturday	1	27	0	95	124	31.78490469	5.12
1107	294	Sunday	1	26	0	104	121	32.9759508	3.93
782	295	Monday	1	25	0	117	114	53.10822955	5.89
780	296	Tuesday	1	24	0	126	110	42.70792152	3.79
1172	297	Wednesday	1	23	0	127	110	47.75411724	2.41
1081	298	Thurday	1	22	0	147	110	33.82289631	4.87
1362	299	Friday	1	21	0	160	108	42.06742235	4.86
1404	300	Saturday	1	20	0	161	114	43.61804355	1.29
1115	301	Sunday	1	19	0	148	118	43.13371296	5.56
847	302	Monday	1	18	0	156	109	37.94254713	5.09
763	303	Tuesday	1	17	0	159	114	32.2508611	3.75
2085	304	Wednesday	1	16	0	172	125	41.07094054	3.6
1533	305	Thurday	1	15	0	164	130	40.86965347	3.97
2152	306	Friday	1	14	0	153	120	39.82663662	3.38
1067	307	Saturday	1	13	0	171	124	39.16940442	4.5
1268	308	Sunday	1	12	0	166	112	46.18094362	4.84
1169	309	Monday	1	11	0	169	102	34.70922201	3.47
646	310	Tuesday	1	10	0	174	101	53.57934343	3.63
1234	311	Wednesday	1	9	0	184	116	39.18618077	3.91
1102	312	Thurday	1	8	0	184	111	52.22872806	3.15
1953	313	Friday	1	7	0	179	119	49.89391543	2.89
865	314	Saturday	1	6	0	166	141	16.26240096	4.08
1860	315	Sunday	1	5	0	154	145	33.0454736	4.34
1530	316	Monday	1	4	0	152	150	30.11863484	4.29
2227	317	Tuesday	1	3	0	173	140	19.67230324	4.07
1572	318	Wednesday	1	2	0	173	138	33.76568731	4.52
1797	319	Thurday	1	1	0	171	144	46.24380844	3.67
3233	320	Friday	1	0	0	152	133	26.29947661	3.84
1231	321	Saturday	1	144	0	150	148	46.55498442	4.6
9954	322	Sunday	1	143	1	148	159	35.09485663	6.04
1825	323	Monday	1	142	0	141	181	32.27831464	3.02
1248	324	Tuesday	1	141	0	138	197	32.25435614	5.65
1741	325	Wednesday	1	140	0	138	203	22.32176219	3.46
1604	326	Thurday	1	139	0	148	198	27.19685382	4.09
2405	327	Friday	1	138	0	145	214	38.97415157	4.16
854	328	Saturday	1	137	0	150	197	14.22318587	3.84
1582	329	Sunday	1	136	0	146	194	31.38429397	3.82
1590	330	Monday	1	135	0	139	197	43.69664833	4.03
1623	331	Tuesday	1	134	0	135	198	30.04815457	4.64
2202	332	Wednesday	1	133	0	137	201	45.10030953	5.14
1982	333	Thurday	1	132	0	132	195	21.42965386	4.72
2558	334	Friday	1	131	0	126	193	39.94180673	2.39
1262	335	Saturday	1	130	0	133	200	52.17398631	6.71
1210	336	Sunday	1	129	0	127	184	34.05019712	2.88
1155	337	Monday	1	128	0	138	182	25.73888715	3.62
1215	338	Tuesday	1	127	0	125	192	30.92129277	3.8
1336	339	Wednesday	1	126	0	136	192	32.57723442	3.01
1935	340	Thurday	1	125	0	145	195	38.00930359	4.51
1476	341	Friday	1	124	0	116	190	39.29194168	3.83
1717	342	Saturday	1	123	0	108	180	31.14335413	2.08
1080	343	Sunday	1	122	0	109	189	55.92771313	4.16
619	344	Monday	1	121	0	98	170	37.82904614	4.5
818	345	Tuesday	1	120	0	100	185	36.8612449	4.42
682	346	Wednesday	1	119	0	94	177	52.48969424	4.79
1651	347	Thurday	1	118	0	97	195	30.81981501	3.32
2082	348	Friday	1	117	0	102	205	19.07028401	5.51
905	349	Saturday	1	116	0	101	228	36.02838764	3.8
2320	350	Sunday	1	115	0	103	221	22.9214782	5.15
1750	351	Monday	1	114	0	111	220	13.69918603	4.52
2205	352	Tuesday	1	113	0	112	224	33.49308568	3.64
1191	353	Wednesday	1	112	0	102	229	50.39246647	5.19
1272	354	Thurday	1	111	0	104	232	26.20128523	3.33
1986	355	Friday	1	110	0	118	212	27.09049736	4.96
2160	356	Saturday	1	109	0	124	208	44.10820909	2.89
0	357	Sunday	1	108	1	132	216	36.38052804	4.29
1588	358	Monday	1	107	0	134	204	30.98729152	5.86
1238	359	Tuesday	1	106	0	137	203	17.09891863	5.59
1014	360	Wednesday	1	105	0	130	203	34.82483415	5.48
2091	361	Thurday	1	104	0	144	223	40.00390423	4.01
2545	362	Friday	1	103	0	142	216	36.63941024	5.7
1768	363	Saturday	1	102	0	159	209	33.78567457	3.74
1503	364	Sunday	1	101	0	163	203	29.87374095	5.18
2295	365	Monday	1	100	0	170	194	38.49450138	6
1613	1	Monday	2	99	0	177	186	21.74502999	5.89
1732	2	Tuesday	2	98	0	179	186	28.42011828	4.57
896	3	Wednesday	2	97	0	171	182	22.72177127	5.1
1432	4	Thurday	2	96	0	167	179	39.78160603	4.96
1668	5	Friday	2	95	0	150	170	29.32207541	4.69
2162	6	Saturday	2	94	0	142	180	30.7861253	6.56
564	7	Sunday	2	93	0	127	192	44.38310026	6.54
1417	8	Monday	2	92	0	136	186	43.29668007	4.46
1487	9	Tuesday	2	91	0	136	178	33.43454451	5.17
1315	10	Wednesday	2	90	0	144	179	42.48439689	5.64
2379	11	Thurday	2	89	0	157	178	37.31288672	5.5
2138	12	Friday	2	88	0	163	186	18.83219229	3.82
1485	13	Saturday	2	87	0	161	187	20.59746965	4.02
1601	14	Sunday	2	86	0	161	199	34.16228772	3.71
1266	15	Monday	2	85	0	159	209	32.63937515	4.44
1657	16	Tuesday	2	84	0	156	192	46.23293603	1.01
2057	17	Wednesday	2	83	0	168	209	32.13235203	4.56
2007	18	Thurday	2	82	0	161	210	33.86037448	2.77
1645	19	Friday	2	81	0	167	210	31.5508228	4.64
1985	20	Saturday	2	80	0	170	190	16.28563114	3.37
1392	21	Sunday	2	79	0	170	187	32.20561803	3.07
1805	22	Monday	2	78	0	169	191	23.04668058	4.51
1574	23	Tuesday	2	77	0	157	189	27.89018686	5.54
1693	24	Wednesday	2	76	0	158	196	37.61061268	3.29
38184	25	Thurday	2	75	1	157	203	25.48364989	4.68
1556	26	Friday	2	74	0	163	212	54.43553572	3.25
1389	27	Saturday	2	73	0	159	206	18.3729696	4.62
3061	28	Sunday	2	72	0	162	199	30.7151399	3.56
2442	29	Monday	2	71	0	167	205	12.51743982	4.14
1567	30	Tuesday	2	70	0	186	202	33.14813714	4.77
1351	31	Wednesday	2	69	0	207	203	28.48832685	4.1
2760	32	Thurday	2	68	0	217	203	22.38226518	4.06
793	33	Friday	2	67	0	228	196	29.23805983	3.98
2069	34	Saturday	2	66	0	221	187	45.9207815	5.03
1523	35	Sunday	2	65	0	214	190	14.06976328	5.68
1268	36	Monday	2	64	0	204	188	32.37592333	5.47
1474	37	Tuesday	2	63	0	210	181	36.86946741	3.92
1539	38	Wednesday	2	62	0	211	186	29.95156189	3.68
1933	39	Thurday	2	61	0	206	177	22.58323113	3.66
1677	40	Friday	2	60	0	205	172	33.26212344	3.57
2049	41	Saturday	2	59	0	211	180	36.85410343	5.81
1746	42	Sunday	2	58	0	189	179	35.35870301	3.45
1087	43	Monday	2	57	0	204	181	48.75094772	4.12
1413	44	Tuesday	2	56	0	221	176	40.53740135	2.33
2222	45	Wednesday	2	55	0	226	182	50.43892686	4.69
2452	46	Thurday	2	54	0	247	172	57.23568524	2.92
1885	47	Friday	2	53	0	239	175	34.07738434	5.07
1414	48	Saturday	2	52	0	229	188	49.19396986	3.94
1768	49	Sunday	2	51	0	226	192	43.47750633	5.91
2036	50	Monday	2	50	0	227	189	30.80879551	3.4
1062	51	Tuesday	2	49	0	246	201	39.68965274	4.64
1350	52	Wednesday	2	48	0	253	205	49.91087641	1.8
2125	53	Thurday	2	47	0	239	217	40.03715581	4.31
2270	54	Friday	2	46	0	227	219	15.0089403	4.64
1914	55	Saturday	2	45	0	236	218	26.94675206	5.12
1321	56	Sunday	2	44	0	236	237	47.74923559	3.01
2003	57	Monday	2	43	0	246	245	31.16932623	4.7
7490	58	Tuesday	2	42	1	246	246	46.6444358	2.06
2435	59	Wednesday	2	41	0	255	241	31.92255835	5.38
2656	60	Thurday	2	40	0	234	236	41.37939366	5.73
1755	61	Friday	2	39	0	247	243	34.29747341	5.09
2542	62	Saturday	2	38	0	263	250	44.76606842	3.48
2440	63	Sunday	2	37	0	258	255	47.37676759	5.73
2790	64	Monday	2	36	0	256	237	45.92467767	2.84
1984	65	Tuesday	2	35	0	250	224	51.88628797	3.1
2305	66	Wednesday	2	34	0	260	220	34.86573742	3.53
2410	67	Thurday	2	33	0	258	217	31.79198777	6.1
1611	68	Friday	2	32	0	268	215	34.80250543	4.75
2425	69	Saturday	2	31	0	266	220	60.58443857	2.98
2894	70	Sunday	2	30	0	255	211	44.03883853	4.05
2336	71	Monday	2	29	0	251	207	44.14205723	5.4
2354	72	Tuesday	2	28	0	248	225	55.9935939	1.72
2278	73	Wednesday	2	27	0	220	213	33.53934467	2.98
3636	74	Thurday	2	26	0	237	204	38.15484072	2.25
1399	75	Friday	2	25	0	230	180	36.84306473	3.31
1457	76	Saturday	2	24	0	215	166	55.79816892	2.8
1143	77	Sunday	2	23	0	207	141	46.44132906	2.18
2065	78	Monday	2	22	0	217	132	49.95272612	5.5
1689	79	Tuesday	2	21	0	221	133	49.16781242	3.87
1764	80	Wednesday	2	20	0	207	143	35.62590787	4.1
1637	81	Thurday	2	19	0	213	153	30.60259505	4.51
1270	82	Friday	2	18	0	204	159	44.38582616	5.17
1828	83	Saturday	2	17	0	214	174	42.61371423	3.8
985	84	Sunday	2	16	0	191	163	37.68274159	4.37
1744	85	Monday	2	15	0	202	169	56.83310499	4.48
1327	86	Tuesday	2	14	0	197	181	31.13128634	6.9
1278	87	Wednesday	2	13	0	204	191	42.85379166	3.27
2110	88	Thurday	2	12	0	207	188	58.58312709	4.19
1896	89	Friday	2	11	0	216	195	54.99902597	2.99
1659	90	Saturday	2	10	0	222	198	43.73529056	4.68
1072	91	Sunday	2	9	0	223	199	44.87283721	4.31
0	92	Monday	2	8	1	199	225	53.54543342	3.89
2278	93	Tuesday	2	7	0	203	240	51.00811631	4.21
1900	94	Wednesday	2	6	0	209	235	54.2774167	3.81
3421	95	Thurday	2	5	0	202	240	44.75762717	5.24
2785	96	Friday	2	4	0	214	234	69.2396534	3.7
1737	97	Saturday	2	3	0	211	226	56.81317511	2.83
2042	98	Sunday	2	2	0	203	233	46.93715641	2.71
2328	99	Monday	2	1	0	219	238	51.77596522	3.14
2112	100	Tuesday	2	0	0	222	242	52.62623853	4.32
2431	101	Wednesday	2	88	0	237	243	49.42901734	5.86
2730	102	Thurday	2	87	0	220	225	63.48154746	3
2703	103	Friday	2	86	0	211	242	50.74469112	2.67
2394	104	Saturday	2	85	0	217	243	54.8814224	6.09
2323	105	Sunday	2	84	0	198	235	55.28635145	2.63
