Snail_ID,Strain ,Inf_Dose,Tray,Infected,Initial_Size_mm,Weeks_to_first_shed,Total_weeks_shed,Total_Parasites,Avg_Parasites_per_Shed,Week_Died
88,83,10,c,1,8.48,6,1,1580,1580,7
96,83,10,u,1,7.69,6,1,870,870,7
73,83,10,q,1,5.03,5,2,60,30,7
79,83,10,q,1,7.22,6,2,2150,1075,8
82,83,10,a,0,5.96,NA,NA,NA,NA,9
90,83,10,d,1,6.75,5,9,18660,2073.333333,14
86,83,10,u,1,7.28,6,10,8290,829,16
378,83,10,a,1,7.04,14,5,6490,1298,19
80,83,10,b,1,5.54,7,17,21750,1279.411765,24
379,83,10,l,1,7.6,10,17,30230,1778.235294,27
83,83,10,g,1,8.31,17,11,13500,1227.272727,28
85,83,10,s,1,7.06,6,23,35270,1533.478261,29
93,83,10,s,1,6.21,22,8,7200,900,30
380,83,10,f,1,8.58,7,23,32630,1418.695652,30
75,83,10,o,1,5.2,7,25,41880,1675.2,32
89,83,10,v,1,6.18,8,27,15580,577.037037,35
92,83,10,k,1,7.6,10,30,14660,488.6666667,40
377,83,10,a,1,7.48,7,30,56970,1899,40
84,83,10,a,1,7.77,9,30,35828,1194.266667,41
76,83,10,d,1,5.95,7,30,40770,1359,51
77,83,10,t,1,6.96,11,30,19690,656.3333333,55
91,83,10,k,0,6.71,NA,NA,NA,NA,63
95,83,10,i,1,7.33,6,30,37640,1254.666667,64
376,83,10,i,0,6.14,NA,NA,NA,NA,64
78,83,10,v,1,7.73,7,30,1350,45,65
422,105,0,r,0,3.4,NA,NA,NA,NA,2
216,105,0,o,0,5.18,NA,NA,NA,NA,3
199,105,0,n,0,5.34,NA,NA,NA,NA,6
212,105,0,u,0,5.48,NA,NA,NA,NA,6
200,105,0,p,0,5.65,NA,NA,NA,NA,9
418,105,0,m,0,3.84,NA,NA,NA,NA,9
419,105,0,v,0,4.58,NA,NA,NA,NA,10
206,105,0,u,0,5.03,NA,NA,NA,NA,11
214,105,0,c,0,4.8,NA,NA,NA,NA,13
213,105,0,g,0,5.26,NA,NA,NA,NA,14
202,105,0,g,0,4.06,NA,NA,NA,NA,17
421,105,0,j,0,4.1,NA,NA,NA,NA,20
417,105,0,t,0,3.9,NA,NA,NA,NA,21
198,105,0,o,0,4.24,NA,NA,NA,NA,23
208,105,0,t,0,7.72,NA,NA,NA,NA,31
423,105,0,t,0,4.73,NA,NA,NA,NA,47
210,105,0,q,0,4.94,NA,NA,NA,NA,49
207,105,0,r,0,4.9,NA,NA,NA,NA,59
193,105,0,h,0,4.95,NA,NA,NA,NA,60
195,105,0,s,0,5.53,NA,NA,NA,NA,60
197,105,0,m,0,4.1,NA,NA,NA,NA,62
201,105,0,n,0,5.65,NA,NA,NA,NA,63
194,105,0,c,0,4.79,NA,NA,NA,NA,64
196,105,0,b,0,3.52,NA,NA,NA,NA,64
204,105,0,d,0,4.58,NA,NA,NA,NA,64
205,105,0,q,0,8.51,NA,NA,NA,NA,64
209,105,0,r,0,7.1,NA,NA,NA,NA,64
211,105,0,l,0,5.57,NA,NA,NA,NA,64
215,105,0,d,0,5.05,NA,NA,NA,NA,64
420,105,0,v,0,3.23,NA,NA,NA,NA,65
188,105,1,n,0,5.99,NA,NA,NA,NA,6
190,105,1,r,1,5.17,5,4,5280,1320,9
171,105,1,e,0,5.08,NA,NA,NA,NA,10
172,105,1,d,1,4.44,6,6,15570,2595,12
400,105,1,u,1,3.69,6,6,10810,1801.666667,12
397,105,1,o,0,4.09,NA,NA,NA,NA,12
170,105,1,j,1,5.78,8,5,9600,1920,13
398,105,1,m,1,3.95,7,6,11850,1975,13
178,105,1,r,1,3.66,5,8,12600,1575,13
169,105,1,e,1,4.57,6,8,17020,2127.5,14
396,105,1,a,1,4.49,6,10,38080,3808,16
394,105,1,l,1,4.42,9,8,19770,2471.25,17
173,105,1,j,1,3.8,7,10,18990,1899,17
181,105,1,u,1,7.36,6,11,35840,3258.181818,17
185,105,1,m,1,5.73,5,12,42960,3580,17
192,105,1,l,1,5.2,7,11,36430,3311.818182,18
179,105,1,l,1,4.6,7,12,18960,1580,19
183,105,1,m,1,5.31,7,12,18400,1533.333333,19
187,105,1,j,1,6.66,12,8,26530,3316.25,20
182,105,1,h,1,5.63,11,9,4010,445.5555556,20
175,105,1,h,1,5.02,6,14,46780,3341.428571,20
399,105,1,u,0,3.85,NA,NA,NA,NA,20
174,105,1,d,0,4.48,NA,NA,NA,NA,21
176,105,1,o,0,5.05,NA,NA,NA,NA,24
177,105,1,b,0,5.53,NA,NA,NA,NA,52
191,105,1,m,0,5.77,NA,NA,NA,NA,55
395,105,1,j,0,3.7,NA,NA,NA,NA,60
180,105,1,s,1,5.72,9,30,3664,122.1333333,64
184,105,1,p,0,7.57,NA,NA,NA,NA,64
186,105,1,b,0,6.13,NA,NA,NA,NA,64
189,105,1,t,0,5.92,NA,NA,NA,NA,64
155,105,10,e,0,3.7,NA,NA,NA,NA,2
369,105,10,l,0,3.76,NA,NA,NA,NA,2
147,105,10,c,0,3.66,NA,NA,NA,NA,3
149,105,10,c,0,3.89,NA,NA,NA,NA,3
374,105,10,j,0,3.52,NA,NA,NA,NA,3
161,105,10,g,0,4.64,NA,NA,NA,NA,4
154,105,10,u,0,3.61,NA,NA,NA,NA,5
159,105,10,q,0,6.76,NA,NA,NA,NA,5
371,105,10,l,0,4.84,NA,NA,NA,NA,5
370,105,10,j,0,4.18,NA,NA,NA,NA,5
151,105,10,t,1,4.26,5,1,720,720,6
164,105,10,v,1,5.75,5,1,260,260,6
166,105,10,v,0,4.81,NA,NA,NA,NA,6
168,105,10,s,0,5.82,NA,NA,NA,NA,6
372,105,10,k,1,3.65,5,2,3190,1595,7
152,105,10,p,1,5.05,6,3,8730,2910,9
375,105,10,f,1,4.41,6,3,2330,776.6666667,9
145,105,10,s,1,4.52,5,5,3360,672,10
148,105,10,h,1,3.68,7,6,2500,416.6666667,13
158,105,10,o,1,6.82,6,7,21550,3078.571429,13
167,105,10,j,1,4.61,6,7,7850,1121.428571,13
150,105,10,p,1,4.5,5,8,17180,2147.5,13
162,105,10,n,1,5.46,6,8,8230,1028.75,14
373,105,10,a,1,4.54,7,8,18250,2281.25,15
146,105,10,b,1,5.09,5,10,10960,1096,15
165,105,10,l,1,5.66,5,11,21650,1968.181818,16
156,105,10,e,1,4.9,6,12,21370,1780.833333,18
163,105,10,q,1,6.26,5,13,25870,1990,18
157,105,10,g,0,7.11,NA,NA,NA,NA,59
160,105,10,v,1,7.22,6,30,12678,422.6,65
153,105,10,t,0,3.83,NA,NA,NA,NA,65
269,161,0,j,0,5.1,NA,NA,NA,NA,3
280,161,0,v,0,7.44,NA,NA,NA,NA,4
282,161,0,c,0,9.05,NA,NA,NA,NA,4
281,161,0,q,0,8.85,NA,NA,NA,NA,7
268,161,0,f,0,3.35,NA,NA,NA,NA,12
416,161,0,r,0,6.78,NA,NA,NA,NA,12
266,161,0,b,0,4.65,NA,NA,NA,NA,12
278,161,0,r,0,8.3,NA,NA,NA,NA,15
270,161,0,m,0,3.85,NA,NA,NA,NA,20
287,161,0,c,0,6.45,NA,NA,NA,NA,21
415,161,0,r,0,6.21,NA,NA,NA,NA,21
267,161,0,i,0,5.06,NA,NA,NA,NA,22
283,161,0,u,0,7.35,NA,NA,NA,NA,22
285,161,0,e,0,7.27,NA,NA,NA,NA,24
265,161,0,g,0,5.86,NA,NA,NA,NA,29
286,161,0,a,0,6.66,NA,NA,NA,NA,32
273,161,0,h,0,4.82,NA,NA,NA,NA,37
276,161,0,p,0,6.13,NA,NA,NA,NA,37
284,161,0,s,0,6.25,NA,NA,NA,NA,55
271,161,0,k,0,3.72,NA,NA,NA,NA,56
272,161,0,l,0,4.06,NA,NA,NA,NA,59
274,161,0,d,0,4.23,NA,NA,NA,NA,59
277,161,0,t,0,8.61,NA,NA,NA,NA,59
275,161,0,n,0,4.65,NA,NA,NA,NA,60
288,161,0,h,0,8.92,NA,NA,NA,NA,64
414,161,0,t,0,6.04,NA,NA,NA,NA,65
279,161,0,o,0,6.14,NA,NA,NA,NA,65
263,161,1,n,0,7.47,NA,NA,NA,NA,2
259,161,1,p,0,6.29,NA,NA,NA,NA,2
254,161,1,q,0,6.25,NA,NA,NA,NA,6
401,161,1,f,0,7.64,NA,NA,NA,NA,6
253,161,1,p,0,6.82,NA,NA,NA,NA,8
243,161,1,s,0,5.26,NA,NA,NA,NA,9
257,161,1,i,0,8.79,NA,NA,NA,NA,14
403,161,1,m,0,5.72,NA,NA,NA,NA,14
241,161,1,u,1,4.34,6,9,8080,897.7777778,15
251,161,1,f,1,4.82,5,11,24730,2248.181818,16
402,161,1,s,1,6.63,13,6,11940,1990,19
249,161,1,g,0,5.94,NA,NA,NA,NA,19
246,161,1,c,1,5.52,7,13,32030,2463.846154,20
245,161,1,b,1,4.64,6,15,33880,2258.666667,21
247,161,1,u,0,4.72,NA,NA,NA,NA,21
248,161,1,m,0,4.18,NA,NA,NA,NA,22
258,161,1,g,1,7.23,6,17,33020,1942.352941,23
255,161,1,c,1,6.62,6,20,34360,1718,26
260,161,1,i,0,8.64,NA,NA,NA,NA,26
244,161,1,t,1,4.72,5,30,53000,1766.666667,36
250,161,1,h,0,5.53,NA,NA,NA,NA,36
262,161,1,b,0,6.23,NA,NA,NA,NA,51
256,161,1,j,0,8.47,NA,NA,NA,NA,57
264,161,1,l,0,8.53,NA,NA,NA,NA,59
242,161,1,t,0,4.28,NA,NA,NA,NA,60
252,161,1,o,0,9.75,NA,NA,NA,NA,65
261,161,1,k,0,6.89,NA,NA,NA,NA,65
240,161,10,v,0,4.3,NA,NA,NA,NA,3
227,161,10,f,0,5.98,NA,NA,NA,NA,4
231,161,10,i,0,4.8,NA,NA,NA,NA,6
218,161,10,r,1,9.22,9,1,500,500,10
367,161,10,b,1,6.86,7,3,2080,693.3333333,10
238,161,10,d,1,5.32,6,5,8640,1728,11
239,161,10,e,1,5.19,6,5,5990,1198,11
366,161,10,o,1,5.48,6,5,5070,1014,11
232,161,10,r,1,4.47,5,6,14090,2348.333333,11
217,161,10,s,0,6.11,NA,NA,NA,NA,11
229,161,10,s,1,8.69,9,3,2470,823.3333333,12
237,161,10,d,1,6.1,9,3,3600,1200,12
368,161,10,i,1,6.61,5,7,11720,1674.285714,12
235,161,10,b,1,4.72,6,8,21060,2632.5,14
234,161,10,k,1,5.36,5,9,20790,2310,14
224,161,10,m,1,6.55,6,13,28830,2217.692308,19
230,161,10,j,1,4,6,13,24350,1873.076923,19
223,161,10,n,0,8.54,NA,NA,NA,NA,20
222,161,10,o,0,6.76,NA,NA,NA,NA,21
233,161,10,r,1,5.22,5,18,8930,496.1111111,23
236,161,10,e,1,6.46,8,23,44660,1941.73913,31
226,161,10,l,0,7.87,NA,NA,NA,NA,34
225,161,10,v,1,6.52,8,28,58320,2082.857143,36
220,161,10,h,0,7.64,NA,NA,NA,NA,37
221,161,10,q,0,7.4,NA,NA,NA,NA,50
219,161,10,g,0,8.03,NA,NA,NA,NA,54
228,161,10,k,0,7.59,NA,NA,NA,NA,63
413,M,0,m,0,4.43,NA,NA,NA,NA,2
360,M,0,a,0,5.23,NA,NA,NA,NA,3
348,M,0,p,0,7.5,NA,NA,NA,NA,16
349,M,0,v,0,4.09,NA,NA,NA,NA,19
352,M,0,m,0,4.87,NA,NA,NA,NA,19
337,M,0,c,0,8.04,NA,NA,NA,NA,23
353,M,0,k,0,5.23,NA,NA,NA,NA,25
357,M,0,l,0,5.66,NA,NA,NA,NA,27
411,M,0,c,0,5.4,NA,NA,NA,NA,37
409,M,0,j,0,7.12,NA,NA,NA,NA,38
340,M,0,i,0,6.62,NA,NA,NA,NA,54
347,M,0,a,0,5.35,NA,NA,NA,NA,58
412,M,0,n,0,4.9,NA,NA,NA,NA,58
338,M,0,f,0,7.23,NA,NA,NA,NA,59
339,M,0,g,0,7.02,NA,NA,NA,NA,61
345,M,0,n,0,6.31,NA,NA,NA,NA,63
342,M,0,b,0,7.1,NA,NA,NA,NA,64
343,M,0,j,0,5.71,NA,NA,NA,NA,64
344,M,0,u,0,6.14,NA,NA,NA,NA,64
346,M,0,t,0,6.28,NA,NA,NA,NA,64
350,M,0,q,0,4.42,NA,NA,NA,NA,64
351,M,0,s,0,5.38,NA,NA,NA,NA,64
354,M,0,h,0,4.43,NA,NA,NA,NA,64
355,M,0,f,0,5.37,NA,NA,NA,NA,64
356,M,0,r,0,4.67,NA,NA,NA,NA,64
358,M,0,d,0,3.99,NA,NA,NA,NA,64
359,M,0,e,0,6.07,NA,NA,NA,NA,64
341,M,0,o,0,7.7,NA,NA,NA,NA,65
321,M,1,m,0,3.66,NA,NA,NA,NA,2
324,M,1,n,0,4.7,NA,NA,NA,NA,3
320,M,1,g,0,3.85,NA,NA,NA,NA,4
405,M,1,m,0,6.46,NA,NA,NA,NA,4
330,M,1,v,0,6.56,NA,NA,NA,NA,5
317,M,1,i,0,4.97,NA,NA,NA,NA,6
331,M,1,u,0,6.88,NA,NA,NA,NA,8
336,M,1,d,0,5.78,NA,NA,NA,NA,8
334,M,1,r,0,4.78,NA,NA,NA,NA,8
326,M,1,c,0,6.36,NA,NA,NA,NA,10
408,M,1,t,1,6.8,9,2,20,10,11
404,M,1,t,1,5.22,9,3,2530,843.3333333,12
314,M,1,o,1,4.46,5,7,19430,2775.714286,12
322,M,1,e,1,5.3,6,7,22200,3171.428571,13
315,M,1,t,1,5.09,5,14,47920,3422.857143,19
332,M,1,h,1,7.84,21,3,6160,2053.333333,24
406,M,1,r,1,4.12,11,16,31000,1937.5,27
327,M,1,n,1,6.73,24,4,7860,1965,28
333,M,1,s,1,5.54,6,29,92650,3194.827586,35
329,M,1,i,1,7.39,33,17,217,12.76470588,50
313,M,1,b,0,5.16,NA,NA,NA,NA,55
323,M,1,q,0,4.27,NA,NA,NA,NA,57
328,M,1,k,0,7.43,NA,NA,NA,NA,59
318,M,1,a,0,5.43,NA,NA,NA,NA,60
316,M,1,f,0,6.38,NA,NA,NA,NA,64
319,M,1,l,0,4.17,NA,NA,NA,NA,64
325,M,1,j,0,8.4,NA,NA,NA,NA,64
335,M,1,p,0,4.98,NA,NA,NA,NA,64
407,M,1,v,0,6.32,NA,NA,NA,NA,65
289,M,10,t,0,8.24,NA,NA,NA,NA,2
305,M,10,k,0,5.77,NA,NA,NA,NA,3
361,M,10,k,0,7.55,NA,NA,NA,NA,3
364,M,10,n,0,4.58,NA,NA,NA,NA,3
307,M,10,b,0,5.1,NA,NA,NA,NA,5
294,M,10,q,1,5.8,5,1,910,910,6
304,M,10,m,1,4.3,5,1,520,520,6
293,M,10,r,0,4.33,NA,NA,NA,NA,6
290,M,10,p,1,5.52,5,2,2460,1230,7
302,M,10,h,1,5.5,5,2,90,45,7
299,M,10,i,1,7.8,5,3,8560,2853.333333,8
308,M,10,l,1,5.45,6,4,7890,1972.5,10
300,M,10,d,1,8.08,5,7,11340,1620,12
297,M,10,v,1,5.78,6,7,4860,694.2857143,13
298,M,10,s,1,6.88,6,8,23140,2892.5,14
310,M,10,c,1,4.66,6,8,15400,1925,14
292,M,10,u,1,7.19,5,9,18920,2102.222222,14
306,M,10,a,1,4.8,5,9,20490,2276.666667,14
365,M,10,k,1,5.35,5,9,25210,2801.111111,14
303,M,10,f,1,5.86,5,10,45790,4579,15
312,M,10,g,1,4.94,6,12,43066,3588.833333,18
362,M,10,n,1,6.73,5,13,40030,3079.230769,18
301,M,10,e,1,4.15,6,13,51060,3927.692308,19
309,M,10,j,1,5.87,6,13,45510,3500.769231,19
296,M,10,j,1,7.11,6,14,49360,3525.714286,20
311,M,10,o,1,4.91,9,21,30990,1475.714286,30
295,M,10,n,1,7.26,6,30,61880,2062.666667,38
291,M,10,l,0,7.16,NA,NA,NA,NA,56
363,M,10,v,1,6.01,5,30,10513,350.4333333,65
