id	nest	treat	mass6	tars6	mass14	tars14	wing14	laydate	year
CK59818	82	H	3.4	9.3	NA	NA	NA	18	2010
NA	82	H	2.7	8.6	NA	NA	NA	18	2010
NA	82	H	2.3	8.5	NA	NA	NA	18	2010
CK59819	119	M	5.4	11.4	11.1	18.4	41	19	2010
CK59820	119	M	6.1	11.9	10.8	18.2	41.5	19	2010
CK59821	119	M	4.7	10.4	10.3	17.5	38.5	19	2010
CK59822	119	M	6	11.6	11.6	19.1	41.5	19	2010
CK59823	119	M	5	10.3	11.4	18	39.5	19	2010
CK59824	119	M	5.7	11.1	11.3	18	42	19	2010
CK59825	510	L	6.3	11.3	10.8	18.4	41.5	19	2010
CK59826	510	L	5.7	10.8	11.1	18.2	41	19	2010
CK59827	510	L	6.1	11.2	10.9	18.4	41	19	2010
CK59828	510	L	5.9	10.6	10.3	17.4	40	19	2010
1	694	M	5.3	10.3	11.6	17.8	43	20	2010
2	694	M	6.4	11.7	11.1	18.1	39	20	2010
3	694	M	5.9	11.2	11.3	18.2	43	20	2010
4	694	M	4.3	9.3	11.1	18.7	41	20	2010
5	694	M	6.2	11.4	11.6	18.4	43	20	2010
6	694	M	6.1	11.3	10.5	18.3	41.5	20	2010
7	694	M	4.8	10.1	11.2	18.5	41.5	20	2010
8	694	M	5.8	11.1	11.5	19.3	44.5	20	2010
CK59850	61	M	3.7	9	NA	NA	NA	18	2010
CK59851	61	M	4.3	9.9	NA	NA	NA	18	2010
CK59852	61	M	5.1	10.4	NA	NA	NA	18	2010
CK59853	61	M	4.3	9.7	NA	NA	NA	18	2010
CK59854	61	M	3	9.2	NA	NA	NA	18	2010
CK59855	61	M	3.9	9.4	NA	NA	NA	18	2010
CK59856	61	M	4.8	10.3	NA	NA	NA	18	2010
CK59857	545	H	4.2	9.2	11.3	18.7	37.5	21	2010
CK59858	545	H	4.5	10	11.2	18.3	37.5	21	2010
CK59859	545	H	4.9	10.4	11.7	18.6	39	21	2010
CK59860	545	H	3.7	9.1	10.7	18.3	36	21	2010
CK59861	545	H	3.7	8.9	10.6	18.7	36	21	2010
CK59862	545	H	4.3	9.3	11.7	18.4	38	21	2010
CK59863	545	H	4.8	10.1	11	18.9	39	21	2010
CK59864	223	H	5.2	10.5	9.7	18.1	39.5	18	2010
CK59865	223	H	5.8	11.8	10.3	18.2	41	18	2010
CK59866	223	H	5.6	10.9	9.5	18.4	40	18	2010
CK59867	223	H	5.8	11.6	9.6	18.2	41	18	2010
CK59868	223	H	6	11.5	9.7	18.4	40	18	2010
CK59869	223	H	5.8	11.4	10.3	18.8	40.5	18	2010
CK59870	223	H	5.7	11.3	10	18.3	40	18	2010
CK59871	223	H	4.9	9.6	10	18.7	38.5	18	2010
CK59872	223	H	4.8	10.4	9.7	17.6	39.5	18	2010
CK59890	806	L	5.4	10.3	NA	NA	NA	20	2010
CK59891	806	L	4.8	9.8	NA	NA	NA	20	2010
CK59892	806	L	5.3	10.14	NA	NA	NA	20	2010
CK59893	806	L	3.3	7.9	NA	NA	NA	20	2010
CK59894	806	L	5.2	10.9	NA	NA	NA	20	2010
CK59895	806	L	4	9.4	NA	NA	NA	20	2010
CK59896	806	L	4.9	10.1	NA	NA	NA	20	2010
CK59897	284	M	6	10.9	NA	NA	NA	20	2010
CK59898	284	M	6.8	12	NA	NA	NA	20	2010
CK59899	284	M	6	11.1	NA	NA	NA	20	2010
CL77300	284	M	5.2	10.2	NA	NA	NA	20	2010
CL77301	284	M	5.2	10.2	NA	NA	NA	20	2010
CL77302	284	M	6.4	11.8	NA	NA	NA	20	2010
CL77303	284	M	5.4	10.6	NA	NA	NA	20	2010
NA	284	M	2.8	7.6	NA	NA	NA	20	2010
CL77304	68	M	5.1	10.5	9.4	17.6	37	17	2010
CL77305	68	M	4.8	9.8	9.3	17.7	36	17	2010
CL77306	68	M	5.7	10.7	10.8	18.5	40.5	17	2010
CL77307	68	M	3.1	8.4	NA	NA	NA	17	2010
CL77308	68	M	5.1	10.6	10.5	17.3	40	17	2010
CL77309	68	M	4.2	9.6	NA	NA	NA	17	2010
CL77310	68	M	4.1	9.7	9.1	17.5	34	17	2010
CL77311	68	M	5.4	10.3	NA	NA	NA	17	2010
CL77312	68	M	5	10.5	10.7	17.6	37	17	2010
CL77313	68	M	4.6	10.5	9.3	17.4	36	17	2010
CL77314	68	M	5.2	10.8	9.7	17.8	39	17	2010
NA	68	M	4.1	NA	NA	NA	NA	17	2010
CL77315	60	L	4.4	9.8	NA	NA	NA	18	2010
CL77316	60	L	5.1	10.4	NA	NA	NA	18	2010
CL77317	60	L	4.7	10.4	NA	NA	NA	18	2010
CL77318	60	L	4.6	10.2	NA	NA	NA	18	2010
CL77319	60	L	5.3	10.2	NA	NA	NA	18	2010
CL77320	637	M	5.2	10.2	10.6	18.4	39.5	21	2010
CL77321	637	M	6.3	11.8	11.3	18.7	41	21	2010
CL77322	637	M	6.3	11.7	11.1	18.8	40	21	2010
CL77323	637	M	6.6	11.7	11.6	19	41	21	2010
CL77324	637	M	5.2	10.2	10.7	18.6	37.5	21	2010
CL77325	637	M	4.3	8.2	10.3	18.2	37	21	2010
CL77326	637	M	5.6	10.7	10.6	18.1	39	21	2010
CL77327	637	M	5.8	11.2	11.1	18.9	39	21	2010
CL77328	247	L	6.4	11.1	12.6	17.9	44	18	2010
CL77329	247	L	6.1	11.5	11.1	18.2	43	18	2010
CL77330	247	L	5.7	11.3	11.2	18.2	43.5	18	2010
CL77331	247	L	5.1	9.7	10.5	17.8	40.5	18	2010
CL77332	247	L	5.3	10.6	10.7	18.4	41.5	18	2010
CL77338	365	H	5.2	10.6	11.5	17.7	39.5	21	2010
CL77339	365	H	4	9.5	10.5	17.8	35.5	21	2010
CL77340	365	H	3.8	9.6	10.7	18.3	36	21	2010
CL77341	365	H	4.5	9.8	10.4	17.5	39	21	2010
CL77342	365	H	3.8	9.7	10.3	17.8	35	21	2010
CL77343	365	H	5.3	11.5	11.7	18.8	42	21	2010
CL77344	365	H	5.9	11.4	13	18.7	42.5	21	2010
NA	365	H	2.7	8	NA	NA	NA	21	2010
CL77345	571	M	6.4	11.1	10.6	18.1	40.5	20	2010
CL77346	571	M	5.4	10.1	11.2	18.3	39.5	20	2010
CL77347	571	M	5.7	10.9	11.3	18.5	41	20	2010
CL77348	571	M	6.3	11.5	11.5	18.5	41.5	20	2010
CL77349	571	M	4	8.9	9.6	17.3	35	20	2010
CL77350	571	M	6.1	11.2	11.2	17.8	41	20	2010
CL77351	571	M	6.1	10.9	10.6	18	41	20	2010
CL77352	571	M	4.8	10	11.4	18.5	40	20	2010
CL77353	571	M	3.7	8.2	8	16.9	29	20	2010
CL77354	571	M	5.8	11	10.7	17.6	40.5	20	2010
CL77355	191	H	6.2	12.2	11.9	19.4	42.5	24	2010
CL77356	191	H	6.5	12.2	12.6	19.1	42	24	2010
CL77357	191	H	6.3	12.1	12.1	19.1	42.5	24	2010
CL77358	191	H	4.3	9.4	11.8	18.9	36.5	24	2010
CL77359	191	H	7	12.5	12.9	18.8	44	24	2010
CL77360	191	H	4.4	9.5	10.8	18.2	37	24	2010
CL77361	191	H	6	12	12.5	19.2	42	24	2010
CL77362	524	L	6.3	11.6	12.4	19	42	23	2010
CL77363	524	L	7	11.9	11.8	18	44	23	2010
CL77364	524	L	7.6	12.6	12.4	18.6	41.5	23	2010
1ER79930	89	H	7.3	13.3	12.3	19.1	44.5	27	2010
1ER79931	89	H	7.9	13.3	12.8	19.4	46	27	2010
1ER79932	89	H	7	12.5	12.2	19.1	44	27	2010
1ER79933	89	H	6.4	12.3	12.5	19	41.5	27	2010
1ER79934	89	H	5.6	11.1	10.8	18.4	40	27	2010
1ER79935	89	H	6.7	12.4	11.8	18.7	44	27	2010
1ER79936	89	H	6.7	12.6	11.5	19	42	27	2010
1ER79937	89	H	7.8	13	11.8	18.7	45	27	2010
1ER79938	89	H	6.6	12.8	11.3	18.9	43	27	2010
NA	89	H	2.9	7.5	NA	NA	NA	27	2010
1ER79939	729	M	6.9	12.4	10.8	19.4	43	24	2010
1ER79940	729	M	7.8	13.2	12.2	19.3	45	24	2010
1ER79941	729	M	7.2	13.2	11.1	19.1	44	24	2010
1ER79942	729	M	5.3	11.4	9.6	18.4	41	24	2010
1ER79943	729	M	7.3	13	11	18.8	45	24	2010
1ER79944	729	M	7.1	13	10.7	18.7	41	24	2010
1ER79945	729	M	7.8	12.9	11.9	18.7	43.5	24	2010
1ER79946	729	M	5	11.2	10.5	18.7	39.5	24	2010
1ER79947	729	M	5.8	11.8	10.6	18.3	40	24	2010
1ER79948	729	M	7.1	13.3	11.9	19.1	44.5	24	2010
1ER79949	729	M	6.7	12.7	10.7	18.7	41	24	2010
1ER79951	176	H	5.9	11.2	11.8	19	40	28	2010
1ER79952	176	H	6.6	12.2	12.4	19.5	42	28	2010
1ER79953	176	H	6.6	12.5	12.8	19.8	43	28	2010
CL77379	176	H	6	12.1	11.8	18.8	35.5	28	2010
1ER79955	176	H	5.6	11.3	11.7	19.3	42.5	28	2010
1ER79956	176	H	5.1	10.4	12	19.4	39	28	2010
1ER79957	176	H	5.2	10.4	12.5	19	39.5	28	2010
NA	176	H	3.8	8.5	NA	NA	NA	28	2010
1ER79959	695	L	4.6	9.8	11.7	18.6	40	27	2010
1ER79960	695	L	7.8	12.8	11.8	18.5	46	27	2010
1ER79961	695	L	7.4	12.5	12.7	18.3	45.5	27	2010
1ER79962	695	L	7.3	12.9	11.4	18.8	46	27	2010
1ER79963	695	L	6.2	11.5	12.3	19.4	43	27	2010
1ER79826	695	L	3.7	8.6	11.6	18.5	37	27	2010
1ER79827	695	L	2.1	NA	9.8	17.3	25.5	27	2010
1ER79966	215	M	6.3	12.1	NA	NA	NA	25	2010
1ER79967	215	M	6.6	12.3	NA	NA	NA	25	2010
1ER79968	215	M	5.2	10.4	NA	NA	NA	25	2010
1ER79969	215	M	6.4	12	NA	NA	NA	25	2010
1ER79970	215	M	6.6	11.9	NA	NA	NA	25	2010
1ER79971	215	M	6.6	11.7	NA	NA	NA	25	2010
1ER79972	215	M	6.3	11.8	NA	NA	NA	25	2010
1ER79973	215	M	5.8	11.5	NA	NA	NA	25	2010
1ER79974	215	M	5.7	10.2	NA	NA	NA	25	2010
NA	215	M	3.3	8.7	NA	NA	NA	25	2010
1ER79975	96	L	6.5	11.2	10.4	17	43.5	21	2010
1ER79976	96	L	5.2	10.6	11.6	18	40.5	21	2010
1ER79977	96	L	6.2	11.7	11.6	18	45	21	2010
1ER79979	96	L	5.4	11.1	9.8	16.6	43	21	2010
1ER79980	96	L	5.6	10.8	10.2	16.8	42.5	21	2010
1ER79981	96	L	4.7	9.5	NA	NA	NA	21	2010
1ER79982	654	H	6.3	12.2	10.9	19.1	41.5	26	2010
1ER79983	654	H	5.6	11	10.8	18.1	40.5	26	2010
1ER79984	654	H	5	10.1	11	18.7	38.5	26	2010
1ER79985	654	H	6.1	11.6	11.2	19.2	41	26	2010
1ER79986	654	H	5.6	11.7	11	18.3	40	26	2010
1ER79987	654	H	6.1	11.7	10.3	18.5	41	26	2010
1ER79988	654	H	6.6	12.3	11.1	19.2	43	26	2010
1ER79989	654	H	5.5	11.3	11.2	19.2	40.5	26	2010
1ER79830	654	H	2.9	8.2	9.3	17.1	31	26	2010
1ER79990	211	M	6.1	11.3	11.6	18.8	42	28	2010
1ER79991	211	M	6.7	12.2	11.4	18.4	44	28	2010
1ER79992	211	M	6.1	11.5	11.7	19	42.5	28	2010
1ER79993	211	M	5.4	10.9	11.4	18.7	42.5	28	2010
1ER79994	211	M	6.4	12	11.5	19.4	44.5	28	2010
1ER79995	211	M	7.3	13.2	11.9	19.3	45	28	2010
1ER79996	211	M	6.6	11.5	11.6	18.4	42	28	2010
1ER79997	211	M	5.4	10.8	11.6	18.9	41.5	28	2010
1ER79837	211	M	3.6	8.7	10.8	17.5	35.5	28	2010
1ER79838	211	M	2.7	7.3	10	17.6	30	28	2010
1ER79700	625	M	6.7	12.6	9.2	18.4	41.5	24	2010
1ER79701	625	M	6.3	12.4	10.9	18.4	41.5	24	2010
1ER79702	625	M	6.7	12.4	11.4	18.2	41	24	2010
1ER79703	625	M	4.5	9.8	NA	NA	NA	24	2010
1ER79704	625	M	6.2	11.7	10.3	17.8	42	24	2010
1ER79705	625	M	5.6	11.2	10.1	17.7	39.5	24	2010
1ER79706	625	M	5.2	10.8	10.6	18.5	38	24	2010
1ER79707	625	M	6.7	12.4	10.5	18.4	43	24	2010
1ER79708	625	M	6.1	11.5	10.6	18	43	24	2010
1ER79709	625	M	5.7	10.6	11.1	18.2	41	24	2010
1ER79710	625	M	7.6	12.7	11.6	18.3	43	24	2010
1ER79713	213	H	6.5	12.2	12.1	19	42	28	2010
1ER79714	213	H	6.6	12.4	11.9	19.4	42	28	2010
1ER79715	213	H	6.6	12.4	11.7	18.9	40.5	28	2010
1ER79716	213	H	7.1	12.8	12.3	19.2	41	28	2010
1ER79717	213	H	6.2	9.7	10.8	18.1	38	28	2010
1ER79718	213	H	7.5	13.1	12.4	19.9	43.5	28	2010
1ER79719	213	H	6.7	12.1	11.7	18.3	42	28	2010
1ER79720	213	H	6.1	12	11.6	18.8	39.5	28	2010
1ER79856	213	H	3.2	8.2	10.5	18.1	33	28	2010
1ER79726	779	H	7.1	12.6	11.7	18	45	29	2010
1ER79727	779	H	4.6	9.3	12.5	18.2	44.5	29	2010
1ER79728	779	H	6.9	12.5	12.5	18.2	44.5	29	2010
1ER79729	779	H	6.2	11.6	11.5	18.2	41.5	29	2010
1ER79730	779	H	7.4	12.8	11.8	19.1	44	29	2010
1ER79731	779	H	7.3	12.5	12.3	18.4	42.5	29	2010
1ER79732	779	H	7.3	12.6	12.4	18.7	42	29	2010
1ER79733	779	H	5.6	11.4	10.9	18.1	38	29	2010
1ER79734	779	H	5.8	10.7	11.5	17.7	39	29	2010
1ER79735	779	H	6.7	12.5	11.5	18.1	45	29	2010
1ER79737	112	H	5.6	11.6	NA	NA	NA	29	2010
1ER79738	112	H	4.4	10	NA	NA	NA	29	2010
1ER79739	112	H	5.6	11.4	NA	NA	NA	29	2010
1ER79740	112	H	4.7	10.7	NA	NA	NA	29	2010
1ER79741	112	H	6.5	12.1	NA	NA	NA	29	2010
1ER79858	112	H	3.7	9	NA	NA	NA	29	2010
1ER79743	112	H	4.3	9.4	NA	NA	NA	29	2010
1ER79744	112	H	5.4	10.7	NA	NA	NA	29	2010
1ER79745	112	H	6.4	12.1	NA	NA	NA	29	2010
1ER79746	112	H	6.2	12	NA	NA	NA	29	2010
NA	112	H	2.3	NA	NA	NA	NA	29	2010
1ER79747	727	L	5.3	10.4	12.2	18.5	42	26	2010
1ER79748	727	L	5.3	10.4	11.3	18	40	26	2010
1ER79749	727	L	4.4	9.2	10.8	18.4	37	26	2010
1ER79750	727	L	5.6	10.5	11.4	18.5	41.5	26	2010
1ER79752	29	L	7.2	12.4	NA	NA	NA	28	2010
1ER79753	29	L	6.3	11.6	NA	NA	NA	28	2010
1ER79754	29	L	4.1	9.2	NA	NA	NA	28	2010
1ER79756	29	L	6.6	12.1	NA	NA	NA	28	2010
1ER79757	29	L	6.4	11.9	NA	NA	NA	28	2010
1ER79857	29	L	3.9	8.8	NA	NA	NA	28	2010
1ER79759	608	M	5.9	11.1	NA	NA	NA	29	2010
1ER79760	608	M	5.5	11.4	NA	NA	NA	29	2010
1ER79761	608	M	6.1	11.2	NA	NA	NA	29	2010
1ER79762	608	M	5.2	10.4	NA	NA	NA	29	2010
1ER79763	608	M	4.3	9.6	NA	NA	NA	29	2010
1ER79764	608	M	6.7	12	NA	NA	NA	29	2010
1ER79765	608	M	5.7	11.4	NA	NA	NA	29	2010
1ER79766	860	L	5.3	10.3	12.1	18.1	42	28	2010
1ER79767	860	L	5.8	9.8	12.5	18.5	40.5	28	2010
1ER79768	860	L	5.4	10.6	12.2	18.5	42.5	28	2010
1ER79769	860	L	5.6	10.8	12.4	18.9	42.5	28	2010
1ER79770	860	L	5.5	10.4	12.7	18.2	43	28	2010
1ER79771	860	L	5.8	10.8	11.7	17.5	42.5	28	2010
1ER79772	860	L	5.9	10.9	12.1	18	43	28	2010
1ER79773	94	M	6.6	13.2	11.8	19.1	45	26	2010
1ER79774	94	M	6.7	12.7	11.5	18.7	44.5	26	2010
1ER79775	94	M	6.4	12.8	11.2	19.1	44	26	2010
1ER79776	94	M	6.4	13	11	19.6	43	26	2010
1ER79777	94	M	6.5	12.4	11.1	18.5	39.5	26	2010
1ER79778	94	M	6.6	12.3	11	18.6	42.5	26	2010
1ER79779	94	M	6.3	12.4	10.1	18.5	45	26	2010
1ER79780	94	M	5.4	11.8	10.6	18.7	43	26	2010
1ER79781	94	M	6	12.5	10.3	18.7	44	26	2010
1ER79782	94	M	6	12.6	10	18.1	44	26	2010
1ER79783	648	M	6.2	11.6	11.5	18.7	39.5	30	2010
1ER79784	648	M	6.3	11.4	11.8	18.6	41	30	2010
1ER79785	648	M	6.3	11.5	10.9	17.6	39.5	30	2010
1ER79786	648	M	6	10.7	11.5	17.8	39	30	2010
1ER79787	648	M	4.7	9.7	NA	NA	NA	30	2010
1ER79788	648	M	6.1	11.4	11.3	17.9	39.5	30	2010
1ER79789	648	M	6.1	11.7	11.7	18.6	40	30	2010
1ER79790	648	M	4.8	9.8	10.3	17.4	36	30	2010
NA	648	M	3	7.8	NA	NA	NA	30	2010
1ER79791	689	M	5.3	10.7	11.5	19.4	40	32	2010
1ER79792	689	M	4.2	9.8	10.2	18.1	36.5	32	2010
1ER79793	689	M	6.3	12.5	11.7	19.6	43	32	2010
1ER79794	689	M	5.3	11.4	10.6	19.5	40	32	2010
1ER79795	689	M	5.4	11.2	10.8	19.3	40.5	32	2010
1ER79796	689	M	4.8	10.4	9.7	18.7	38	32	2010
1ER79797	689	M	3.9	9.1	9.6	17.9	35.5	32	2010
1ER79798	689	M	4.6	10.2	10.5	18.8	38.5	32	2010
1ER79808	364	H	7.1	12.4	11.4	18.8	42.5	30	2010
1ER79809	364	H	6.9	12.3	12	19.1	43.5	30	2010
1ER79810	364	H	7	12.3	11.8	19.5	43.5	30	2010
1ER79811	364	H	6.2	11.7	11.6	19.5	42	30	2010
1ER79812	364	H	4.2	9.4	NA	NA	NA	30	2010
1ER79813	364	H	7.1	12.1	12.7	19.2	43.5	30	2010
1ER79814	364	H	6.9	12.2	11.1	18.2	43	30	2010
1ER79815	364	H	7.3	12.1	11.5	19.2	44	30	2010
1ER79816	364	H	6.8	12.3	12.3	19.6	41	30	2010
1ER79817	364	H	6.9	12.3	11.6	19	44	30	2010
1ER79818	506	L	5.5	11.5	12.3	19.5	43.5	31	2010
1ER79819	506	L	6.1	12	12.8	19.8	43	31	2010
1ER79820	506	L	6.7	12.7	12.3	19.4	45	31	2010
1ER79821	506	L	6.2	11.9	12.7	19.7	44	31	2010
1ER79822	506	L	6.2	12.3	11.8	19.2	44	31	2010
1ER79823	506	L	5.2	11.5	11.3	18.3	41	31	2010
1ER17601	838	H	6.4	11.6	11.2	18.6	41	16	2009
1ER17602	838	H	4.9	9.8	10.3	17.7	39.5	16	2009
1ER17603	838	H	6.6	11.3	11.2	18.2	40.5	16	2009
1ER17604	838	H	6.9	11.3	11.1	17.9	43	16	2009
1ER17605	838	H	6.2	10.3	10.1	17.2	39	16	2009
1ER17606	838	H	4.1	8.9	9.4	17.6	29	16	2009
1ER17607	838	H	6.1	10.7	11	17.9	41	16	2009
1ER17608	838	H	6.4	11.7	10.6	17.6	43	16	2009
NA	838	H	3.2	8.2	NA	NA	NA	16	2009
1EP51290	617	H	7.1	11.5	12.2	18.7	45	17	2009
1EP51291	617	H	6.3	10.5	12.9	18.6	42.5	17	2009
1EP51292	617	H	6	10.2	12.3	18.6	42	17	2009
1EP51294	247	H	6	10.8	11.4	18.1	41	15	2009
1EP51295	247	H	5.8	10.9	11.3	18.4	43	15	2009
1EP51296	247	H	5.7	10.3	11.1	18.5	42	15	2009
1EP51297	247	H	5.8	9.8	12.6	18.6	40	15	2009
1EP51298	247	H	4.6	9.1	10.8	18.4	39	15	2009
1EP51299	247	H	5.9	10.3	11.2	17.8	41	15	2009
1ER17600	247	H	5.8	10.7	11	17.8	42	15	2009
1ER17610	21	M	6.2	11.3	12.1	19.1	44.5	16	2009
1ER17611	21	M	6.1	10.8	12.1	19	41.5	16	2009
1ER17612	21	M	5.8	10.6	11.5	18.4	44	16	2009
1ER17613	21	M	5	9.9	11.8	18.7	42.5	16	2009
1ER17614	21	M	6.4	11.6	12.4	18.7	44	16	2009
1ER17615	21	M	6.8	11.6	12.4	18.8	44	16	2009
1ER17616	21	M	6.9	11.4	12.2	18.5	44	16	2009
1ER17617	21	M	4.6	8.5	11.7	17.7	39.5	16	2009
1ER17618	21	M	5.4	10.4	11.8	18.1	43	16	2009
1ER17620	7001	L	5.2	10.1	13.1	18.9	40.5	18	2009
1ER17621	7001	L	4.3	9.4	12.5	18.3	34	18	2009
1ER17622	7001	L	5	9.6	12.4	18.4	39	18	2009
1ER17623	7001	L	4.9	9.2	12.9	18.2	39	18	2009
1ER17624	7001	L	4.6	9.3	12.3	18.1	38.5	18	2009
NA	7001	L	4	8.7	NA	NA	NA	18	2009
NA	7001	L	3.7	8.4	NA	NA	NA	18	2009
NA	7001	L	1.3	NA	NA	NA	NA	18	2009
1ER17627	875	L	6.6	11.1	10.4	18.3	42.5	14	2009
1ER17628	875	L	5.7	10.8	10.2	18.4	40.5	14	2009
1ER17629	875	L	5.6	9.8	10.9	18.9	39.5	14	2009
1ER17630	875	L	5.2	9.6	10.5	17.7	38.5	14	2009
1ER17631	875	L	5	9.6	10.4	18.3	40.5	14	2009
1ER17632	875	L	4.6	9.3	10.3	17.9	38	14	2009
1ER17633	875	L	5.6	9.8	10.3	17.8	40	14	2009
1ER17636	674	H	3.9	8.4	NA	NA	NA	18	2009
1ER17637	674	H	6.1	10.9	NA	NA	NA	18	2009
1ER17638	674	H	6	10.6	NA	NA	NA	18	2009
1ER17937	674	H	3.8	8.4	NA	NA	NA	18	2009
1ER17640	674	H	5.8	10.7	NA	NA	NA	18	2009
1ER17641	674	H	6.3	11.1	NA	NA	NA	18	2009
1ER17642	674	H	4.8	9.4	NA	NA	NA	18	2009
1ER17643	674	H	5.4	9.9	NA	NA	NA	18	2009
1ER17644	674	H	5.7	10.7	NA	NA	NA	18	2009
1ER17645	674	H	5.3	10.2	NA	NA	NA	18	2009
1ER17646	674	H	6.2	10.8	NA	NA	NA	18	2009
1ER17649	4	M	6.2	10.9	11.3	18.3	42.5	18	2009
1ER17650	4	M	5.9	10.7	11.3	18	42	18	2009
1ER17651	4	M	7.2	11	12.7	18.3	42.5	18	2009
1ER17652	4	M	5.8	10.3	11.7	18.4	40	18	2009
1ER17653	4	M	6.1	11.1	12.4	19.3	43	18	2009
1ER17654	4	M	5.8	10.1	12.2	18.1	42	18	2009
1ER17655	4	M	6.3	11	12.2	19.2	42	18	2009
1ER17936	4	M	3.5	7.9	11	17.2	35	18	2009
1ER17671	836	L	7.2	12.2	11.9	18.55	44.5	17	2009
1ER17672	836	L	6	11.6	11.7	18.72	46	17	2009
1ER17673	836	L	6.7	12.5	11.5	18.52	47	17	2009
1ER17674	836	L	6.7	12.3	11.8	18.49	45.5	17	2009
1ER17675	836	L	7.3	12.1	12.8	18.81	47	17	2009
1ER17676	836	L	7	12.7	11.7	18.97	45	17	2009
1ER17677	836	L	5.7	10.9	11.6	18.93	42	17	2009
1ER17678	836	L	6.8	12.2	11.9	19.2	46.5	17	2009
1ER17679	836	L	5.1	10.1	11.4	19.25	43	17	2009
1ER17200	753	M	5.6	10.2	NA	NA	NA	18	2009
1ER17201	753	M	5.9	10.3	NA	NA	NA	18	2009
1ER17202	753	M	6.7	10.9	NA	NA	NA	18	2009
1ER17203	753	M	6.3	11	NA	NA	NA	18	2009
1ER17691	548	M	6.9	11.9	11.6	18.4	45.5	19	2009
1ER17692	548	M	5.6	10.8	11.4	17.7	43	19	2009
1ER17693	548	M	4.8	9.8	11.4	17.7	40	19	2009
1ER17694	548	M	6.3	11.9	11.3	18.3	44	19	2009
1ER17695	548	M	5.7	11.2	11.3	17.4	43	19	2009
1ER17696	548	M	6.8	12	12.5	17.9	45	19	2009
1ER17697	548	M	6	11.4	12.6	18.6	45.5	19	2009
1ER17698	548	M	5.7	10.9	12.1	18.4	43.5	19	2009
1ER17699	548	M	6.4	11.5	11.7	17.7	45.5	19	2009
1ER17969	548	M	4.2	8	11.2	17.1	39.5	19	2009
1ER17214	277	L	5.6	10.7	10.3	18	39.5	17	2009
1ER17215	277	L	5.5	10.6	10.7	17.9	39	17	2009
1ER17216	277	L	6.2	11.5	11	18.4	42	17	2009
1ER17217	277	L	6.7	12	11.7	18.6	42	17	2009
