ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3,MeanFingerArea,MeanToeArea,SumFingers,SumToes,MaxFingerForce
596,After,Pine Cay,Male,50.8,10.68,12.35,7.92,7,9.38,7.99,2.89,4.17,14,15,1.608,1.612,1.67,2.579,2.528,2.473,1.63,2.526666667,4.568,7.614,0.062
597,After,Pine Cay,Female,43.35,9.13,10.17,6.52,5.93,7.43,6.64,2.15,3.16,10,12,1.191,1.162,1.186,1.857,1.818,1.856,1.179666667,1.843666667,3.049,5.499,0.035
598,After,Water Cay,Male,52.07,12.6,13.67,8.08,7.3,10.63,8.94,2.92,4.23,12,15,2.18,2.202,2.206,2.91,2.903,2.883,2.196,2.898666667,6.256,9.157,0.397
599,After,Water Cay,Female,40.17,9.31,9.99,5.98,5.72,7.6,6.71,1.94,3.15,12,14,1.033,1.019,1.012,1.45,1.422,1.439,1.021333333,1.437,3.015,4.127,0.349
600,After,Water Cay,Male,54.2,12.33,12.96,7.9,7.57,10.4,8.55,2.98,4.76,11,14,1.926,1.938,1.934,3.345,3.349,3.368,1.932666667,3.354,5.862,9.19,0.404
601,After,Water Cay,Female,43.24,8.8,10.31,6.54,6.28,8.09,7.01,2.89,2.86,10,13,1.135,1.154,1.149,1.821,1.824,1.821,1.146,1.822,3.291,4.941,0.281
602,After,Water Cay,Male,51.92,11.51,13.31,7.97,6.51,9.76,8.72,3.24,4.08,13,15,2.149,2.138,2.192,3.077,3.065,3.038,2.159666667,3.06,6.147,7.537,0.595
603,After,Water Cay,Female,49.74,10.38,12.16,7.8,6.62,9.1,7.83,2.85,3.88,13,15,1.75,1.775,1.768,2.611,2.655,2.643,1.764333333,2.636333333,5.581,8.605,0.451
604,After,Water Cay,Female,49.08,10.78,12.04,8.01,7.16,9.65,7.84,2.96,3.96,13,14,1.456,0.414,1.445,2.153,2.199,2.143,1.105,2.165,4.466,7.307,0.445
606,After,Water Cay,Female,45.66,8.53,10.01,6.43,6.64,7.9,6.99,2.6,2.89,12,14,1.16,1.119,1.175,1.795,1.769,1.785,1.151333333,1.783,3.32,4.842,0.342
607,After,Water Cay,Female,43.48,8.95,10.53,5.91,6.59,7.66,6.76,2.47,3.1,11,12,1.269,1.26,1.239,2.017,1.986,2.017,1.256,2.006666667,3.466,5.289,0.137
608,After,Water Cay,Male,59.65,14.23,14.84,8.8,8.85,11.5,9.82,3.54,5.41,13,16,3.019,2.971,3.065,4.267,4.15,4.26,3.018333333,4.225666667,9.819,13.459,0.452
609,After,Water Cay,Male,55.9,13.58,14.01,8.91,8.3,11.4,9.48,2.88,4.18,14,16,2.484,2.502,2.476,3.586,3.667,3.681,2.487333333,3.644666667,7.333,10.831,0.691
611,After,Water Cay,Female,42.73,9.09,9.94,6.29,5.89,7.17,6.68,2.63,3.33,11,12,0.867,0.889,0.884,1.474,1.493,1.488,0.88,1.485,2.191,4.176,0.287
612,After,Water Cay,Male,49.1,10.6,12.2,7.75,7.52,8.4,7.89,2.69,4.08,13,14,1.798,1.754,1.734,2.127,2.139,2.212,1.762,2.159333333,4.942,4.035,0.233
613,After,Water Cay,Male,47.83,10.81,11.92,7.54,7.27,9.34,7.87,2.97,4.28,11,15,1.516,1.503,1.497,2.574,2.584,2.604,1.505333333,2.587333333,4.851,7.147,0.479
614,After,Water Cay,Male,48.95,10.64,11.89,7.33,7.05,9.13,7.72,2.78,3.88,12,15,1.746,1.737,1.659,2.213,2.217,2.168,1.714,2.199333333,4.804,6.446,0.13
615,After,Water Cay,Male,53.77,11.38,13.13,7.96,6.77,9.63,8.57,2.96,3.84,11,15,1.62,1.535,1.59,2.958,3.027,2.97,1.581666667,2.985,5.393,7.853,0.657
617,After,Water Cay,Female,46.09,10.29,11.61,7.36,7.14,8.95,7.45,2.87,4.27,14,16,1.55,1.518,1.555,2.305,2.298,2.279,1.541,2.294,4.785,6.464,0.315
618,After,Water Cay,Male,53.2,12.79,14.14,8.68,8.15,11.3,8.9,3.45,4.6,13,16,2.07,2.048,2.024,3.166,3.17,3.162,2.047333333,3.166,6.111,8.032,0.725
619,After,Water Cay,Male,56.73,12.66,13.89,8.5,7.88,11.11,8.88,3.36,3.89,13,15,2.293,2.256,2.239,3.338,3.379,3.354,2.262666667,3.357,7.165,9.965,0.199
620,After,Water Cay,Male,47.91,10.31,12.2,7.86,7.15,9.02,7.85,2.92,3.95,14,15,1.972,1.915,1.997,2.699,2.668,2.646,1.961333333,2.671,6.059,8.098,0.356
621,After,Water Cay,Male,52.83,11.59,13.23,8.38,7.51,10.35,8.52,3.43,3.76,12,15,1.985,1.994,2.015,2.96,3.01,3.019,1.998,2.996333333,6.058,8.602,0.116
622,After,Water Cay,Male,56.46,12.03,13.21,8.7,8.27,10.09,9.07,3.73,4.59,13,16,2.283,2.134,2.173,3.52,3.57,3.567,2.196666667,3.552333333,6.069,10.144,0.417
623,After,Water Cay,Female,42.45,8.13,9.75,6.37,6.07,7.47,6.41,2.94,3.15,11,14,1.031,0.964,0.962,1.462,1.432,1.462,0.985666667,1.452,2.963,4.234,0.253
624,After,Water Cay,Female,40.72,8.06,9.75,5.94,5.86,7.38,6.33,2.56,2.95,11,13,0.883,0.878,0.872,1.326,1.37,1.306,0.877666667,1.334,2.147,3.885,0.301
625,After,Water Cay,Female,43.14,8.79,10.04,6.1,5.64,7.66,6.49,2.52,3.2,11,13,1.002,0.981,0.978,1.376,1.41,1.362,0.987,1.382666667,2.919,4.514,0.335
626,After,Water Cay,Male,48.53,9.61,11.9,7.83,6.79,8.6,7.54,2.61,4.27,13,14,1.706,1.781,1.832,2.461,2.459,2.472,1.773,2.464,4.993,6.918,
627,After,Water Cay,Female,43.5,9.04,9.83,6.24,6.72,7.97,6.65,2.73,3.39,11,12,1.113,1.182,1.193,1.938,1.924,1.927,1.162666667,1.929666667,3.411,5.391,0.048
628,After,Water Cay,Male,54.45,11.77,13.26,8.21,8.36,11.26,8.76,3,4.71,12,15,2.347,2.353,2.332,3.485,3.49,3.427,2.344,3.467333333,6.82,9.612,0.328
629,After,Water Cay,Male,56.3,12.53,13.25,8.52,7.92,9.73,8.73,3.33,4.42,11,14,2.253,2.276,2.301,3.46,3.558,3.58,2.276666667,3.532666667,6.907,10.072,
630,After,Water Cay,Female,43.52,9.16,10.15,6.4,6.63,7.71,6.83,2.5,3.09,10,13,1.047,1.04,1.005,1.885,1.846,1.859,1.030666667,1.863333333,3.266,5.152,0.229
631,After,Water Cay,Female,41.67,7.9,9.88,6.51,5.77,7.39,6.42,2.1,2.83,11,12,0.888,0.91,0.908,1.564,1.576,1.521,0.902,1.553666667,2.892,4.339,0.164
632,After,Water Cay,Male,48.46,10.62,12.32,7.97,7.13,9.34,8.06,2.9,3.84,12,15,1.547,1.605,1.581,2.498,2.426,2.468,1.577666667,2.464,5.496,7.39,0.266
633,After,Water Cay,Female,41.68,8.23,10.3,6.27,6.26,7.4,6.66,2.69,3.34,13,14,1.158,1.113,1.158,1.579,1.598,1.549,1.143,1.575333333,3.056,4.951,0.164
634,After,Water Cay,Female,41.89,8.29,9.55,6.26,6.34,7.66,6.47,2.47,3.2,11,12,0.971,1.072,1.106,1.615,1.612,1.585,1.049666667,1.604,3.335,4.804,0.062
635,After,Water Cay,Male,56.45,11.47,13.56,8.18,7.63,9.92,9.13,2.94,4.59,13,16,2.139,2.163,2.152,3.508,3.527,3.539,2.151333333,3.524666667,6.21,10.211,0.171
636,After,Water Cay,Male,57.27,13.37,13.89,8.18,8.76,10.28,8.79,3.25,4.84,13,16,2.363,2.354,2.368,3.745,3.767,3.717,2.361666667,3.743,7.803,11.495,0.259
638,After,Water Cay,Male,53.1,11.36,13.14,8.05,7.6,9.88,8.39,2.65,4.23,12,15,2.092,2.094,2.099,3.332,3.343,3.397,2.095,3.357333333,6.306,9.567,0.239
639,After,Water Cay,Female,44.35,8.51,10.76,6.94,6.36,8.08,7.09,2.67,3.48,11,12,1.106,1.079,1.083,1.706,1.695,1.681,1.089333333,1.694,3.798,4.597,0.253
640,After,Water Cay,Male,51.26,10.61,12.42,7.77,7.65,9.66,8.08,3.16,4.38,12,15,1.71,1.679,1.678,2.821,2.819,2.845,1.689,2.828333333,5.708,8.686,0.205
641,After,Water Cay,Female,41.32,8.27,10.04,6.61,5.97,7.95,6.39,2.32,3.72,11,13,0.821,0.856,0.864,1.439,1.47,1.445,0.847,1.451333333,2.637,4.543,0.212
643,After,Water Cay,Female,45.62,9.58,10.51,6.65,6.51,7.97,6.94,2.75,3.04,11,12,1.429,1.427,1.399,2.095,2.016,1.992,1.418333333,2.034333333,4.318,5.776,0.185
645,After,Water Cay,Female,43.35,8.81,10.51,6.55,5.59,7.28,6.77,2.35,3.33,11,14,1.197,1.157,1.166,1.91,1.952,1.14,1.173333333,1.667333333,3.471,5.046,0.103
646,After,Water Cay,Female,43.46,8.05,10.48,6.54,6.13,7.4,6.74,2.67,3.19,10,13,1.081,1.092,1.076,1.713,1.717,1.729,1.083,1.719666667,3.463,5.594,0.089
647,After,Water Cay,Female,44.05,9.66,10.57,6.61,6.14,8.07,7.12,2.52,3.21,11,13,1.207,1.227,1.225,1.881,1.845,1.879,1.219666667,1.868333333,3.656,5.111,0.247
649,After,Water Cay,Male,48.43,10.32,12.3,7.6,7.23,9.54,7.88,2.82,3.53,11,15,1.432,1.424,1.425,2.717,2.732,2.762,1.427,2.737,5.014,7.889,0.26
650,After,Water Cay,Male,54.46,11.11,13.36,8.52,8.31,9.87,8.74,3.08,4.17,12,14,2.051,2.086,2.016,3.402,3.414,3.444,2.051,3.42,6.751,9.596,0.739
651,After,Water Cay,Male,54.26,11.24,12.77,7.92,7.68,10.09,8.67,2.8,4.14,13,14,2.11,2.19,2.127,3.138,3.185,3.179,2.142333333,3.167333333,6.577,10.019,
PC01,Before,Pine Cay,Male,61.22,15.38,14.88,9.23,8.91,11.13,10.13,2.91,4.53,12,16,2.115,2.091,2.125,4.409,4.405,4.342,2.110333333,4.385333333,,,
PC02,Before,Pine Cay,Male,52.52,12.35,13.36,8.35,8.22,10.04,8.58,3.09,4.02,14,16,1.76,1.777,1.795,3.182,3.095,3.087,1.777333333,3.121333333,,,
PC05,Before,Pine Cay,Female,44.87,9.68,10.3,7.01,6.86,7.42,6.65,2.28,3.93,11,14,0.998,1.02,1.032,1.498,1.459,1.46,1.016666667,1.472333333,,,
PC06,Before,Pine Cay,Male,57.9,12.91,14.08,9.31,9.41,12.18,9.6,3.6,4.96,13,16,2.393,2.445,2.38,4.436,4.357,4.354,2.406,4.382333333,,,
PC07,Before,Pine Cay,Female,44.29,10.16,10.51,7.09,6.86,7.79,6.96,2.47,3.8,12,14,1.067,1.056,1.023,1.659,1.686,1.654,1.048666667,1.666333333,,,
PC08,Before,Pine Cay,Female,44,9.93,10.22,6.73,5.99,7.85,6.88,2.18,3.63,11,13,1.157,1.118,1.155,1.535,1.532,1.567,1.143333333,1.544666667,,,
PC09,Before,Pine Cay,Female,44.44,9.48,10.69,6.97,6.49,7.67,7.16,2.87,3.36,11,13,0.909,0.907,0.924,1.745,1.77,1.727,0.913333333,1.747333333,,,
PC10,Before,Pine Cay,Male,60.9,13.55,14.39,9.34,9.66,11.19,9.62,3.38,5.2,13,15,2.419,2.465,2.397,3.882,3.847,3.798,2.427,3.842333333,,,
PC11,Before,Pine Cay,Male,53.5,12.27,12.96,8.41,8.77,9.3,8.77,3.27,4.53,12,16,1.996,1.955,1.965,3.285,3.279,3.212,1.972,3.258666667,,,
PC13,Before,Pine Cay,Male,57.92,13.77,14.41,8.73,8.67,10.6,9.22,2.8,4.23,13,15,2.52,2.514,2.542,3.709,3.674,3.708,2.525333333,3.697,,,
PC14,Before,Pine Cay,Male,51.31,12.16,13.05,7.89,7.44,9.26,8.03,2.41,3.76,12,15,1.526,1.582,1.554,2.469,2.569,2.579,1.554,2.539,,,
PC15,Before,Pine Cay,Male,62.1,13.48,14.77,9.62,9.29,10.59,9.36,3.35,4.44,13,16,2.572,2.556,2.57,3.483,3.463,3.43,2.566,3.458666667,,,
PC16,Before,Pine Cay,Male,57.17,14.09,13.53,8.95,9.61,10.94,9.27,3.29,4.73,13,14,1.889,1.84,1.904,3.427,3.357,3.33,1.877666667,3.371333333,,,
PC17,Before,Pine Cay,Male,59.49,13.08,13.96,8.87,8.77,11.37,8.98,2.75,4.16,11,14,2.208,2.233,2.272,3.589,3.693,3.664,2.237666667,3.648666667,,,
PC20,Before,Pine Cay,Female,41.42,11.39,11.78,7.34,7.02,8.65,7.28,2.77,3.58,11,14,1.022,1,0.997,1.959,1.855,1.932,1.006333333,1.915333333,,,
PC23,Before,Pine Cay,Female,47.63,10.97,12.21,7.58,7.33,8.53,7.99,2.6,3.75,12,14,1.28,1.291,1.285,2.055,2.134,2.055,1.285333333,2.081333333,,,
PC24,Before,Pine Cay,Male,59.21,13.12,13.82,8.55,9.14,9.32,8.81,3.23,3.98,12,16,2.035,2.124,2.034,3.533,3.546,3.465,2.064333333,3.514666667,,,
PC25,Before,Pine Cay,Male,56.42,12.43,13.84,8.84,9.55,10.31,8.78,2.76,4.28,13,16,1.97,1.873,1.944,3.126,3.083,2.99,1.929,3.066333333,,,
PC26,Before,Pine Cay,Male,53.25,11.83,13.28,8.21,7.89,9.21,8.17,2.58,4.19,11,15,1.218,1.193,1.219,2.623,2.537,2.654,1.21,2.604666667,,,
PC27,Before,Pine Cay,Male,56.51,12.68,13.91,8.65,8.56,10.18,8.41,2.74,4.24,13,14,1.596,1.608,1.61,2.958,2.784,2.803,1.604666667,2.848333333,,,
PC29,Before,Pine Cay,Female,43.37,9.47,9.91,6.5,6.18,7.36,6.61,1.9,3.42,10,12,0.844,0.8,0.853,1.49,1.49,1.62,0.832333333,1.533333333,,,
PC30,Before,Pine Cay,Male,53.19,13.23,13.3,8.67,8.47,9.54,8.61,2.89,4.72,12,13,1.682,1.694,1.658,3.15,3.187,3.154,1.678,3.163666667,,,
PC73,Before,Pine Cay,Female,43.46,10.46,11.23,6.72,6.37,7.88,7.28,2.55,3.23,11,14,0.943,0.941,0.909,1.629,1.538,1.668,0.931,1.611666667,,,
PC74,Before,Pine Cay,Male,60.25,12.99,15.45,9.09,8,10.35,9.17,3.24,4.11,11,15,2.008,2.082,2.047,3.924,3.933,3.949,2.045666667,3.935333333,,,
PC75,Before,Pine Cay,Male,61.38,12.95,14.78,8.7,8.93,10.44,9.12,3.3,4.68,11,13,2.251,2.25,2.242,3.799,3.764,3.769,2.247666667,3.777333333,,,
PC76,Before,Pine Cay,Female,45.05,10.24,10.26,6.44,6.16,7.86,7.22,2.86,3.42,10,12,0.882,0.907,0.885,1.673,1.715,1.659,0.891333333,1.682333333,,,
PC77,Before,Pine Cay,Male,50.19,11.56,13.26,8.09,7.59,9.41,7.99,2.75,4.02,11,14,1.464,1.476,1.452,2.261,2.334,2.317,1.464,2.304,,,
PC79,Before,Pine Cay,Female,42.53,9.23,10.05,6.34,6.42,7.66,6.51,2.33,3.08,10,13,0.893,0.849,0.889,1.358,1.349,1.382,0.877,1.363,,,
PC85,Before,Pine Cay,Female,45.61,10.24,10.52,7.05,6.54,7.76,7.33,2.21,3.4,11,12,0.913,0.911,0.899,1.773,1.707,1.729,0.907666667,1.736333333,,,
PC86,Before,Pine Cay,Female,43.03,9.41,10.19,6.25,6.37,7.38,6.82,2.54,3.11,11,14,0.933,0.938,0.934,1.628,1.583,1.669,0.935,1.626666667,,,
PC87,Before,Pine Cay,Female,45.2,9.48,10.39,6.37,6.77,7.58,6.93,2.37,3.09,11,14,1.043,1.032,1.035,1.762,1.678,1.697,1.036666667,1.712333333,,,
PC88,Before,Pine Cay,Female,44.67,9.86,10.81,6.71,6.9,7.92,7.18,2.86,3.14,10,12,1.115,1.107,1.089,1.793,1.808,1.809,1.103666667,1.803333333,,,
PC89,Before,Pine Cay,Female,42.05,8.48,9.36,6.04,6.38,7.11,6.44,2.41,3.7,11,15,1.043,1.037,1.053,1.65,1.646,1.67,1.044333333,1.655333333,,,
WC31,Before,Water Cay,Female,42.07,9.92,10.23,6.62,6.58,7.56,6.68,2.44,3.17,10,12,0.914,0.92,0.922,1.404,1.384,1.373,0.918666667,1.387,,,
WC32,Before,Water Cay,Male,55.12,12.37,13.16,7.85,7.78,9.52,8.04,3.41,4.33,11,14,2.294,2.289,2.342,3.37,3.254,3.311,2.308333333,3.311666667,,,
WC33,Before,Water Cay,Female,43.31,10.21,11.48,7.1,7.24,8.05,7.16,2.76,3.96,12,15,1.074,1.063,1.072,1.699,1.72,1.712,1.069666667,1.710333333,,,
WC34,Before,Water Cay,Male,50.31,11.94,12.64,7.66,7,9.61,8.05,2.54,4.06,12,14,1.508,1.471,1.498,2.399,2.6,2.302,1.492333333,2.433666667,,,
WC36,Before,Water Cay,Male,55.81,13.06,13.69,8.22,8.18,10.07,8.6,3.03,4.6,12,14,1.71,1.823,1.763,2.866,2.857,2.776,1.765333333,2.833,,,
WC37,Before,Water Cay,Male,51.76,12.56,13.23,8.47,8.21,8.64,8.54,2.76,4.6,13,15,1.835,1.866,1.878,3.207,3.178,3.195,1.859666667,3.193333333,,,
WC38,Before,Water Cay,Male,59.2,14.3,14.14,8.42,7.94,10.57,9.3,3.12,4.48,12,15,2.376,2.286,2.322,3.395,3.403,3.436,2.328,3.411333333,,,
WC39,Before,Water Cay,Male,58.7,13.02,13.67,8.43,7.84,10.07,8.87,3.2,3.73,13,16,2.12,2.109,2.171,2.999,3.078,3.094,2.133333333,3.057,,,
WC41,Before,Water Cay,Female,46.21,9.06,10.5,6.67,5.97,7.74,6.79,2.66,3.36,11,14,1.111,1.136,1.1,1.66,1.678,1.662,1.115666667,1.666666667,,,
WC42,Before,Water Cay,Male,58.12,13.9,14.47,8.96,8.95,9.96,9.4,3.13,4.68,13,15,2.494,2.459,2.498,3.707,3.744,3.743,2.483666667,3.731333333,,,
WC43,Before,Water Cay,Male,51.59,13.54,13.14,7.82,7.56,9.17,8.41,3.33,3.81,13,15,1.761,1.726,1.771,2.337,2.379,2.388,1.752666667,2.368,,,
WC44,Before,Water Cay,Female,41.39,9.15,10.16,6.16,5.99,7.09,5.98,2.18,3.12,10,13,0.882,0.875,0.861,1.312,1.327,1.344,0.872666667,1.327666667,,,
WC45,Before,Water Cay,Male,55.12,12.95,13.45,8.4,8.23,10.47,9.01,2.93,4.02,12,14,1.899,1.918,1.852,2.945,2.924,2.955,1.889666667,2.941333333,,,
WC46,Before,Water Cay,Male,53.79,12.4,13.41,8.26,8.46,9.98,8.64,3.21,4.01,12,15,1.91,1.906,1.93,2.839,2.901,2.841,1.915333333,2.860333333,,,
