"","Survival_Time (minutes)","Road_runner_speed (mph)","Presence_of_loony_tunes_character","Number_of_cliffs_in_terrain","Number_of_traps_Set","Anvil_used"
"241",10.11,52.27,1,2,3,1
"242",10.35,41.83,0,4,4,1
"243",8.51,44.36,1,3,5,1
"244",10.54,51.15,0,1,3,1
"245",8.6,48.75,1,2,5,0
"246",10.89,46.68,0,2,3,1
"247",9.8,51.96,1,1,3,1
"248",13.23,49.68,1,4,1,1
"249",12.48,37.65,1,3,3,1
"250",12.53,36.3,0,2,3,1
"251",10.31,56.59,0,2,3,1
"252",16.15,36.05,0,3,2,1
"253",14.37,37.47,1,3,2,1
"254",12.58,39.65,1,3,3,1
"255",12.74,52.57,0,1,1,1
"256",11.21,43.28,1,3,3,0
"257",13.12,51.34,0,4,1,1
"258",11.85,44.52,0,2,3,1
"259",12,40.51,1,0,3,1
"260",13.22,45.68,0,2,2,1
"261",9.56,45.5,1,6,4,1
"262",11.01,45.67,0,3,3,0
"263",16.9,27,0,1,2,1
"264",12.19,40.93,0,4,3,1
"265",16.76,38.3,0,1,1,1
"266",14.27,25.94,0,5,4,0
"267",12.89,33.82,0,3,3,1
"268",12.21,32.93,0,3,4,1
"269",15.97,42.23,0,1,1,1
"270",17.33,30.45,1,3,1,1
"271",11.3,47.44,0,3,3,1
"272",10.31,51.51,1,5,3,1
"273",10.73,47.8,1,4,3,1
"274",12.95,51.52,0,1,1,1
"275",12.17,40.83,0,0,3,1
"276",9.4,32.49,0,2,6,1
"277",14.64,41.34,1,2,2,0
"278",13.52,51.15,0,3,1,0
"279",10.08,46.55,1,0,3,1
"280",8.49,42.93,1,2,5,0
"281",13.08,38.96,1,2,3,0
"282",11.08,40.15,1,3,4,1
"283",13.75,42.59,0,0,2,1
"284",9.49,38.57,0,0,5,1
"285",11.19,45.97,0,2,3,0
"286",14.86,36.62,0,4,2,1
"287",9.42,51.3,1,3,4,1
"288",6.78,45.59,1,3,6,1
"289",12.73,43.13,1,2,2,1
"290",11.46,43.2,0,1,3,1
"291",13.22,28.17,0,0,4,0
"292",11.54,43.85,1,3,3,1
"293",14.47,38.83,1,1,2,1
"294",9.42,28.36,1,1,7,0
"295",12.99,31.47,1,3,4,0
"296",10.17,53.69,0,5,3,1
"297",13.55,30.92,1,5,4,0
"298",8.45,43.04,0,4,5,1
"299",17,24.34,1,4,2,0
"300",14.05,30.84,0,2,3,0
"301",11.75,48.91,1,0,2,1
"302",11.56,39.69,0,2,4,1
"303",14.44,45.27,0,1,1,1
"304",15.91,33.28,1,0,2,1
"305",12.58,44.68,1,3,2,0
"306",13.42,33.97,0,4,4,1
"307",13.56,47.18,0,2,1,1
"308",10.42,41.06,1,0,4,0
"309",13.41,41.57,1,2,2,1
"310",13.28,47.07,1,1,2,1
"311",10.25,43.92,1,0,4,1
"312",7.09,48.52,0,3,5,1
"313",15,49.18,1,1,0,1
"314",10.88,41.29,0,0,4,0
"315",11.51,49.66,0,2,3,0
"316",13.22,36.14,1,5,3,1
"317",10.96,46.47,1,1,3,1
"318",12.85,45.43,0,2,2,1
"319",7.98,38.71,1,3,6,1
"320",9.84,44.64,1,4,4,1
"321",12.48,43.01,0,4,3,0
"322",16.28,37.77,1,4,1,1
"323",11.85,47.31,1,1,2,1
"324",8.86,43.12,1,1,5,1
"325",13.92,39.15,1,5,2,0
"326",15.1,40.62,0,2,2,0
"327",10.9,43.86,0,0,4,1
"328",12.5,46.53,0,3,2,1
"329",10.39,42.86,0,3,4,0
"330",13.12,51.35,0,2,1,1
"331",11.74,49.84,0,4,2,0
"332",9.59,45.49,0,2,4,0
"333",11.35,40.73,1,4,4,0
"334",10.54,36.82,1,2,5,1
"335",18.85,23.78,0,0,1,1
"336",8.96,48.96,0,3,5,0
"337",13.06,32.22,0,3,4,1
"338",14.53,34.49,1,0,2,1
"339",13.65,36.88,0,0,3,1
"340",11.74,44.29,0,0,3,1
"341",10.32,42.4,1,4,4,1
"342",9.01,49.45,1,3,4,1
"343",10.84,37.88,0,3,4,1
"344",12.58,38.85,0,0,3,1
"345",12.35,40.29,1,2,3,1
"346",12.72,43.17,0,2,3,1
"347",13.27,47.26,1,2,2,1
"348",10.57,45.25,1,6,4,1
"349",9.88,38.18,0,1,5,1
"350",10.6,46.45,0,3,3,1
"351",7.9,51.73,1,2,4,1
"352",9.49,41.2,1,4,5,1
"353",8.05,53.81,0,3,4,0
"354",10.21,43.41,1,0,4,1
"355",10.45,30.75,1,0,5,0
"356",10.23,39.22,0,1,4,1
"357",10.65,49.1,0,1,3,1
"358",12.5,41.09,0,3,3,1
"359",13.45,43.31,0,5,2,1
"360",6.6,48.52,1,5,5,1
"361",10.56,42.84,1,4,4,0
"362",13.65,38.06,0,1,3,1
"363",15.29,32.7,1,3,2,1
"364",8.16,51.62,0,3,4,1
"365",11.11,48.3,1,2,3,1
"366",14.09,43.39,0,1,2,1
"367",14.64,35.9,1,3,2,0
"368",16.87,35.65,1,2,1,1
"369",14.64,32.84,0,3,2,0
"370",11.55,44.87,0,4,3,0
"371",10.85,43.69,1,5,4,1
"372",10.51,48.12,1,0,3,1
"373",12.11,41.62,1,5,3,1
"374",11.17,39.07,0,3,4,1
"375",12.19,36.43,0,2,4,1
"376",12.27,44.37,0,4,3,1
"377",14.81,28.71,0,1,3,1
"378",10.22,46.45,0,4,4,1
"379",10.93,48.38,0,3,3,0
"380",11.26,42.94,1,3,4,1
"381",11.62,29.92,1,1,5,1
"382",11.15,43.62,0,4,3,0
"383",13.07,35.13,0,4,3,0
"384",15.17,31.88,1,2,2,1
"385",12.16,36.94,0,2,4,1
"386",15.57,31.27,0,3,2,1
"387",8.64,47.84,0,0,4,1
"388",15.14,43.74,0,0,1,1
"389",13.03,50.79,0,3,1,1
"390",8.77,44.27,0,0,5,1
"391",7.96,47.14,0,2,5,0
"392",12.77,39.1,1,1,3,1
"393",13.15,28.57,1,2,4,1
"394",14.44,35.7,0,5,3,1
"395",9.8,36.97,0,1,5,0
"396",9.37,47.95,0,1,4,1
"397",10.56,30.2,0,1,6,1
"398",9.82,46.71,0,4,4,1
"399",10.37,41.29,1,2,4,1
"400",12.76,29.83,1,3,4,0
"401",9.58,54.31,1,4,3,1
"402",9.54,43.12,1,1,4,1
"403",11.7,31.49,0,1,4,0
"404",14.37,26.46,0,4,3,0
"405",14.43,43.47,0,4,1,0
"406",11.53,49.12,0,2,2,1
"407",15.83,40.13,0,3,1,1
"408",15.05,34.92,1,3,2,1
"409",13.67,33.27,0,1,3,1
"410",9.66,53.5,0,4,3,1
"411",10,44.1,0,4,4,1
"412",13.53,44.15,1,1,2,1
"413",8.8,51.98,0,1,4,1
"414",10.15,47.22,0,4,3,0
"415",12.42,32.34,0,2,4,0
"416",12.89,45.22,0,0,2,1
"417",16.62,33.59,0,3,1,1
"418",12.57,46.39,0,0,2,1
"419",12.11,43.03,1,3,3,0
"420",11.63,51.76,1,3,2,0
"421",15.54,34.99,0,2,2,1
"422",6.37,54.46,0,1,5,1
"423",11.21,34.41,0,6,5,1
"424",12.63,31.75,0,3,4,1
"425",10.12,51.45,1,3,3,1
"426",11.95,43.75,0,3,3,1
"427",9.73,46.6,0,2,4,1
"428",18.22,28.72,1,3,1,1
"429",9.72,44.25,1,1,4,0
"430",8.62,44.39,0,5,5,0
"431",14.5,31.52,1,0,3,1
"432",15.73,36.18,1,4,1,1
"433",16.17,38.54,1,0,1,1
"434",12.77,49.62,1,1,2,0
"435",13.47,35.4,0,3,3,1
"436",13.75,51.11,1,1,1,1
"437",9.52,55.29,1,3,3,1
"438",13.58,42.29,1,2,2,1
"439",14.05,34.83,0,2,2,1
"440",12.12,43.83,1,1,3,1
"441",7.07,44.03,1,4,6,1
"442",9.87,50.71,0,1,3,0
"443",14.45,29.23,1,3,3,0
"444",11.61,41.61,1,2,3,1
"445",9.7,42.06,0,2,5,1
"446",13.14,46.32,0,3,2,0
"447",13.14,41.69,1,3,2,1
"448",11.92,41.69,1,1,3,1
"449",13.21,32.85,1,3,4,1
"450",10.32,49.91,1,1,3,1
"451",8.19,47.61,0,5,5,1
"452",15.43,30.41,0,2,2,1
"453",8.76,50.07,0,4,4,0
"454",14.92,47.34,1,1,1,1
"455",9.63,51.49,0,3,3,1
"456",8.14,44.17,0,3,5,1
"457",12.84,46.14,0,2,2,1
"458",7.03,46.07,0,2,6,1
"459",8.24,51.63,0,3,4,1
"460",16.79,26.18,0,0,2,1
"461",13.09,41.57,0,5,2,1
"462",12.54,35.79,0,2,4,0
"463",10.17,38.71,1,3,4,0
"464",12.27,42.69,0,2,3,1
"465",12.93,50.31,1,3,1,1
"466",12,48.17,1,0,2,1
"467",15.76,41.94,1,2,1,0
"468",14.31,36.29,0,2,3,1
"469",16.26,39.63,1,1,1,1
"470",12.69,45.7,0,3,2,1
"471",12.11,41.47,1,7,3,1
"472",11.38,42.92,1,0,4,1
"473",12.68,47.44,1,2,2,1
"474",15.44,34.06,1,1,2,1
"475",9.55,44.95,0,1,4,1
"476",18.22,23.18,1,4,2,1
"477",11.43,46.2,0,4,3,1
"478",9.49,40.61,0,2,5,1
"479",14.9,26,1,3,3,1
"480",14.43,40.2,0,5,2,0
"481",16.07,29.41,1,0,2,1
"482",14.26,33.33,1,4,3,1
"483",14.88,38.73,1,4,2,0
"484",14.79,37.94,0,2,2,1
"485",14.04,43.54,0,2,2,1
"486",7.99,39.08,1,3,6,1
"487",10.75,52.14,1,4,3,1
"488",12.49,42.57,0,5,3,1
"489",11.47,47.56,0,0,2,1
"490",8.75,43.52,1,3,5,1
"491",8.21,53.57,0,4,4,1
"492",11.9,42.89,1,2,3,1
"493",10.92,31.26,1,3,5,1
"494",11.55,36.52,1,4,4,1
"495",9.49,48.79,1,2,4,1
"496",13.83,43.97,1,1,2,1
"497",10.94,42.73,1,0,4,1
"498",5.29,55.05,0,3,6,1
"499",11.96,36.27,0,3,4,1
"500",17.12,25.13,1,1,2,1
