"Number of Memes Made","Is a Student","Male or Female","Hours Spent on Social Media Per Day","Hours Spent Reading The News Per Day"
10,0,"Male",2.59454439434044,4.96068995883356
15,1,"Female",2.41090004361141,4.6903829072177
11,1,"Female",5.35489349014731,0.0583980864246749
14,1,"Male",9.95218598247956,0.810430631659961
14,1,"Female",0.439432924949402,7.83026333491241
10,1,"Male",3.4742996568821,0.676158625370473
6,1,"Female",1.7576543146712,9.36225702345562
9,0,"Female",3.46249102881708,4.04344314856969
5,0,"Female",2.31443477278144,7.68590674025035
4,0,"Female",2.05775293387026,0.644285268443562
10,0,"Female",3.66674153945796,3.88403039731356
10,1,"Male",4.78373849319181,2.47646396134661
9,1,"Male",0.737252749022567,4.85102447087561
8,0,"Female",3.67788502655787,0.0975400395338493
11,1,"Female",5.06992784327094,9.33328291086018
13,1,"Male",1.56254889021764,0.685166723917153
6,0,"Female",2.44569560498814,2.30807403112496
13,1,"Female",4.22195524568437,3.57579624933406
14,1,"Female",5.23887756727268,1.31122938654105
4,0,"Male",3.15505190453279,0.987739825036042
7,0,"Female",4.04270656152534,3.23787629425022
11,0,"Male",0.405552117231005,6.8825273530601
9,1,"Male",4.33764995120272,4.18399343238186
10,1,"Female",2.43480962077872,1.21557611731429
11,0,"Female",3.31291708906368,4.98119882506027
3,1,"Female",2.56806855403719,0.131965435966757
4,0,"Male",3.19725826811786,2.61181180332081
5,0,"Male",4.82166923683554,0.284962238913856
7,0,"Female",3.54475534897768,0.261903173410812
5,1,"Female",0.523964817554788,0.652950279410655
8,1,"Male",0.997889695842485,0.33314064360658
11,0,"Male",4.18405466865734,4.05760794937074
10,1,"Female",0.850455894652664,3.96987249621134
8,0,"Male",3.46759971416243,7.03503363102642
7,0,"Male",2.01738187381008,2.28571186236116
3,0,"Male",0.403954517827788,3.68852626150337
9,1,"Male",2.97691597235906,0.0709242090923135
8,1,"Female",1.90352504311141,1.65398305073763
7,1,"Male",3.89936923629762,0.490805665784748
5,0,"Male",4.47404574316974,0.011059407321278
5,1,"Male",2.89927944926258,0.565691309309003
9,0,"Male",3.87147403533942,6.57277668906187
7,1,"Male",1.29302412980209,0.44285238504186
10,0,"Male",7.19455816968541,2.59090098439053
7,0,"Female",1.22981995722689,10.9700285234723
9,0,"Male",2.13435877114301,2.19625987055479
5,1,"Male",0.658403139915662,4.75401133978293
8,0,"Male",2.24865907602798,8.86803633567567
9,0,"Male",1.73915741776428,4.18344521192143
6,0,"Female",5.69437451665189,4.19080149167337
8,1,"Female",2.24365460967943,0.661863645697385
18,0,"Female",2.47808766829783,12.3075524047771
10,1,"Female",0.504395611119862,5.11045820203658
7,1,"Female",3.78919733304128,2.97091225805285
4,0,"Male",5.98452160139071,5.27049661820314
14,1,"Male",4.43844203877664,1.54590391063684
8,1,"Female",0.422801310367993,1.65440101594817
5,0,"Female",1.92724591592756,4.12662026486968
8,1,"Male",6.65542025370289,1.56852209287763
9,0,"Female",3.02145850465424,1.52435860904049
10,1,"Female",0.369709643667065,6.34297152272664
5,0,"Male",3.24682908110972,4.54418351807352
4,0,"Female",0.758517672222605,6.90012203344792
2,0,"Male",5.12855707155166,2.54709257105349
10,0,"Female",3.76355179640569,5.46849029969999
12,1,"Female",2.19511124853418,2.26706548454822
9,1,"Male",2.39892167118314,1.50054875098422
8,1,"Male",3.05137860386387,3.99448813463946
11,1,"Female",3.07534775703054,1.88743886280163
9,0,"Female",4.26224249389445,9.09095091040913
7,0,"Male",4.51709193053337,3.79754743194534
12,1,"Female",3.22275408739598,3.22543493832839
12,0,"Female",4.78937158991213,4.5209733989792
9,1,"Male",1.84081020171231,7.09268469814416
4,0,"Female",3.75208844380535,0.0841565674295717
13,1,"Female",2.58226499655248,0.0406985151826535
7,1,"Male",3.36493804638997,2.1964728654986
5,1,"Male",3.70048556965785,2.04378924697016
10,1,"Male",2.81375102507351,2.45351552107384
4,0,"Male",2.36763741278227,0.813268483235219
6,0,"Female",3.90759688590279,1.60300377383233
4,1,"Male",3.91038983502463,3.94121514300134
15,1,"Female",2.6316817913321,5.87374251683415
11,1,"Female",2.00967778244328,0.881732427066577
2,0,"Female",1.88254557947723,0.930641663239875
15,1,"Male",3.93830823940617,1.83583020033631
10,0,"Male",4.09293244358541,5.33489090017965
17,1,"Male",3.34643298286112,2.19553135038069
7,1,"Male",3.39762145261249,1.02765515029706
9,0,"Female",2.11756104049647,5.16282413505358
6,0,"Female",5.095330901986,1.02170142484467
5,0,"Female",2.04269090157154,6.35596713065302
9,1,"Female",5.73041612061051,4.17144157521265
12,0,"Male",5.73525752240398,6.3344993293137
5,0,"Male",0.786032343049056,7.60425128928076
4,0,"Female",4.42879200244078,1.05869449843192
6,0,"Male",4.14797255307662,2.12210353428359
5,1,"Male",2.55768585202019,0.738025558320453
15,1,"Male",6.17621603727968,7.54648282423192
3,0,"Female",3.09851409360605,3.37314814391131
5,0,"Female",1.66360274544032,3.41941189918165
10,1,"Male",2.32217790243459,4.2682302585267
9,0,"Male",2.30124937217169,5.64373010785265
8,1,"Female",5.78831121837138,5.42555203508622
9,1,"Female",3.56376452548561,5.47951345284935
13,0,"Female",5.5283362317853,6.7406178068892
3,0,"Male",0.368019082110118,1.0112403211884
4,0,"Female",3.57790307469036,1.66421441569827
10,1,"Male",2.30733725612928,1.72498096051601
4,0,"Female",4.05027408543674,2.71142706129818
5,0,"Female",1.46621819332457,1.93618931059023
5,0,"Female",2.07530139485761,0.185673772084103
8,0,"Male",3.30957981477161,3.33879585224192
5,0,"Male",4.41173790834654,3.96836081698223
7,0,"Female",5.67758356635304,2.19672231169555
11,1,"Male",3.54352871244768,4.76479503961154
8,0,"Male",2.21851459591504,4.51574486819059
7,1,"Female",1.33387174578257,6.5647177922725
12,1,"Male",0.256784448768335,3.11691678699357
5,0,"Male",3.31471855282296,2.51955242335173
17,1,"Female",4.15390855330907,4.71787728622653
11,1,"Female",1.96420592522193,4.099197318319
9,1,"Male",3.72730209825657,8.37077286131862
8,1,"Male",2.1277334364978,2.04499091613602
12,1,"Male",4.89779997936187,3.60669770634999
17,1,"Male",4.45859794021091,0.559133613883073
10,1,"Female",0.312181708222393,4.9127941945182
8,1,"Male",0.23345234643707,2.05415506852107
13,1,"Male",1.27552100432209,8.51785677032046
10,1,"Male",1.36876755310713,5.57777931318647
9,1,"Male",0.0154707146752604,1.97403233354968
9,0,"Male",5.76782668244458,2.39970068996124
13,1,"Male",0.109298829934979,5.88206675797043
17,1,"Male",3.92258490756313,1.78948685098332
3,0,"Male",3.11652734278088,3.70628044203333
8,1,"Female",5.46118262720499,5.27527371223844
4,0,"Female",0.404092554768124,7.33435825906938
8,1,"Female",0.356807309693173,1.22338534857088
9,0,"Female",6.54132211232818,3.8216409816289
14,1,"Female",2.01641103840524,7.04956826529939
12,1,"Female",1.29407794370025,2.44498486038343
2,0,"Male",0.257315672086153,0.619660934633468
10,0,"Female",3.71494922537162,1.96753950411068
3,0,"Female",3.7912693478414,1.94360205962742
5,0,"Male",2.6249623305098,4.35128227887325
6,0,"Female",0.0714437416024638,6.68564034711633
3,0,"Female",4.31654705547337,1.07798922930738
4,0,"Male",4.03627253603072,0.241088987794829
8,0,"Female",5.27309151274194,6.46668499594944
7,0,"Female",1.19788045594186,1.20700340782482
7,0,"Female",3.36181358874923,6.93803393681858
16,1,"Male",5.73688624949931,1.05527345137764
14,1,"Female",0.353391735209724,1.23255153949984
3,0,"Female",2.31454267919021,2.04875318696549
11,1,"Female",0.102986978364616,1.91832647599667
10,1,"Male",2.60705998959245,5.88745344542192
10,1,"Female",4.32582538404823,2.39255560754373
10,1,"Female",4.72721066616436,0.298439241101889
5,0,"Female",2.40027870897212,3.13584556007177
7,0,"Female",3.7315298725393,7.28944901349799
16,1,"Male",7.68958885128767,5.49149647802035
9,1,"Female",3.06647004818828,2.22795709057152
7,1,"Female",5.05902391568284,2.72901355589772
12,0,"Male",3.20655060064204,10.9128291639103
10,0,"Male",1.45095465198224,7.09272398640613
4,0,"Female",0.0329347596909604,1.28127707266103
14,1,"Male",1.56176518921407,0.323796986523539
13,1,"Female",1.2491591000667,1.46919527406253
11,1,"Male",3.94572112714371,3.58947695992216
5,1,"Male",0.676407516499439,0.823799739402884
22,1,"Female",2.87905699576669,5.18147321890151
14,1,"Male",4.15241263550468,0.345660801605861
6,0,"Male",4.32741065091668,1.62686555484513
8,0,"Female",5.33872520444151,7.38554083179823
11,1,"Female",5.02206522222688,3.20472826545934
6,0,"Male",3.09033415074465,0.276551695376375
5,0,"Male",3.19344127233633,2.95154600584252
5,0,"Female",3.04500139190778,1.17469607475781
5,0,"Male",1.06733827136293,1.36553828112867
4,0,"Female",2.2448794916312,2.577796098524
14,1,"Male",1.15496235110835,7.09095612171584
13,1,"Female",2.37352129398924,0.306569771676888
7,0,"Male",4.87899779410995,2.47556438344737
14,1,"Male",2.66703705792293,3.22079581147289
10,1,"Male",2.4113570153246,1.61574967689678
22,1,"Male",5.51316685104246,9.42170288018545
14,1,"Male",1.12168484514202,5.75078089263687
15,1,"Male",2.80396086245061,6.0183606037351
13,1,"Male",2.25618320484582,4.0820489015925
8,0,"Male",1.08503820463334,7.86805904004077
10,1,"Female",1.20129355584457,7.16846850602838
14,0,"Male",5.0576917089895,6.72798489545703
8,1,"Male",5.05436238394157,1.10233999876753
9,1,"Female",1.10226596264098,4.9726902615253
7,1,"Male",2.01351468011039,7.33354249917802
5,0,"Male",1.29286300621127,0.709116497012106
6,1,"Female",1.63633281396692,0.773524649195378
3,0,"Female",2.20454246307967,1.63606167483709
5,0,"Male",3.06634421934309,3.83613380304905
12,1,"Male",4.90661512200274,4.41199416151414
3,0,"Male",2.60625525458676,2.67671097312407
7,0,"Male",3.50562990535829,4.24827055880322
7,0,"Male",5.73443552534792,5.06658035058847
10,1,"Male",4.93943863760586,1.2299433716144
9,0,"Male",3.77920814622742,3.05709657656574
10,0,"Female",6.66335984434331,5.75775138172699
11,1,"Female",4.35091928924925,4.50633899747731
11,1,"Male",3.56612331812689,1.72683321018795
2,0,"Female",0.502396894126634,0.806062926938836
5,0,"Female",1.49472044839421,4.1307397903679
6,0,"Female",3.82241856594002,2.63990826070913
4,0,"Male",2.69678656629558,0.344904149076341
9,0,"Female",3.90645182635616,4.78380719533149
13,1,"Female",4.80093777601674,4.57655885273542
5,1,"Female",0.801044442433359,3.09020330861481
12,1,"Female",0.414444705307657,2.9091966516239
7,0,"Female",4.02563588115641,5.78880933266463
11,0,"Female",3.41981298482684,7.00087742252638
13,1,"Male",5.22028455766419,7.07987581910583
12,1,"Female",2.70450957251127,2.27012606103609
4,0,"Female",4.32372449439776,0.567168540180275
5,0,"Female",2.09168132348085,0.925607039674451
12,1,"Male",3.63619125644332,1.21122251926481
6,0,"Female",1.72058804685889,2.70993583282351
10,0,"Female",4.32281939924006,5.39085671131984
5,0,"Female",1.80978384740727,5.74358883887651
2,0,"Male",1.58128344392577,4.25920330876426
12,1,"Female",2.39992080315977,6.21197077325857
8,0,"Male",6.91090556839391,2.85923210371008
13,1,"Female",3.70732468365509,4.87683128212098
4,0,"Female",0.223917089022759,4.75391054784924
11,1,"Male",6.38789727932337,0.22529029874752
14,1,"Male",3.83915374331042,6.32561434691409
10,0,"Male",3.7667592012637,4.12641649702449
8,0,"Female",0.00404021984887271,3.28726251143747
9,1,"Female",4.23184165480065,3.46400214349843
7,0,"Male",2.51071029169591,4.98895734671713
10,1,"Female",5.83159742889544,1.19938865720941
7,0,"Male",2.74453484927787,0.224671286848874
3,0,"Female",0.259500992851825,2.18113474431222
3,0,"Male",1.28216868528951,6.099677807504
10,0,"Female",5.0449899384714,1.47764406418702
11,1,"Male",0.50535103057607,7.33483150380792
10,1,"Female",2.63070277605011,0.566839899974402
1,0,"Male",1.37902737120784,0.825239563932541
3,0,"Male",0.876715307785361,0.477689045662326
9,0,"Female",4.37784784011942,1.33296679818914
3,0,"Male",0.133271564039257,3.26331692716845
5,0,"Male",3.86948721358216,0.650797895209162
12,1,"Female",0.835310048766166,1.31710336523016
4,0,"Female",3.73139677511824,3.72171891230321
4,0,"Male",0.0901454895885863,2.12024208622149
7,0,"Female",4.34327056427802,1.22654403282178
5,0,"Female",5.26890164607769,0.386880658373343
7,0,"Female",6.29629443838981,1.77668212481569
10,1,"Female",5.9826715485626,3.39184334231928
17,1,"Male",3.92638884342902,9.22585120251478
10,0,"Male",5.81946499216733,7.64515423574077
16,1,"Female",4.44988373039839,15.3680413637701
4,1,"Female",0.796242811614079,2.06963067330892
4,0,"Male",4.01458307150278,5.40415502174631
15,1,"Male",4.75847185568783,2.24985357777961
13,0,"Male",3.37294739858263,6.819094223409
5,0,"Female",1.40374309018894,4.16165308667699
13,1,"Female",1.73296155327464,5.00596108588694
16,1,"Male",2.24568739009457,2.48517434001815
7,1,"Male",1.00369067267757,1.7949320135095
8,1,"Male",1.88310138832034,0.758868657493073
2,1,"Male",1.92953239568865,0.724377955364074
11,0,"Female",1.45559996696242,3.99246501352999
2,0,"Male",3.76212224394051,0.155654122737269
11,1,"Female",1.30935511793148,2.15538442733107
13,1,"Male",3.65706651780489,2.47358944788782
13,1,"Male",3.51421565426186,7.097993883232
12,1,"Female",5.09123689068912,3.22896391281948
9,1,"Male",1.47501500936694,2.36769714125281
4,0,"Male",4.9819334698822,3.89768034152121
3,0,"Male",3.16649338359848,0.0186764711442504
13,1,"Female",1.38573028244339,1.9709766595287
7,0,"Female",2.53738493117328,2.18915911468246
7,1,"Female",2.6398530559692,2.74043117926905
4,0,"Female",5.01486562649845,2.13510204549175
8,1,"Female",3.14400323872722,2.78885140844113
16,1,"Male",0.0498443369150938,2.08500194342706
8,0,"Female",3.51391468698952,8.34476380915975
5,0,"Male",5.7233850711158,0.779495872561201
11,1,"Male",1.19749507991364,4.24254434414322
16,1,"Male",3.37848154898416,9.13565596284075
6,1,"Male",5.63855096942137,0.0794686878648638
8,1,"Male",1.19215502094474,1.49444709340812
10,1,"Male",2.96492515934308,0.0483506712807102
13,1,"Male",3.88331447610483,2.39115195134521
11,0,"Female",2.00297210052731,9.52438210218118
7,0,"Female",4.91586685156147,0.848801357769649
20,1,"Female",0.0718884608094061,6.0407796605867
12,0,"Male",0.669057701736033,2.06574781468605
9,0,"Female",5.71839040452289,3.09559401907574
9,1,"Male",3.25937971077848,3.03353157897705
9,0,"Male",3.25526007631458,5.03794815653157
13,1,"Male",1.2980242083842,6.94562666381301
3,0,"Female",3.18997748474128,1.00854806722179
15,1,"Male",8.25300424390345,1.69487656579976
9,0,"Male",4.02369442965478,6.57118912154306
8,0,"Female",5.33893815474833,6.96909998908604
8,1,"Female",2.08983451774465,0.00184637724577597
5,0,"Female",3.26784778400661,3.12335421032435
15,1,"Female",2.19675775738795,10.6865083887419
6,0,"Female",4.36390877096925,5.13538011578507
11,1,"Female",1.45834093809101,5.08743657830584
8,0,"Female",5.93818863151655,2.85202333836574
10,0,"Male",5.12898464050926,4.96769263269325
3,0,"Male",3.72410603957729,3.05426487295081
8,0,"Female",4.77279328312724,0.140574667845019
10,1,"Male",2.07103471588636,0.315831080625951
13,0,"Female",3.07944047099344,7.61600036097094
11,1,"Female",0.795039709075424,5.13167526612627
11,1,"Male",2.79640983185073,0.382341136403965
7,1,"Male",1.43519623598322,3.49826756833304
2,0,"Female",1.18769709933247,5.12688747571026
9,1,"Female",3.27434475490425,0.512997238940774
13,1,"Male",1.13850445293365,5.50952833587002
11,1,"Female",1.4431171468302,2.10821447560476
5,0,"Female",0.714428315609248,5.6803993325421
8,0,"Male",3.81499648798812,1.88195634988241
8,0,"Male",7.16058527384866,2.26130609490768
2,0,"Female",3.63330420178613,3.940379599098
6,0,"Female",4.72969035388834,3.53664403640728
6,0,"Male",2.43668079353487,2.0832061131676
12,0,"Male",0.545639962123427,6.01986890923447
10,1,"Male",2.47223823558193,1.74898546825824
4,0,"Male",3.3356405080079,4.87993724592548
9,1,"Male",1.89745728145449,1.59170447117505
3,1,"Male",2.82149232083433,0.10328315477582
9,0,"Female",2.77363410940795,5.5871389824036
6,1,"Male",2.71526228481802,4.13796914425969
2,0,"Female",2.48323315960397,0.881265307441703
4,0,"Female",2.70487322756454,0.550227060655012
11,0,"Female",0.937958725642747,8.34425554320524
10,1,"Male",3.45737087604261,1.55972413879764
9,1,"Male",2.33944270924451,3.64860773415717
14,1,"Male",3.97343333336704,0.200050519681458
14,1,"Male",4.61075053212931,8.39357160751069
4,0,"Male",1.55378755076256,5.43489420773931
7,1,"Male",2.91738517826058,0.190202194245484
2,0,"Male",1.76433743145192,4.3026800035471
9,1,"Female",4.55069951250421,2.45921473366246
14,1,"Female",6.24096906442493,2.52581640233024
13,1,"Female",1.4335836426551,4.82156732745463
7,1,"Male",5.04620038149323,0.207091426289361
9,1,"Male",3.7677603160524,3.58078152988291
7,1,"Female",0.77629871818508,1.2032636655534
7,0,"Male",7.72251862098135,2.75321768545502
6,0,"Male",4.42570049441073,5.09935922660601
5,0,"Male",2.81703328337937,1.60392973122063
4,0,"Male",3.63178958359877,3.65486153960859
8,1,"Male",1.98571029416486,1.74889253838862
11,1,"Female",3.52022411082226,5.09111912060157
3,0,"Female",2.49926609195601,3.08361122814226
13,1,"Male",4.85128925430495,0.691640227464124
15,0,"Female",5.30689069336392,6.65420641032765
10,1,"Female",4.05679801441371,3.08429834486989
4,0,"Male",4.40902037908649,0.570992768860426
13,0,"Male",5.70623267017078,3.52900023651921
13,1,"Female",1.32997332796402,1.14636259436969
11,1,"Male",3.13478789724093,1.72885527256107
2,0,"Male",4.80753150169525,0.577307527203758
6,0,"Male",0.0238751245230246,4.52039624261317
5,0,"Male",6.06775307475253,2.98103834981093
14,1,"Female",4.68534104469404,4.35632754594376
3,0,"Female",1.60266669157865,1.81349447895945
6,1,"Female",1.86213416621318,0.826908446945598
18,1,"Male",3.57482808043301,7.3841334795984
6,1,"Male",6.03308806053362,2.70378768740459
5,0,"Female",0.693114789422491,4.29892206781136
5,0,"Female",4.22208625072101,3.78122980186961
7,0,"Male",1.2434195316437,3.03062213662758
8,1,"Female",4.31282960350747,2.39248879149324
8,1,"Female",2.05379196602786,0.900405375584356
9,1,"Male",1.57950923824569,3.20756958708201
8,0,"Female",4.55296643964528,7.42594071209601
10,0,"Female",4.28390370845888,11.4846188238885
5,0,"Male",1.93848036897572,2.52983826699028
12,1,"Female",1.21433385053088,0.168703041758857
6,0,"Female",3.26710605326082,3.29426984967175
