,pH,DH,d18O,Ag,Al,As,B,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,Sb,Se,Si,Sr,Tl,V,Zn,Li,Ti,Y,La,Ce,W,Au,Hg,Th,U,SO4
CJ053,4.8,-100.46,-12.09,0.0005,0.9802,0.0005,0.1941,0.0694,0.0011,29.6,0.0073,0.0005,0.002,0.0228,0.1205,3.981,3.886,0.5061,0.0005,24.13,0.0005,0.3333,0.0005,0.3508,0.1639,67.67,0.1227,0.0261,0.0089,0.0215,13.421,111.12,0.81745,0.08853,0.28589,0.002,0.0005,0.01,0.00001,0.00001,161.6586
CJ063,5.5,-112.42,-15.47,0.0005,0.055,0.0157,1.908,0.0188,0.0001,19.88,0.0117,0.0005,0.002,0.0005,0.0162,10.25,7.83,0.3273,0.0052,51.33,0.0005,0.2179,0.0005,0.3981,0.1208,85.22,0.0725,0.00001,0.0015,0.0042,49.95,83.6,0.30426,0.10682,0.12087,0.69563,0.13532,8.937,3.4273,0.70155,80.4738
JK012,5.6,-111.38,-14.51,0.0073,0.2123,0.1003,4.159,0.0866,0.0009,21.64,0.0081,0.0026,0.0118,0.0346,0.7286,14.77,5.922,0.6234,0.0084,78.71,0.0073,0.2143,0.0689,0.2718,0.1452,129.6,0.0677,0.2073,0.0086,0.0287,105.31,70.233,0.10604,0.00249,0.02785,0.03777,8.7014,0.22236,0.00001,0.00001,104.3251
JK013,5.5,-106.35,-13.66,0.0073,0.1819,0.088,5.087,0.0882,0.0004,28.01,0.0059,0.0007,0.0091,0.0019,0.372,16.6,3.811,0.6057,0.0084,91.88,0.0045,0.1999,0.0709,0.2277,0.1579,138.6,0.0948,0.1784,0.0064,0.0201,100.25,103.61,0.03236,0.00046,0.01517,0.1835,5.1384,0.01,0.00001,0.00001,164.2806
JK014,3.3,-111.68,-14.41,0.0032,0.1583,0.0968,6.221,0.0307,0.0005,31.37,0.0124,0.0012,0.0048,0.0005,0.2255,18.16,6.311,0.566,0.0101,101.8,0.0026,0.1664,0.0511,0.2718,0.1952,141.4,0.0388,0.1391,0.0047,0.3088,78.866,114.9,1.7493,0.00416,0.01284,0.002,0.0005,0.01,0.00001,0.00001,217.7619
DC002,5.5,-110.61,-14.72,0.0121,0.1348,0.1003,4.063,0.0786,0.0023,20.81,0.0124,0.0071,0.0164,0.0084,0.0313,13.44,5.761,0.6002,0.0338,75.95,0.0089,0.3244,0.0531,0.2718,0.1561,126.8,0.0627,0.1522,0.0069,0.0292,119.44,79.203,0.09332,0.00588,0.02579,0.20036,10.18,12.171,0.06559,0.02431,123.543
DC006,2.6,-96.95,-8.74,0.0223,311.4,4.4,0.2813,0.0332,0.0034,56.23,0.1498,0.1717,0.3033,0.1309,424.3,1.964,43.16,2.622,0.3236,5.119,0.179,3.654,1.161,2.574,2.019,109.6,0.0591,1.393,1.218,0.4409,9.2195,268.08,37.68,1.9102,6.4751,0.11198,0.0005,0.01,2.6885,0.24261,3439.8633
DC008,2.6,-78.24,-2.3,0.0121,94.99,1.386,0.0572,0.0296,0.0015,11.86,0.041,0.0181,0.0635,0.044,83.68,1.808,11.08,0.5509,0.0903,6.06,0.0245,1.047,0.3912,0.9218,0.5341,117.4,0.0452,0.5318,0.4122,0.0828,2.9974,83.777,3.6869,1.0758,3.054,0.04326,0.0005,0.01,0.18172,0.02358,1777.2457
DC011,3.1,-86.16,-7.14,0.0182,93.04,1.498,0.8838,0.0303,0.0015,28.18,0.0674,0.0598,0.0741,0.0711,203.2,3.721,16.06,1.022,0.1186,13.91,0.0736,1.24,0.4334,1.098,0.8739,64.57,0.0848,0.6696,0.0731,0.4346,6.7914,162.33,13.685,1.224,4.862,0.02264,0.0005,0.01,0.07958,0.13736,3368.78
DC012,3.1,-84.47,-7.17,0.0182,93.04,1.498,0.8838,0.0303,0.0015,28.18,0.0674,0.0598,0.0741,0.0711,203.2,3.721,16.06,1.022,0.1186,13.91,0.0736,1.24,0.4334,1.098,0.8739,64.57,0.0848,0.6696,0.0731,0.4346,6.7914,162.33,13.685,1.224,4.862,0.02264,0.0005,0.01,0.07958,0.13736,3368.78
